Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Lasiorhinus latifrons,,55.5,,
Lasiurus borealis,,0.17,0.17,
Lavia frons,,0.644,0.644,
Lemmus lemmus,,0.86,,
Lemmus sibiricus,,1.49,,
Lemmus trimucronatus,,0.9,,
Lemniscomys striatus,,0.85,,
Lemur albifrons fulvus,,,22.516,
Lemur catta,,21.6333,22.3,
Lemur mongoz,,,17.66,
Leontocebus sp.,,10.5525,,
Leontopithecus chrysomelas,,11.8427,,
Leontopithecus rosalia,,13.05,12.7,
Leopardus geoffroyi,,34.0,,
Leopardus pardalis,,63.1,,
Leopoldamys edwardsi,,4.81,,
Leopoldamys sabanus,,3.98,,
Leopoldamys siporanus,,3.39,,
Lepilemur dorsalis,,6.7,,
Lepilemur edwardsi,,7.25,,
Lepilemur leucopus,,6.8697,,
Lepilemur microdon,,9.75,,
Lepilemur mustelinus,,9.5599,,
Lepilemur ruficaudatus,,7.9416,7.6,
Leptailurus serval,,54.1,,
Leptonychotes weddellii,,564.1667,,
Leptonycteris curasoae,,0.55,0.61,
Leptonycteris nivalis,,0.5855,0.5863,
Lepus americanus,,9.72,,
Lepus arcticus,,15.8,,
Lepus californicus,,13.23,,
Lepus capensis,,10.78,,
Lepus europaeus,,14.35,,
Lepus nigricollis,,11.49,,
Lepus timidus,,15.095,,
Lestoros inca,,,0.79,
Liomys irroratus,,1.0567,,
Liomys pictus,,0.7735,,
Liomys salvini,,0.77,,
Lionycteris spurrelli,,0.352,0.36,
Lipotes vexillifer,,558.0,558.0,
Lissodelphis borealis,,1162.0,,
Lissonycteris angolensis,,1.762,,
Litocranius walleri,,117.5,,
Lobodon carcinophaga,,586.25,,
Lobodon carcinophagus,,586.25,,
Lonchophylla mordax,,0.432,0.432,
Lonchophylla thomasi,,0.3435,0.337,
Lonchorhina aurita,,0.377,,
Lonchorhina aurita (PHN),,,0.377,
Lontra canadensis,,50.5,,
Lontra felina,,38.9,,
Lontra longicaudis,,57.4,,
Lophocebus albigena,,96.8,104.2,
Lophocebus aterrimus,,101.5909,,
Lophuromys flavopunctatus,,1.01,,
Lophuromys sikapusi,,1.13,,
Loris lydekkerianus,,6.3,,
Loris tardigradus,,6.0,6.699,
Loxodonta africana,4618.62,5027.2,4657.5,
Lutra lutra,,39.0,,
Lutreolina crassicaudata,,3.41,,
Lutrogale perspicillata,,61.0,,
Lycalopex culpaeus,,51.4,,
Lycalopex griseus,,42.47,,
Lycalopex gymnocercus,,40.0,,
Lycaon pictus,,129.0,141.5,
Lynx canadensis,,69.5,,
Lynx lynx,,68.5,,
Lynx rufus,,65.0,,
Macaca arctoides,,100.7,,
Macaca assamensis,,90.5,,
Macaca cyclopis,,82.0,,
Macaca fascicularis,46.162,66.9273,47.815,
Macaca fuscata,,93.15,109.1,
Macaca hecki,,94.6,,
Macaca leonina,,87.799,,
Macaca maura,,94.48,83.3,
Macaca mulatta,87.346,87.6701,84.0283,
Macaca nemestrina,,110.0,36.4,
Macaca nigra,,97.5,94.9,
Macaca ochreata,,97.98,,
Macaca radiata,61.47,61.47,24.9,
Macaca silenus,,85.0,,
Macaca sinica,,58.15,,
Macaca sylvanus,,87.7,,
Macaca tonkeana,,93.7,,
Macroderma gigas,,1.7,1.704,
Macroglossus minimus,,0.607,0.5473,
Macroglossus sobrinus,,0.692,0.6725,
Macronycteris commersoni,,0.7448,0.7637,
Macrophyllum macrophyllum,,0.321,0.3187,
Macropus agilis,,33.3,,
Macropus antilopinus,,58.8448,,
Macropus dorsalis,,29.2,,
Macropus eugenii,,24.5532,14.355,
Macropus fuliginosus,,58.0,64.8,
Macropus giganteus,,69.8,53.85,
Macropus greyi,,25.0,,
Macropus irma,,24.7,,
Macropus parryi,,42.7868,,
Macropus robustus,,61.124,,
Macrotis lagotis,,6.8065,,
Macrotis leucura,,4.3,,
Macrotus californicus,,0.39,,
Madoqua kirkii,,37.0,,
Makalata didelphoides,,3.45,,
Makalata macrura,,3.89,,
Malacomys edwardsi,,1.18,,
Mandrillus leucophaeus,,148.0,,
Mandrillus sp.,,132.8,,
Mandrillus sphinx,,159.2,158.0,
Manis javanica,,13.7,,
Manis pentadactyla,,17.64,,
Manis tricuspis,,9.4,11.375,
Marmosa (Marmosa) murina,,,0.77,
Marmosa (m.) domina,,,1.403,
Marmosa mexicana,,1.036,,
Marmosa murina,,1.1396,,
Marmosa robinsoni,,0.7252,,
Marmosa rubra,,1.2432,,
Marmota baibacina,,13.75,,
Marmota bobak,,12.56,,
Marmota broweri,,13.94,,
Marmota caligata,,14.63,,
Marmota camtschatica,,12.63,,
Marmota caudata,,14.28,,
Marmota flaviventris,,10.29,,
Marmota himalayana,,16.71,,
Marmota marmota,,14.25,,
Marmota menzbieri,,11.4,,
Marmota monax,,10.825,,
Marmota olympus,,15.43,,
Marmota sibirica,,18.1,,
Marmota vancouverensis,,13.68,,
Martes americana,,15.8,,
Martes flavigula,,34.12,,
Martes foina,,20.9,27.0,
Martes martes,,18.0,,
Martes pennanti,,29.0,,
Martes zibellina,,18.5,,
Massoutiera mzabi,,2.32,,
Mastomys natalensis,,0.719,,
Maxomys surifer,,2.54,,
Maxomys whiteheadi,,1.62,,
Mazama americana,,56.0,,
Megaderma lyra,,0.8935,0.9132,
Megaderma spasma,,0.667,0.6967,
Megadontomys thomasi,,1.26,,
Megaerops ecaudatus,,0.8223,0.8825,
Megaerops niphanae,,0.958,,
Megaloglossus woermanni,,0.6795,0.6837,
Megaptera novaeangliae,,6100.0,6425.0,
Meles meles,,45.5,,
Mellivora capensis,,72.97,,
Melogale personata,,61.4,,
Melomys cervinipes,,1.31,,
Melomys levipes,,1.86,,
Melomys rubex,,1.27,,
Melomys rufescens,,1.29,,
Melonycteris melanops,,1.288,1.3057,
Melonycteris woodfordi,,1.0185,,
Melopsittacus undulatus,,,1.3165,
Melursus ursinus,,267.0,,
Mephitis mephitis,,10.15,,
Meriones hurrianae,,0.97,,
Meriones unguiculatus,,1.13,,
Mesechinus dauuricus,,2.9,,
Mesembriomys gouldii,,4.59,,
Mesocricetus auratus,0.965,0.965,1.12,
Mesomys hispidus,,2.64,,
Mesophylla macconnelli,,0.3445,,
Mesoplodon densirostris,,1424.5,1463.0,
Mesoplodon europaeus,,2149.0,2149.0,
Mesoplodon mirus,,2355.0,2355.0,
Metachirops (?) sp.,,,3.305,
Metachirus nudicaudatus,,3.626,,
Micaelamys namaquensis,,0.89,,
Microcebus coquereli,,,3.3,
Microcebus murinus,1.799,1.84,1.78,
Microcebus rufus,,1.7164,,
Microcebus sp.,,1.9,,
Microdipodops megacephalus,,0.559,,
Microdipodops pallidus,,0.5491,,
Microgale cowani,,0.42,0.42,
Microgale mergulus,,1.15,1.15,
Micromys minutus,,0.29,,
Micronycteris brachyotis,,,0.408,
Micronycteris megalotis,,0.274,0.277,
Micronycteris minuta,,0.286,0.286,
Micronycteris schmidtorum,,0.308,0.3083,
Microperoryctes longicauda,,3.81,,
Micropotamogale lamottei,,0.8,0.8,
Micropotamogale ruwenzorii,,,1.1338,
Micropteropus pusillus,,0.82,0.8287,
Microsorex hoyi,,,0.0988,
Microtus agrestis,,0.735,,
Microtus arvalis,,0.55,,
Microtus californicus,,0.78,,
Microtus guentheri,,0.69,,
Microtus longicaudus,,0.7,,
Microtus montanus,,0.69,,
Microtus ochrogaster,,0.71,,
Microtus oregoni,,0.52,,
Microtus pennsylvanicus,,0.742,,
Microtus pinetorum,,0.56,0.37,
Microtus townsendii,,0.88,,
Mimon crenulatum,,0.34,0.3255,
Miniopterus australis,,0.17,0.204,
Miniopterus fuscus,,0.265,,
Miniopterus haradai,,,0.2277,
Miniopterus inflatus,,0.3265,0.327,
Miniopterus magnater,,0.324,0.3295,
Miniopterus medius,,0.2712,0.2167,
Miniopterus pusillus,,0.216,,
Miniopterus schreib. arenarius,,,0.2423,
Miniopterus schreib. blepotis,,,0.3135,
Miniopterus schreibersi,,0.29,,
Miniopterus schreibersi ssp.,,,0.2647,
Miniopterus schreibersii,,0.2703,,
Miniopterus tristis,,0.333,0.336,
Minke Whale,,,1810.0,
Miopithecus ogouensis,,37.351,,
Miopithecus talapoin,,34.8,39.5,
Mirounga angustirostris,,670.0,,
Mirounga leonina,,1205.0,,
Mirza coquereli,,5.7959,,
Molossops abrasus,,,0.4143,
Molossops greenhalli,,,0.3,
Molossops planirostris,,,0.185,
Molossops temminckii,,0.181,,
Molossus ater,,,0.5233,
Molossus molossus,,0.26,0.3267,
Molossus trinitatis,,,0.4345,
Monachus monachus,,480.0,,
Monachus schauinslandi,,370.0,,
Monodelphis brevicaudata,,0.9324,,
Monodelphis domestica,,,0.79,
Monodon monoceros,,2993.7,2997.0,
Monophyllus plethodon,,0.4125,0.445,
Mops condylurus,,0.4223,,
Mops leucostigma,,0.39,,
Mops mops,,0.4725,,
Mops niveiventer,,0.432,,
Mops pumilus,,0.274,,
Mormoops megalophylla,,0.42,0.391,
Mormopterus beccarii,,0.233,,
Mormopterus jugularis,,0.22,,
Moschiola meminna,,16.925,,
Mungos mungo,,10.5,10.5,
Muntiacus muntjak,,124.5,,
Murexechinus melanurus,,0.65,,
Murexia longicaudata,,1.7405,,
Murexia rothschildi,,1.0878,,
Murina cyclotis,,0.265,,
Murina cyclotis cyclotis,,,0.2485,
Murina cyclotis peninsularis,,,0.2815,
Murina huttoni,,0.258,,
Murina huttoni rubella,,,0.2583,
Murina tubinaris,,0.217,0.217,
Mus booduga,,0.31,,
Mus musculoides,,0.96,,
Mus musculus,0.402,0.402,0.5343,
Mus platythrix,,0.5,,
Mus sp.,,,0.5,
Muscardinus avellanarius,,,0.45,
Mustela altaica,,4.48,,
Mustela erminea,,4.57,,
Mustela frenata,,4.0,,
Mustela lutreola,,8.5,,
Mustela lutreolina,,8.5,,
Mustela nigripes,,8.5,,
Mustela nivalis,,2.0,,
Mustela putorius,,7.87,10.7,
Mustela putorius furo,,,6.163,
Mustela sibirica,,6.0,,
Mustela vison,,7.0,,
Mydaus javanensis,,19.49,,
Mydaus marchei,,14.87,,
Myiopsitta monachus,,,3.4204,
Myocastor coypus,,17.09,,
Myodes gapperi,,0.56,,
Myodes glareolus,,0.52,,
Myodes rufocanus,,0.61,,
Myodes rutilus,,0.56,,
Myoictis melas,,2.05,,
Myomys daltoni,,0.68,,
Myonycteris torquata,,1.1159,1.187,
Myopus schisticolor,,0.56,,
Myosorex babaulti,,,0.36,
Myotis adversus,,0.2545,0.255,
Myotis albescens,,0.126,0.1257,
Myotis altarium,,0.24,0.24,
Myotis annectans,,0.221,0.221,
Myotis bechsteini,,0.265,0.265,
Myotis bechsteinii,,0.26,,
Myotis bocagei,,0.21,0.186,
Myotis bocagii,,0.2,,
Myotis dasycneme,,0.31,0.31,
Myotis daubentoni,,0.23,,
Myotis daubentonii,,0.23,,
Myotis fortidens,,0.1325,,
Myotis hasseltii,,0.188,,
Myotis horsfieldii,,0.197,,
Myotis lucifugus,,0.1613,,
Myotis montivagus,,0.17,,
Myotis muricola,,0.125,,
Myotis myotis,,0.48,0.48,
Myotis mystacinus,,0.16,,
Myotis nattereri,,0.22,0.22,
Myotis nigricans,,0.12,0.14,
Myotis nigricans ssp.,,,0.1567,
Myotis riparius,,0.173,,
Myotis siligorensis,,0.103,0.1047,
Myotis tricolor,,0.259,,
Myotis velifer,,0.2,,
Myotis yumanensis,,0.13,,
Myoxus glis,,1.9,,
Myrmecobius fasciatus,,4.403,,
Myrmecophaga tridactyla,,84.0,76.0,
Mystromys albicaudatus,,1.39,,
Nandinia binotata,,17.3,,
Nanger dama,,150.0,,
Nanger granti,,139.0,,
Nannospalax ehrenbergi,,1.88,,
Napaeozapus insignis,,0.48,,
Nasalis larvatus,,90.4,97.0,
Nasua narica,,44.17,,
Nasua nasua,,37.5,,
Natalus tumidirostris,,0.245,0.2458,
Neofelis nebulosa,,68.7,68.3,
Neofiber alleni,,2.72,,
Neomys anomalus,,,0.2785,
Neomys fodiens,,0.305,0.32,
Neophascogale lorentzi,,2.45,,
Neophoca cinerea,,388.75,,
Neophocaena asiaeorientalis,,,422.0,
Neophocaena phocaenoides,,468.0,468.0,
Neoromicia flavescens,,0.19,,
Neoromicia nanus,,0.1,,
Neotoma albigula,,2.17,,
Neotoma cinerea,,2.65,,
Neotoma floridana,,3.04,,
Neotoma fuscipes,,2.66,,
Neotoma micropus,,2.66,,
Neotragus moschatus,,32.0,,
Nesogale dobsoni,,0.56,0.56,
Nesogale talazaci,,0.79,0.79,
Nesonycteris woodfordi,,,1.038,
Nestor notabilis,,,13.5916,
Neurotrichus gibbsii,,0.91,,
Ningaui ridei,,0.24,,
Ningaui yvonnae,,0.26,,
Noctilio albiventris,,0.55,0.6183,
Noctilio leporinus,,1.26,1.141,
Nomascus gabriellae,,119.375,,
Notamacropus parma,,17.4,,
Notamacropus rufogriseus,,38.148,32.38,
Notiosorex crawfordi,,0.15,,
Notomys alexis,,0.96,,
Notopteris macdonaldi,,1.4528,1.4473,
Notoryctes caurinus,,0.78,,
Nyctalus noctula,,0.362,0.3693,
Nyctalus stenopterus,,,0.2483,
Nyctereutes procyonoides,,28.5,,
Nycteris arge,,0.36,0.341,
Nycteris grandis,,0.7355,0.7226,
Nycteris hispida,,0.284,0.284,
Nycteris javanica,,0.475,0.4775,
Nycteris macrotis,,0.389,0.3883,
Nycteris nana,,0.239,0.2403,
Nycteris thebaica,,0.2785,0.3233,
Nycteris tragata,,0.476,0.434,
Nycticebus bengalensis,,13.5,,
Nycticebus coucang,,12.7425,10.19,
Nycticebus pygmaeus,,7.8,,
Nycticeius balstoni,,,0.158,
Nyctimene albiventer,,0.825,0.825,
Nyctimene major,,,1.0127,
Nyctimene robinsoni,,1.2307,1.195,
Nyctimene vizcaccia,,0.988,,
Nyctomys sumichrasti,,1.08,,
Nyctophilus geoffroyi,,0.167,0.1645,
Nyctophilus timoriensis,,0.254,0.265,
Nymphicus hollandicus,,,2.2053,
Ochotona hyperborea,,2.22,,
Ochotona princeps,,2.39,,
Ochotona rufescens,,2.75,,
Ochrotomys nuttalli,,0.7,,
Octodon degus,,2.1,,
Odobenus rosmarus,,1410.25,,
Odocoileus hemionus,,189.3,,
Odocoileus virginianus,,210.0,160.0,
Odocoileus virginiatus,,,160.0,
Okapia johnstoni,,501.0,,
Oligoryzomys longicaudatus,,0.67,,
Ommatophoca rossii,,495.0,,
Ondatra zibethicus,,5.03,,
Onychogalea fraenata,,13.5,,
Onychogalea lunata,,10.2,,
Onychogalea unguifera,,16.7,,
Onychomys leucogaster,,0.8008,,
Onychomys torridus,,0.5947,,
Orcinus orca,,6052.0,5617.0,
Oreotragus oreotragus,,59.4,,
Ornithorhynchus anatinus,,10.0832,8.75,
Orthogeomys cherriei,,3.4706,,
Orthogeomys heterodus,,4.3098,,
Orthogeomys hispidus,,3.9782,,
Orycteropus afer,,79.5,72.0,
Oryctolagus cuniculus,9.132,9.0967,9.785,
Oryctolagus cuniculus f.d.,,,9.4267,
Oryx beisa,,282.0,,
Oryx gazella,,292.0,,
Oryzomys palustris,,0.88,,
Oryzorictes hova,,0.58,0.58,
Osphranter rufus,,62.4,,
Otaria byronia,,506.25,,
Otaria flavescens,,506.25,,
Otocyon megalotis,,26.09,,
Otolemur crassicaudatus,,11.0388,10.3,
Otolemur garnettii,10.15,11.4958,,
Otolemur monteiri,,11.4,,
Otomops martiensseni,,0.7555,0.7643,
Otomys angoniensis,,0.42,,
Otomys irroratus,,1.38,,
Ototylomys phyllotis,,1.33,,
Ourebia ourebi,,58.3,,
Ovis ammon,,140.0,,
Ovis ammon f. aries,,,111.7833,
Ovis ammon musimon,,,133.025,
Ovis aries,,175.0,129.0,
Pagophilus groenlandicus,,275.0,276.0,
Paguma larvata,,30.9,,
Pan paniscus,,329.7016,367.2778,
Pan troglodytes,,354.8097,377.5927,
Panthera leo,,259.5,259.0,
Panthera onca,,149.0,,
Panthera pardus,,135.0,,
Panthera pardus orientalis,,,125.5,
Panthera tigris,,269.7333,,
Panthera tigris altaica,,,279.3,
Papio anubis,,162.5875,187.65,
Papio cynocephalus,151.194,151.19,160.325,
Papio cynocephalus anubis,,,109.6417,
Papio cynocphalus,,137.4,,
Papio hamadryas,,142.0,170.55,
Papio papio,,142.9125,,
Papio ursinus,,165.0,214.4,
Pappogeomys gymnurus,,4.1854,,
Paracynictis selousi,,15.8,,
Paradoxurus hermaphroditus,,25.95,,
Paradoxurus zeylonensis,,17.81,,
Paraechinus hypomelas,,2.4,,
Paramelomys levipes,,1.86,,
Paramelomys rubex,,1.27,,
Paramurexia rothschildi,,1.09,,
Parantechinus apicalis,,1.2432,,
Paranyctimene raptor,,0.731,0.7293,
Parascalops breweri,0.759,,0.8618,
Paraxerus cepapi,,2.85,,
Parus major,,,0.9403,
Pecari tajacu,,101.5,,
Pectinator spekei,,1.93,,
Pelea capreolus,,121.0,,
Penthetor lucasi,,0.9475,,
Penthetor lucasi (PTN),,,0.98,
Perameles bougainville,,3.3256,,
Perameles gunnii,,4.662,,
Perameles nasuta,,5.1386,5.79,
Perodicticus potto,,12.0667,13.79,
Perognathus flavus,,0.3054,,
Perognathus longimembris,,0.3306,,
Perognathus parvus,,0.4869,,
Peromyscus aztecus,,0.92,,
Peromyscus boylii,,0.71,,
Peromyscus californicus,,0.91,,
Peromyscus crinitus,,0.53,,
Peromyscus eremicus,,0.54,,
Peromyscus gossypinus,,0.68,,
Peromyscus grandis,,1.53,,
Peromyscus guatemalensis,,1.16,,
Peromyscus leucopus,,0.6,,
Peromyscus maniculatus,,0.57,,
Peromyscus megalops,,1.12,,
Peromyscus melanocarpus,,1.03,,
Peromyscus melanophrys,,0.94,,
Peromyscus melanotis,,0.63,,
Peromyscus merriami,,0.56,,
Peromyscus mexicanus,,1.015,,
Peromyscus polionotus,,0.42,,
Peromyscus truei,,0.75,,
Peromyscus yucatanicus,,0.7,,
Peropteryx macrotis,,0.1566,0.1667,
Peropteryx trinitatis,,0.1495,0.132,
Peroryctes raffrayana,,6.5579,,
Petaurista elegans,,7.76,,
Petaurista petaurista,,11.765,,
Petauroides volans,,4.8588,,
Petaurus abidi,,3.83,,
Petaurus australis,,5.71,,
Petaurus biacensis,,1.68,,
Petaurus breviceps,,2.09,2.435,
Petaurus norfolcensis,,3.02,3.23,
Peteropus gilliardi,,,5.302,
Petrodromus tetradactylus,2.44,,,
Petrogale assimilis,,17.5,,
Petrogale brachyotis,,15.75,,
Petrogale concinna,,11.396,,
Petrogale godmani,,18.0,,
Petrogale herberti,,21.2,,
Petrogale inornata,,17.0,,
Petrogale lateralis,,19.2,,
Petrogale mareeba,,17.0,,
Petrogale penicillata,,24.7604,,
Petrogale persephone,,22.274,,
Petrogale xanthopus,,23.0,,
Petropseudes dahli,,5.038,,
Phacochoerus aethiopicus,,125.0,,
Phacochoerus africanus,,132.5,,
Phalanger carmelitae,,8.7956,,
Phalanger gymnotis,,13.0,,
Phalanger intercastellanus,,7.35,,
Phalanger lullulae,,6.09,,
Phalanger mimicus,,8.13,,
Phalanger orientalis,,8.6092,,
Phalanger ornatus,,7.2727,,
Phalanger rothschildi,,6.14,,
Phalanger sericeus,,9.96,,
Phalanger vestitus,,9.8834,,
Phaner electromontis,,7.2,,
Phaner furcifer,,6.47,,
Phaner pallescens,,6.6814,,
Phascogale calura,,0.9428,,
Phascogale tapoatafa,,1.81,,
Phascolarctos cinereus,,20.2,,
Phascolosorex dorsalis,,1.11,,
Phascomurexia naso,,0.77,,
Philander opossum,,3.9679,4.24,
Philantomba maxwellii,,38.0,,
Philantomba monticola,,48.0,,
Phoca caspica,,162.5,,
Phoca fasciata,,248.75,,
Phoca hispida,,196.25,,
Phoca largha,,253.75,,
Phoca sibirica,,187.5,,
Phoca sp.,,,187.0,
Phoca vitulina,,315.0,273.75,
Phocarctos hookeri,,393.75,,
Phocoena phocoena,,1735.0,455.0,
Phocoena spinipinnis,,597.0,,
Phocoenoides dalli,,833.6667,867.0,
Phocoenoides truei,,,876.0,
Phoniscus atrox,,0.188,0.188,
Phylloderma stenops,,1.338,1.338,
Phyllostomus discolor,,0.89,1.081,
Phyllostomus elongatus,,0.885,0.8913,
Phyllostomus hastatus,,1.5318,1.555,
Physeter catadon,,,7818.0,
Physeter catodon,,8183.0,,
Pica pica,,,5.4253,
Piliocolobus badius,,78.0,78.555,
Piliocolobus kirkii,,57.25,,
Piliocolobus tephrosceles,,70.9519,,
Pipistrellus babu,,,0.096,
Pipistrellus ceylonicus,,0.182,0.1843,
Pipistrellus circumdatus,,,0.232,
Pipistrellus coromandra,,0.105,,
Pipistrellus crassulus,,,0.1343,
Pipistrellus imbricatus,,,0.1367,
Pipistrellus javanicus,,0.119,0.119,
Pipistrellus kuhlii,,0.166,,
Pipistrellus mimus,,,0.0957,
Pipistrellus nanus,,,0.1013,
Pipistrellus papuanus,,0.11,,
Pipistrellus pulveratus,,,0.145,
Pipistrellus subflavus,,0.125,0.1245,
Pipistrellus tenuis,,0.113,0.115,
Pithecia irrorata,,39.5,,
Pithecia monachus,,35.0,35.0,
Pithecia pithecia,,31.3,30.0,
Planigale gilesi,,0.1761,,
Planigale ingrami,,0.15,,
Planigale maculata,,0.2,,
Planigale novaeguineae,,0.27,,
Planigale tenuirostris,,0.14,,
Platanista gangetica,,290.5,295.0,
Platanista minor,,,164.0,
Platycercus eximius,,,2.7159,
Platyrrhinus brachycephalus,,0.583,,
Platyrrhinus helleri,,0.42,,
Platyrrhinus infuscus,,1.11,,
Platyrrhinus lineatus,,0.741,,
Platyrrhinus vittatus,,1.175,,
Plecotus auritus,,0.238,,
Podomys floridanus,,0.94,,
Poecilogale albinucha,,4.5,,
Pogonomelomys sevia,,1.49,,
Pogonomys macrourus,,1.43,,
Pogonomys sylvestris,,1.13,,
Pongo pygmaeus,,341.9899,376.6112,
Pongo pymaeus,,,404.5,
Pongo sp.,,389.495,345.9,
Pontoporia blainvillei,,,220.0,
Potamochoerus porcus,,138.0,,
Potamogale velox,,4.0455,4.12,
Potorous platyops,,6.3,,
Potorous tridactylus,,9.53,12.235,
Potos flavus,,33.075,,
Praomys daltoni,,0.68,,
Praomys morio,,0.84,,
Praomys tullbergi,,0.86,,
Presbytis chrysomelas,,72.1121,,
Presbytis comata,,80.3,,
Presbytis femoralis,,73.7357,,
Presbytis frontata,,81.0169,,
Presbytis hosei,,60.0,,
Presbytis melalophos,,59.2,,
Presbytis natunae,,57.19,,
Presbytis potenziani,,57.0,,
Presbytis rubicunda,,71.0151,,
Presbytis siamensis,,60.9421,,
Presbytis thomasi,,72.9324,,
Priodontes maximus,,81.0,,
Prionailurus bengalensis,,29.37,,
Prionailurus planiceps,,21.98,,
Prionailurus rubiginosus,,18.92,,
Prionailurus viverrinus,,46.53,,
Prionodon linsang,,8.5,,
Prionodon pardicolor,,9.03,,
Procavia capensis,16.853,19.4667,15.26,
Procavia sp.,,4.317,,
Procolobus verus,,52.6004,,
Procyon cancrivorus,,61.56,,
Procyon lotor,,41.0667,31.87,
Proechimys brevicauda,,2.95,,
Proechimys guyannensis,2.078,,,
Proechimys semispinosus,,6.87,,
Profelis aurata,,57.97,,
Prolemur simus,,27.1449,,
Propithecus coquereli,,30.1941,,
Propithecus deckenii,,30.8756,,
Propithecus diadema,,39.7993,,
Propithecus edwardsi,,39.5,,
Propithecus verreauxi,,26.7,26.7,
Proteles cristata,,35.2,,
Protoxerus stangeri,,11.33,,
Psammomys obesus,,1.3,,
Pseudantechinus bilarni,,0.65,,
Pseudantechinus macdonnellensis,,0.49,,
Pseudantechinus roryi,,0.42,,
Pseudocheirus peregrinus,,5.7809,5.27,
Pseudochirops albertisii,,4.68,,
Pseudochirops archeri,,5.87,,
Pseudochirops corinnae,,5.36,,
Pseudochirops coronatus,,5.13,,
Pseudochirops cupreus,,7.54,,
Pseudochirulus canescens,,1.8,,
Pseudochirulus caroli,,3.2,,
Pseudochirulus forbesi,,3.36,,
Pseudochirulus herbertensis,,4.32,,
Pseudochirulus mayeri,,2.01,,
Pseudochirulus schlegeli,,2.8,,
Pseudomys australis,,1.16,,
Pseudomys hermannsburgensis,,1.08,,
Pseudorca crassidens,,4307.0,4444.5,
Psittacula eupatria,,,5.6994,
Psittacus erithacus,,,8.8273,
Pteromyscus pulverulentus,,3.55,,
Pteronotus davyi,,0.31,,
Pteronotus gymnonotus,,0.343,0.342,
Pteronotus parnelli,,,0.5503,
Pteronotus parnellii,,0.5315,,
Pteronotus personatus,,0.234,0.2433,
Pteronura brasiliensis,,85.6,,
Pteropus alecto,,7.0397,6.9075,
Pteropus conspicillatus,,8.35,8.35,
Pteropus giganteus,,7.78,9.0,
Pteropus hypomelanus,,5.302,,
Pteropus lylei,,6.1286,6.1286,
Pteropus macrotis,,6.1297,,
Pteropus mahaganus,,5.28,5.28,
Pteropus melanotus,,10.6,,
Pteropus neohibernicus,,9.114,9.114,
Pteropus poliocephalus,,7.2298,7.2258,
Pteropus rufus,,7.3014,,
Pteropus samoensis,,5.792,5.792,
Pteropus scapulatus,,5.36,5.41,
Pteropus temmincki,,,4.8895,
Pteropus temminckii,,4.89,,
Pteropus tonganus,,6.075,6.0233,
Pteropus vampyrus,,9.654,8.325,
Puma concolor,,154.0,,
Puma yagouaroundi,,40.9,,
Pusa caspica,,162.5,,
Pusa hispida,,196.25,,
Pusa sibirica,,187.5,,
Pygathrix nemacus,,,69.0,
Pygathrix nemaeus,,77.0,77.0,
Pygathrix nigripes,,82.7476,,
Rangifer tarandus,,278.0,252.9,
Raphicerus campestris,,51.3,,
Raphicerus melanotis,,55.0,,
Rattus exulans,,0.89,,
Rattus fuscipes,,1.69,,
Rattus lutreolus,,1.64,,
Rattus morotaiensis,,1.92,,
Rattus niobe,,1.1,,
Rattus nitidus,,1.7,,
Rattus norvegicus,1.724,4.8745,1.7597,
Rattus norvegicus f.d.,,,1.7209,
Rattus norvegicus var.alba,,,1.889,
Rattus sordidus,,1.7,,
Rattus sp.,,,1.79,
Rattus tunneyi,,1.41,,
Rattus verecundus,,1.48,,
Ratufa affinis,,9.85,,
Ratufa bicolor,,11.01,,
Ratufa indica,,11.4,,
Redunca arundinum,,136.8,,
Redunca fulvorufula,,109.0,,
Redunca redunca,,123.0,,
Regulus regulus,,,0.3566,
Reithrodontomys megalotis,,0.4,,
Rhabdomys pumilio,,0.69,,
Rhinoceros unicornis,,786.0,,
Rhinolophus acuminatus,,0.302,,
Rhinolophus affinis,,0.3475,,
Rhinolophus capensis,,0.256,,
Rhinolophus clivosus,,0.242,,
Rhinolophus coelophyllus,,0.259,,
Rhinolophus cornutus,,0.194,0.2015,
Rhinolophus eloquens,,0.4045,0.4045,
Rhinolophus ferrumequinum,,0.35,,
Rhinolophus hildebrandtii,,0.63,,
Rhinolophus hipposideros,,0.235,0.135,
Rhinolophus landeri,,0.276,0.27,
Rhinolophus lepidus,,0.1883,0.182,
Rhinolophus luctus,,0.5905,0.6207,
Rhinolophus macrotis,,0.208,0.2095,
Rhinolophus malayanus,,0.202,0.202,
Rhinolophus megaphyllus,,0.2605,0.261,
Rhinolophus megaphyllus ssp.,,,0.2303,
Rhinolophus mehelyi,,0.31,,
Rhinolophus paradoxolophus,,0.267,0.267,
Rhinolophus pearsonii,,0.332,,
Rhinolophus personi,,,0.347,
Rhinolophus pusillus,,0.164,0.1637,
Rhinolophus robinsoni,,0.2785,,
Rhinolophus stheno,,0.285,,
Rhinolophus thomasi,,0.233,,
Rhinolophus trifoliatus,,0.351,0.355,
Rhinolophus yunanensis,,0.439,0.4385,
Rhinonicteris aurantia,,0.249,,
Rhinonycteris aurantius,,,0.248,
Rhinophylla pumilio,,0.356,0.3343,
Rhinopithecus roxellana,,117.757,,
