Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Globicephala macrorhynchus,,2466.0,2886.296,
Globicephala melas,,2673.0,2673.0,
Glossophaga longirostris,,0.435,0.4,
Glossophaga soricina,,0.39,0.3916,
Gorilla beringei,,491.27,,
Gorilla gorilla,,454.55,466.901,
Gracula religiosa,,,3.6696,
Grammomys cometes,,0.96,,
Grammomys poensis,,1.55,,
Grampus griseus,,2551.0,2194.3893,
Gulo gulo,,72.5,,
Gymnobelideus leadbeateri,,2.9526,,
Halichoerus grypus,,307.5,,
Hapalemur alaotrensis,,13.8,,
Hapalemur griseus,,14.1,14.7,
Hapalemur occidentalis,,14.2,,
Hapalemur simus,,,9.53,
Harpiocephalus harpia,,0.442,0.442,
Helarctos malayanus,,385.5,,
Heliophobius argenteocinereus,,1.43,,1.65
Heliosciurus gambianus,,3.99,,
Heliosciurus rufobrachium,,5.75,,
Heliosciurus ruwenzorii,,5.4,,
Helogale parvula,,4.8,,
Hemibelideus lemuroides,,3.15,,
Hemicentetes semispinosus,,0.83,0.83,
Hemiechinus auritus,,1.9,1.4325,
Hemigalus derbyanus,,18.9,,
Hemitragus jemlahicus,,166.0,,
Herpestes edwardsi,,10.49,,
Herpestes fuscus,,12.55,,
Herpestes ichneumon,,23.3,,
Herpestes javanicus,,7.2,,
Herpestes naso,,25.53,,
Herpestes smithii,,14.6,,
Herpestes urva,,20.91,,
Herpestes vitticollis,,25.79,,
Hesperoptenus blanfordi,,0.158,0.1603,
Heterocephalus glaber,0.392,0.52,,0.44
Heterohyrax brucei,,12.27,,
Heteromys desmarestianus,,1.1253,,
Hexaprotodon liberiensis,,215.0,,
Hippopotamus amphibius,,720.0,590.0,
Hipposideros armiger,,0.8,0.8083,
Hipposideros ater,,0.198,0.215,
Hipposideros ater saevus,,,0.1837,
Hipposideros bicolor,,0.24,,
Hipposideros caffer,,0.32,0.3017,
Hipposideros calcaratus,,0.369,0.4487,
Hipposideros calcaratus ssp.,,,0.398,
Hipposideros cervinus,,0.214,,
Hipposideros cineraceus,,,0.1755,
Hipposideros cupidus,,,0.335,
Hipposideros diadema,,0.715,0.7268,
Hipposideros fulvus,,0.236,0.2405,
Hipposideros galeritus,,0.279,,
Hipposideros galeritus ssp.,,,0.2127,
Hipposideros halophyllus,,0.152,0.1515,
Hipposideros lankadiva,,0.733,0.7327,
Hipposideros larvatus,,0.4165,0.43,
Hipposideros lekaguli,,0.584,0.5853,
Hipposideros maggietaylorae,,0.5425,0.634,
Hipposideros muscinus,,,0.1895,
Hipposideros pomona,,0.233,,
Hipposideros ridleyi,,0.269,0.2683,
Hipposideros ruber,,0.265,,
Hipposideros speoris,,0.284,0.284,
Hipposideros tridens,,,0.27,
Hipposideros turpis,,0.599,0.604,
