"Species","n_bases","Brain_Mass_excl_olfactory_bulb","Brain_Mass_from_volume_or_ecv","Brain_Mass_mass_or_volume","Brain_Mass_measured","Brain_size_sum_of_structures","ratio_max_over_min","flag"
"Lionycteris spurrelli",2,"","","0.352","0.36","",1.023,""
"Lipotes vexillifer",2,"","","558","558","",1,""
"Lonchophylla mordax",2,"","","0.432","0.432","",1,""
"Lonchophylla thomasi",2,"","","0.3435","0.337","",1.019,""
"Lophocebus albigena",2,"","","96.8","104.2","",1.076,""
"Loris tardigradus",2,"","","6","6.699","",1.117,""
"Loxodonta africana",3,"4618.62","","4618","4835","",1.047,""
"Lycaon pictus",2,"","","129","141.5","",1.097,""
"Macaca fascicularis",3,"46.162","","64.907","47.815","",1.406,""
"Macaca fuscata",2,"","","93.15","109.1","",1.171,""
"Macaca maura",2,"","","98.5438","83.3","",1.183,""
"Macaca mulatta",4,"87.346","79.1","87.346","81.5854","",1.104,""
"Macaca nemestrina",2,"","","108.6563","36.4","",2.985,"DISAGREEMENT>2x"
"Macaca nigra",2,"","","97.6222","94.9","",1.029,""
"Macaca radiata",3,"61.47","","61.47","24.9","",2.469,"DISAGREEMENT>2x"
"Macroderma gigas",2,"","","1.7","1.704","",1.002,""
"Macroglossus minimus",2,"","","0.607","0.5473","",1.109,""
"Macroglossus sobrinus",2,"","","0.692","0.6725","",1.029,""
"Macronycteris commersoni",2,"","","0.7448","0.7637","",1.025,""
"Macrophyllum macrophyllum",2,"","","0.321","0.3187","",1.007,""
"Macropus eugenii",2,"","","24.1266","14.355","",1.681,""
"Macropus fuliginosus",2,"","","58","64.8","",1.117,""
"Macropus giganteus",2,"","","69.8","53.85","",1.296,""
"Mandrillus sphinx",2,"","","159.2","158","",1.008,""
"Manis tricuspis",2,"","","9.4","11.375","",1.21,""
"Martes foina",2,"","","20.9","27","",1.292,""
"Megaderma lyra",2,"","","0.8935","0.9132","",1.022,""
"Megaderma spasma",2,"","","0.667","0.6967","",1.045,""
"Megaerops ecaudatus",2,"","","0.8223","0.8825","",1.073,""
"Megaloglossus woermanni",2,"","","0.6795","0.6837","",1.006,""
"Megaptera novaeangliae",2,"","","6100","6425","",1.053,""
"Melonycteris melanops",2,"","","1.288","1.3057","",1.014,""
"Mesocricetus auratus",3,"0.965","","0.965","1.0533","",1.092,""
"Mesoplodon densirostris",2,"","","1424.5","1463","",1.027,""
"Mesoplodon europaeus",2,"","","2149","2149","",1,""
"Mesoplodon mirus",2,"","","2355","2355","",1,""
"Microcebus murinus",3,"1.799","","1.8543","1.78","",1.042,""
"Microgale cowani",2,"","","0.42","0.42","",1,""
"Microgale mergulus",2,"","","1.15","1.15","",1,""
"Micronycteris megalotis",2,"","","0.274","0.277","",1.011,""
"Micronycteris minuta",2,"","","0.286","0.286","",1,""
"Micronycteris schmidtorum",2,"","","0.308","0.3083","",1.001,""
"Micropotamogale lamottei",2,"","","0.8","0.8","",1,""
"Micropteropus pusillus",2,"","","0.82","0.8287","",1.011,""
"Microtus pinetorum",2,"","","0.56","0.37","",1.514,""
"Mimon crenulatum",2,"","","0.3368","0.3255","",1.035,""
"Miniopterus australis",2,"","","0.17","0.204","",1.2,""
"Miniopterus inflatus",2,"","","0.3265","0.327","",1.002,""
"Miniopterus magnater",2,"","","0.324","0.3295","",1.017,""
"Miniopterus medius",2,"","","0.2712","0.2167","",1.251,""
"Miniopterus tristis",2,"","","0.333","0.336","",1.009,""
"Miopithecus talapoin",2,"","","34.8","39.5","",1.135,""
"Molossus molossus",2,"","","0.2723","0.3267","",1.2,""
"Monodon monoceros",2,"","","2993.7","2997","",1.001,""
"Monophyllus plethodon",2,"","","0.4125","0.445","",1.079,""
"Mormoops megalophylla",2,"","","0.4102","0.391","",1.049,""
"Mungos mungo",2,"","","10.5","10.5","",1,""
"Murina tubinaris",2,"","","0.217","0.217","",1,""
"Mus musculus",3,"0.402","","0.402","0.5623","",1.399,""
"Mustela putorius",2,"","","7.87","10.7","",1.36,""
"Myonycteris torquata",2,"","","1.1159","1.187","",1.064,""
"Myotis adversus",2,"","","0.2545","0.255","",1.002,""
"Myotis albescens",2,"","","0.126","0.1257","",1.002,""
"Myotis altarium",2,"","","0.24","0.24","",1,""
"Myotis annectans",2,"","","0.221","0.221","",1,""
"Myotis bechsteini",2,"","","0.265","0.265","",1,""
"Myotis bocagei",2,"","","0.21","0.186","",1.129,""
"Myotis dasycneme",2,"","","0.31","0.31","",1,""
"Myotis myotis",2,"","","0.4845","0.48","",1.009,""
"Myotis nattereri",2,"","","0.22","0.22","",1,""
"Myotis nigricans",2,"","","0.1235","0.14","",1.134,""
"Myotis siligorensis",2,"","","0.103","0.1047","",1.017,""
"Myrmecophaga tridactyla",2,"","","84","76","",1.105,""
"Nasalis larvatus",2,"","","90.4","97","",1.073,""
"Natalus tumidirostris",2,"","","0.245","0.2458","",1.003,""
"Neofelis nebulosa",2,"","","68.7","68.3","",1.006,""
"Neomys fodiens",2,"","","0.3075","0.32","",1.041,""
"Neophocaena phocaenoides",2,"","","468","468","",1,""
"Nesogale dobsoni",2,"","","0.56","0.56","",1,""
"Nesogale talazaci",2,"","","0.79","0.79","",1,""
"Noctilio albiventris",2,"","","0.5618","0.6183","",1.101,""
"Noctilio leporinus",2,"","","1.222","1.141","",1.071,""
"Notamacropus rufogriseus",2,"","","37.074","32.38","",1.145,""
"Notopteris macdonaldi",2,"","","1.4528","1.4473","",1.004,""
"Nyctalus noctula",2,"","","0.362","0.3693","",1.02,""
"Nycteris arge",2,"","","0.3578","0.341","",1.049,""
"Nycteris grandis",2,"","","0.7355","0.7226","",1.018,""
"Nycteris hispida",2,"","","0.284","0.284","",1,""
"Nycteris javanica",2,"","","0.475","0.4775","",1.005,""
"Nycteris macrotis",2,"","","0.389","0.3883","",1.002,""
"Nycteris nana",2,"","","0.239","0.2403","",1.005,""
"Nycteris thebaica",2,"","","0.2785","0.3233","",1.161,""
"Nycteris tragata",2,"","","0.476","0.434","",1.097,""
"Nycticebus coucang",2,"","","12.1313","10.19","",1.191,""
"Nyctimene albiventer",2,"","","0.825","0.825","",1,""
"Nyctimene robinsoni",2,"","","1.2307","1.195","",1.03,""
"Nyctophilus geoffroyi",2,"","","0.167","0.1645","",1.015,""
"Nyctophilus timoriensis",2,"","","0.254","0.265","",1.043,""
"Odocoileus virginianus",2,"","","210","160","",1.313,""
"Orcinus orca",2,"","","6052","5617","",1.077,""
"Ornithorhynchus anatinus",2,"","","10.0816","8.75","",1.152,""
"Orycteropus afer",2,"","","79.5","72","",1.104,""
"Oryctolagus cuniculus",3,"9.132","","7.1","9.785","",1.378,""
"Oryzorictes hova",2,"","","0.58","0.58","",1,""
"Otolemur crassicaudatus",2,"","","11.0388","10.3","",1.072,""
"Otolemur garnettii",2,"10.15","","11.4958","","",1.133,""
"Otomops martiensseni",2,"","","0.7555","0.7643","",1.012,""
"Ovis aries",2,"","","175","118","",1.483,""
"Pagophilus groenlandicus",2,"","","275","276","",1.004,""
"Pan paniscus",3,"","332.42","329.7011","367.2778","",1.114,""
"Pan troglodytes",2,"","","354.6292","376.4909","",1.062,""
"Panthera leo",2,"","","259.5","259","",1.002,""
"Papio anubis",2,"","","162.5875","187.65","",1.154,""
"Papio cynocephalus",3,"151.194","","151.19","160.325","",1.06,""
"Papio hamadryas",2,"","","137.1333","170.55","",1.244,""
"Papio ursinus",2,"","","165","214.4","",1.299,""
"Paranyctimene raptor",2,"","","0.731","0.7293","",1.002,""
"Parascalops breweri",2,"0.759","","","0.8618","",1.135,""
"Perameles nasuta",2,"","","5.0493","5.79","",1.147,""
"Perodicticus potto",2,"","","12.0678","13.79","",1.143,""
"Peropteryx macrotis",2,"","","0.1566","0.1667","",1.064,""
"Peropteryx trinitatis",2,"","","0.1495","0.132","",1.133,""
"Petaurus breviceps",2,"","","2.09","2.435","",1.165,""
"Petaurus norfolcensis",2,"","","3.02","3.23","",1.07,""
"Philander opossum",2,"","","3.8989","4.24","",1.087,""
"Phoca vitulina",2,"","","315","273.75","",1.151,""
"Phocoena phocoena",2,"","","1735","455","",3.813,"DISAGREEMENT>2x"
"Phocoenoides dalli",2,"","","833.6683","867","",1.04,""
"Phoniscus atrox",2,"","","0.188","0.188","",1,""
"Phylloderma stenops",2,"","","1.338","1.338","",1,""
"Phyllostomus discolor",2,"","","0.9957","1.081","",1.086,""
"Phyllostomus elongatus",2,"","","0.885","0.8913","",1.007,""
"Phyllostomus hastatus",2,"","","1.5318","1.555","",1.015,""
"Piliocolobus badius",2,"","","78","78.555","",1.007,""
"Pipistrellus ceylonicus",2,"","","0.182","0.1843","",1.013,""
"Pipistrellus javanicus",2,"","","0.119","0.119","",1,""
"Pipistrellus subflavus",2,"","","0.125","0.1245","",1.004,""
"Pipistrellus tenuis",2,"","","0.113","0.115","",1.018,""
"Pithecia monachus",2,"","","35","35","",1,""
"Pithecia pithecia",2,"","","31.3","30","",1.043,""
"Platanista gangetica",2,"","","290.5","295","",1.015,""
"Pongo pygmaeus",2,"","","341.99","376.6112","",1.101,""
"Pongo sp.",2,"","","389.495","345.9","",1.126,""
"Potamogale velox",2,"","","4.0478","4.12","",1.018,""
"Potorous tridactylus",2,"","","9.53","12.235","",1.284,""
"Procavia capensis",3,"16.853","","19.4683","15.26","",1.276,""
"Procyon lotor",2,"","","41.0683","31.87","",1.289,""
"Propithecus verreauxi",2,"","","26.7","26.7","",1,""
"Pseudocheirus peregrinus",2,"","","5.1504","5.27","",1.023,""
"Pseudorca crassidens",2,"","","4307","4444.5","",1.032,""
"Pteronotus gymnonotus",2,"","","0.343","0.342","",1.003,""
"Pteronotus personatus",2,"","","0.234","0.2433","",1.04,""
"Pteropus alecto",2,"","","7.0397","6.9075","",1.019,""
"Pteropus conspicillatus",2,"","","8.35","8.35","",1,""
"Pteropus giganteus",2,"","","7.78","9","",1.157,""
"Pteropus lylei",2,"","","6.1291","6.1286","",1,""
"Pteropus mahaganus",2,"","","5.28","5.28","",1,""
"Pteropus neohibernicus",2,"","","9.114","9.114","",1,""
"Pteropus poliocephalus",2,"","","7.2298","7.2258","",1.001,""
"Pteropus samoensis",2,"","","5.792","5.792","",1,""
"Pteropus scapulatus",2,"","","5.36","5.41","",1.009,""
"Pteropus tonganus",2,"","","6.075","6.0233","",1.009,""
"Pteropus vampyrus",2,"","","9.654","8.325","",1.16,""
"Pygathrix nemaeus",2,"","","77","77","",1,""
"Rangifer tarandus",2,"","","278","252.9","",1.099,""
"Rattus norvegicus",3,"1.724","","1.724","1.6395","",1.052,""
"Rhinolophus cornutus",2,"","","0.194","0.2015","",1.039,""
"Rhinolophus eloquens",2,"","","0.4045","0.4045","",1,""
