"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Galagoides demidoff",11,4,3.34,NA,"","Bauernfeind2013(Zilles,primary)=3.3 | Burger2019(Burger,secondary)=3.38 | Stephan1981(Stephan_collection,primary)=3.38 | Stephan1981(Stephan_collection,primary)=3.38 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=3.35 | Lewitus2013(Lewitus,secondary)=3.35 | Stephan1970(Stephan_collection,primary)=3.38 | Stephan1970(Stephan_collection,primary)=3.38 | Frahm1998(Stephan_collection,secondary)=3.38"
"Indri indri",11,4,36,NA,"","Bauernfeind2013(Zilles,primary)=33.7 | Burger2019(Burger,secondary)=38.3 | Stephan1981(Stephan_collection,primary)=38.3 | Stephan1981(Stephan_collection,primary)=38.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=37.35 | Lewitus2013(Lewitus,secondary)=37.35 | Stephan1970(Stephan_collection,primary)=38.3 | Stephan1970(Stephan_collection,primary)=38.3 | Frahm1998(Stephan_collection,secondary)=38.3"
"Loris tardigradus",11,4,6.75,NA,"","Bauernfeind2013(Zilles,primary)=6.9 | Burger2019(Burger,secondary)=6 | Stephan1981(Stephan_collection,primary)=6.6 | Stephan1981(Stephan_collection,primary)=6.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=6.63 | Lewitus2013(Lewitus,secondary)=6.63 | Stephan1970(Stephan_collection,primary)=6.6 | Stephan1970(Stephan_collection,primary)=6.6 | Frahm1998(Stephan_collection,secondary)=6.6"
"Microcebus murinus",11,4,1.78,NA,"","Burger2019(Burger,secondary)=1.84 | Stephan1981(Stephan_collection,primary)=1.78 | Stephan1981(Stephan_collection,primary)=1.78 | HerculanoHouzel2015(HerculanoHouzel,secondary)=1.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=1.85 | Lewitus2013(Lewitus,secondary)=1.85 | Stephan1970(Stephan_collection,primary)=1.78 | Stephan1970(Stephan_collection,primary)=1.78 | Frahm1998(Stephan_collection,secondary)=1.78"
"Miopithecus talapoin",11,4,39.6,NA,"","Burger2019(Burger,secondary)=34.8 | Stephan1981(Stephan_collection,primary)=40 | Stephan1981(Stephan_collection,primary)=40 | deSousa2013(Zilles,secondary)=41.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=39.1 | Lewitus2013(Lewitus,secondary)=39.1 | Stephan1970(Stephan_collection,primary)=39 | Stephan1970(Stephan_collection,primary)=39 | Frahm1998(Stephan_collection,secondary)=40"
"Piliocolobus badius",11,4,76.9625,NA,"","Bauernfeind2013(Zilles,primary)=75 | Burger2019(Burger,secondary)=78 | Stephan1981(Stephan_collection,primary)=78 | Stephan1981(Stephan_collection,primary)=78 | deSousa2013(Zilles,secondary)=76.85 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=76.75 | Lewitus2013(Lewitus,secondary)=76.75 | Stephan1970(Stephan_collection,primary)=78 | Stephan1970(Stephan_collection,primary)=78"
"Pongo pygmaeus",11,4,376.6112,NA,"","deSousa2010(Zilles,primary)=440 | deSousa2010(Zilles,primary)=369 | deSousa2010(Zilles,primary)=345 | Bauernfeind2013(Zilles,primary)=376 | Bauernfeind2013(Zilles,primary)=345 | deSousa2009(deSousa,secondary)=369 | Burger2019(Burger,secondary)=341.99 | deSousa2013(Zilles,secondary)=384.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=347.75"
"Rattus norvegicus",11,6,1.6395,NA,"","Nudo1995(Nudo,primary)=1.5 | Garwicz2009(Garwicz,secondary)=2 | Burger2019(Burger,secondary)=1.4 | Burger2019(Burger,secondary)=8.03 | HerculanoHouzel2015(HerculanoHouzel,secondary)=1.72 | Changizi2005(Changizi,primary)=1.78 | Changizi2005(Changizi,primary)=1.78 | HerculanoHouzel2015(HerculanoHouzel,secondary)=1.72 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=2.41"
"Tupaia glis",11,5,2.8275,NA,"","Nudo1995(Nudo,primary)=2.48 | Burger2019(Burger,secondary)=3.2 | Stephan1981(Stephan_collection,primary)=3.2 | Stephan1981(Stephan_collection,primary)=3.2 | HerculanoHouzel2015(HerculanoHouzel,secondary)=2.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=3.03 | Lewitus2013(Lewitus,secondary)=3.03 | Stephan1970(Stephan_collection,primary)=3.15 | Stephan1970(Stephan_collection,primary)=3.15"
"Avahi laniger",10,4,9.84,NA,"","Bauernfeind2013(Zilles,primary)=9.6 | Burger2019(Burger,secondary)=10.49 | Stephan1981(Stephan_collection,primary)=10.49 | Stephan1981(Stephan_collection,primary)=10.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=10.65 | Lewitus2013(Lewitus,secondary)=10.65 | Stephan1970(Stephan_collection,primary)=9.67 | Stephan1970(Stephan_collection,primary)=9.67"
"Callicebus moloch",10,3,17.6,NA,"","Burger2019(Burger,secondary)=19 | Stephan1981(Stephan_collection,primary)=19 | Stephan1981(Stephan_collection,primary)=19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=19 | Lewitus2013(Lewitus,secondary)=19 | Stephan1970(Stephan_collection,primary)=15.5 | Stephan1970(Stephan_collection,primary)=15.5 | Frahm1998(Stephan_collection,secondary)=19"
"Cheirogaleus major",10,3,6.8,NA,"","Burger2019(Burger,secondary)=6.8 | Stephan1981(Stephan_collection,primary)=6.8 | Stephan1981(Stephan_collection,primary)=6.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=6.43 | Lewitus2013(Lewitus,secondary)=6.43 | Stephan1970(Stephan_collection,primary)=6.8 | Stephan1970(Stephan_collection,primary)=6.8 | Frahm1998(Stephan_collection,secondary)=6.8"
"Mus musculus",10,7,0.6435,NA,"","Karl2024(Karl,secondary)=0.4 | Garwicz2009(Garwicz,secondary)=0.45 | Burger2019(Burger,secondary)=0.4 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.4 | Changizi2005(Changizi,primary)=0.49 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=0.55 | Brodmann1913(Brodmann,primary)=0.8"
"Nycticebus coucang",10,4,10.19,NA,"","Nudo1995(Nudo,primary)=7.88 | Burger2019(Burger,secondary)=12.74 | Stephan1981(Stephan_collection,primary)=12.5 | Stephan1981(Stephan_collection,primary)=12.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=11.73 | Lewitus2013(Lewitus,secondary)=11.73 | Stephan1970(Stephan_collection,primary)=12.5 | Stephan1970(Stephan_collection,primary)=12.5"
"Otolemur crassicaudatus",10,3,10.3,NA,"","Burger2019(Burger,secondary)=11.78 | Stephan1981(Stephan_collection,primary)=10.3 | Stephan1981(Stephan_collection,primary)=10.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=10.6 | Lewitus2013(Lewitus,secondary)=10.6 | Stephan1970(Stephan_collection,primary)=10.3 | Stephan1970(Stephan_collection,primary)=10.3 | Frahm1998(Stephan_collection,secondary)=10.3"
"Perodicticus potto",10,4,12.75,NA,"","Bauernfeind2013(Zilles,primary)=11.5 | Burger2019(Burger,secondary)=12.07 | Stephan1981(Stephan_collection,primary)=14 | Stephan1981(Stephan_collection,primary)=14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=13.54 | Lewitus2013(Lewitus,secondary)=13.54 | Stephan1970(Stephan_collection,primary)=14 | Stephan1970(Stephan_collection,primary)=14"
"Saguinus midas",10,3,10.3,NA,"","Burger2019(Burger,secondary)=9.78 | Stephan1981(Stephan_collection,primary)=10.3 | Stephan1981(Stephan_collection,primary)=10.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=10.5 | Lewitus2013(Lewitus,secondary)=10.5 | Stephan1970(Stephan_collection,primary)=10.3 | Stephan1970(Stephan_collection,primary)=10.3 | Frahm1998(Stephan_collection,secondary)=10.3"
