"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Harpiocephalus harpia",3,1,0.442,NA,"","Burger2019(Burger,secondary)=0.44 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Helarctos malayanus",3,1,385.5,NA,"","Burger2019(Burger,secondary)=385.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Heliosciurus gambianus",3,1,3.99,NA,"","Burger2019(Burger,secondary)=3.99 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Heliosciurus rufobrachium",3,1,5.75,NA,"","Burger2019(Burger,secondary)=5.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Heliosciurus ruwenzorii",3,1,5.4,NA,"","Burger2019(Burger,secondary)=5.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Helogale parvula",3,1,4.8,NA,"","Burger2019(Burger,secondary)=4.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hemibelideus lemuroides",3,1,3.15,NA,"","Burger2019(Burger,secondary)=3.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hemigalus derbyanus",3,1,18.9,NA,"","Burger2019(Burger,secondary)=18.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hemitragus jemlahicus",3,1,166,NA,"","Burger2019(Burger,secondary)=166 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes edwardsi",3,1,10.49,NA,"","Burger2019(Burger,secondary)=10.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes fuscus",3,1,12.55,NA,"","Burger2019(Burger,secondary)=12.55 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes ichneumon",3,1,23.3,NA,"","Burger2019(Burger,secondary)=23.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes javanicus",3,1,7.2,NA,"","Burger2019(Burger,secondary)=7.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes naso",3,1,25.53,NA,"","Burger2019(Burger,secondary)=25.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes smithii",3,1,14.6,NA,"","Burger2019(Burger,secondary)=14.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes urva",3,1,20.91,NA,"","Burger2019(Burger,secondary)=20.91 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Herpestes vitticollis",3,1,25.79,NA,"","Burger2019(Burger,secondary)=25.79 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hesperoptenus blanfordi",3,1,0.158,NA,"","Burger2019(Burger,secondary)=0.16 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Heterohyrax brucei",3,1,12.27,NA,"","Burger2019(Burger,secondary)=12.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Heteromys desmarestianus",3,1,1.13,NA,"","Burger2019(Burger,secondary)=1.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hexaprotodon liberiensis",3,1,215,NA,"","Burger2019(Burger,secondary)=215 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros armiger",3,1,0.8,NA,"","Burger2019(Burger,secondary)=0.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros ater",3,1,0.198,NA,"","Burger2019(Burger,secondary)=0.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros bicolor",3,1,0.2383,NA,"","Burger2019(Burger,secondary)=0.24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros caffer",3,1,0.313,NA,"","Burger2019(Burger,secondary)=0.31 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros calcaratus",3,1,0.369,NA,"","Burger2019(Burger,secondary)=0.37 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros cervinus",3,1,0.214,NA,"","Burger2019(Burger,secondary)=0.21 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros diadema",3,1,0.715,NA,"","Burger2019(Burger,secondary)=0.72 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros fulvus",3,1,0.236,NA,"","Burger2019(Burger,secondary)=0.24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros galeritus",3,1,0.279,NA,"","Burger2019(Burger,secondary)=0.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros halophyllus",3,1,0.152,NA,"","Burger2019(Burger,secondary)=0.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros lankadiva",3,1,0.733,NA,"","Burger2019(Burger,secondary)=0.73 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros larvatus",3,1,0.4165,NA,"","Burger2019(Burger,secondary)=0.42 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros lekaguli",3,1,0.584,NA,"","Burger2019(Burger,secondary)=0.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros maggietaylorae",3,1,0.5425,NA,"","Burger2019(Burger,secondary)=0.54 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros pomona",3,1,0.233,NA,"","Burger2019(Burger,secondary)=0.23 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros ridleyi",3,1,0.269,NA,"","Burger2019(Burger,secondary)=0.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros ruber",3,1,0.265,NA,"","Burger2019(Burger,secondary)=0.26 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros speoris",3,1,0.284,NA,"","Burger2019(Burger,secondary)=0.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hipposideros turpis",3,1,0.599,NA,"","Burger2019(Burger,secondary)=0.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hippotragus equinus",3,1,387.9,NA,"","Burger2019(Burger,secondary)=387.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hippotragus niger",3,1,282,NA,"","Burger2019(Burger,secondary)=282 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Histriophoca fasciata",3,1,248.75,NA,"","Burger2019(Burger,secondary)=248.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Holochilus chacarius",3,1,1.61,NA,"","Burger2019(Burger,secondary)=1.61 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Holochilus sciureus",3,1,1.41,NA,"","Burger2019(Burger,secondary)=1.41 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Homo sapiens (MRI)",3,1,1302,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=1302"
"Hoplomys gymnurus",3,1,4.13,NA,"","Burger2019(Burger,secondary)=4.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hyaena brunnea",3,1,106.7,NA,"","Burger2019(Burger,secondary)=106.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hyaena hyaena",3,1,97.5,NA,"","Burger2019(Burger,secondary)=97.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hybomys trivirgatus",3,1,1.1,NA,"","Burger2019(Burger,secondary)=1.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hydrictis maculicollis",3,1,33,NA,"","Burger2019(Burger,secondary)=33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hydrochoeris hydrochaeris",3,1,75,NA,"","Burger2019(Burger,secondary)=75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hydromys chrysogaster",3,1,4.33,NA,"","Burger2019(Burger,secondary)=4.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hydropotes inermis",3,1,52,NA,"","Burger2019(Burger,secondary)=52 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hydrurga leptonyx",3,1,712.5,NA,"","Burger2019(Burger,secondary)=712.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hyemoschus aquaticus",3,1,25.2,NA,"","Burger2019(Burger,secondary)=25.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hylobates",3,1,74.1,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=74.1"
"Hylobates agilis",3,1,88.1,NA,"","Burger2019(Burger,secondary)=88.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hylobates klossii",3,1,87.9913,NA,"","Burger2019(Burger,secondary)=87.99 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hylobates moloch",3,1,103,NA,"","Burger2019(Burger,secondary)=103 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hylobates pileatus",3,1,84.6852,NA,"","Burger2019(Burger,secondary)=84.69 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hylobates sp.",3,1,118,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=118"
"Hylochoerus meinertzhageni",3,1,141,NA,"","Burger2019(Burger,secondary)=141 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hylopetes spadiceus",3,1,1.87,NA,"","Burger2019(Burger,secondary)=1.87 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hypsignathus monstrosus",3,1,3.4148,NA,"","Burger2019(Burger,secondary)=3.41 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hypsugo crassulus",3,1,0.132,NA,"","Burger2019(Burger,secondary)=0.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hypsugo imbricatus",3,1,0.137,NA,"","Burger2019(Burger,secondary)=0.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hypsugo pulveratus",3,1,0.143,NA,"","Burger2019(Burger,secondary)=0.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hystrix africaeaustralis",3,1,35.71,NA,"","Burger2019(Burger,secondary)=35.71 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hystrix brachyura",3,1,37.64,NA,"","Burger2019(Burger,secondary)=37.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hystrix cristata",3,1,32.4,NA,"","Burger2019(Burger,secondary)=32.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hystrix indica",3,1,44.07,NA,"","Burger2019(Burger,secondary)=44.07 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Hystrix sumatrae",3,1,27.04,NA,"","Burger2019(Burger,secondary)=27.04 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ichneumia albicauda",3,1,28.3,NA,"","Burger2019(Burger,secondary)=28.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ictonyx libyca",3,1,4.48,NA,"","Burger2019(Burger,secondary)=4.48 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ictonyx striatus",3,1,8.5,NA,"","Burger2019(Burger,secondary)=8.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Inia geoffrensis",3,1,633.645,NA,"","Burger2019(Burger,secondary)=633.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Iomys horsfieldii",3,1,3.38,NA,"","Burger2019(Burger,secondary)=3.38 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Isoodon macrourus",3,1,4.42,NA,"","Burger2019(Burger,secondary)=4.42 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Isoodon obesulus",3,1,4.03,NA,"","Burger2019(Burger,secondary)=4.03 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Isthmomys pirrensis",3,1,1.71,NA,"","Burger2019(Burger,secondary)=1.71 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Jaculus jaculus",3,1,1.53,NA,"","Burger2019(Burger,secondary)=1.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Jaculus orientalis",3,1,2.5,NA,"","Burger2019(Burger,secondary)=2.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Kerivoula papillosa",3,1,0.31,NA,"","Burger2019(Burger,secondary)=0.31 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Kerivoula pellucida",3,1,0.203,NA,"","Burger2019(Burger,secondary)=0.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Kerivoula phalaena",3,1,0.116,NA,"","Burger2019(Burger,secondary)=0.12 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"KNM-ER 1470",3,1,710.95,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=710.95"
"KNM-ER 1805",3,1,546.07,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=546.07"
"KNM-ER 1813",3,1,495.28,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=495.28"
"KNM-ER 23000",3,1,466.76,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=466.76"
"KNM-ER 3733",3,1,765.1,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=765.1"
"KNM-ER 3883",3,1,722.47,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=722.47"
"KNM-WT 15000",3,1,823.52,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=823.52"
"Kobus ellipsiprymnus",3,1,290,NA,"","Burger2019(Burger,secondary)=290 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Kobus kob",3,1,204,NA,"","Burger2019(Burger,secondary)=204 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Kobus leche",3,1,222.7,NA,"","Burger2019(Burger,secondary)=222.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Kogia breviceps",3,1,1019,NA,"","Burger2019(Burger,secondary)=1019 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Kogia sima",3,1,622,NA,"","Burger2019(Burger,secondary)=622 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"La Chapelle I",3,1,1516.76,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=1516.76"
"La Ferrassie I",3,1,1575.83,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=1575.83"
"Lagenorhynchus acutus",3,1,1103.17,NA,"","Burger2019(Burger,secondary)=1103.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagenorhynchus albirostris",3,1,1126,NA,"","Burger2019(Burger,secondary)=1126 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagenorhynchus obliquidens",3,1,1136.75,NA,"","Burger2019(Burger,secondary)=1136.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagenorhynchus obscurus",3,1,886.1,NA,"","Burger2019(Burger,secondary)=886.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagidium viscacia",3,1,15.08,NA,"","Burger2019(Burger,secondary)=15.08 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagorchestes conspicillatus",3,1,14,NA,"","Burger2019(Burger,secondary)=14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagorchestes hirsutus",3,1,7.77,NA,"","Burger2019(Burger,secondary)=7.77 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagorchestes leporides",3,1,12.6,NA,"","Burger2019(Burger,secondary)=12.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagostomus maximus",3,1,12.66,NA,"","Burger2019(Burger,secondary)=12.66 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagostrophus fasciatus",3,1,7,NA,"","Burger2019(Burger,secondary)=7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagothrix cana",3,1,99.3441,NA,"","Burger2019(Burger,secondary)=99.34 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagothrix poeppigii",3,1,99.23,NA,"","Burger2019(Burger,secondary)=99.23 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lagurus lagurus",3,1,0.42,NA,"","Burger2019(Burger,secondary)=0.42 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lama glama domesticus",3,1,216.7667,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=216.77"
"Lasiorhinus latifrons",3,1,55.5,NA,"","Burger2019(Burger,secondary)=55.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lasiurus borealis",3,1,0.17,NA,"","Burger2019(Burger,secondary)=0.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lavia frons",3,1,0.644,NA,"","Burger2019(Burger,secondary)=0.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lemmus lemmus",3,1,0.86,NA,"","Burger2019(Burger,secondary)=0.86 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lemmus sibiricus",3,1,1.49,NA,"","Burger2019(Burger,secondary)=1.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lemmus trimucronatus",3,1,0.9,NA,"","Burger2019(Burger,secondary)=0.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lemniscomys striatus",3,1,0.85,NA,"","Burger2019(Burger,secondary)=0.85 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leontopithecus chrysomelas",3,1,11.8427,NA,"","Burger2019(Burger,secondary)=11.84 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leopardus geoffroyi",3,1,34,NA,"","Burger2019(Burger,secondary)=34 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leopardus pardalis",3,1,63.1,NA,"","Burger2019(Burger,secondary)=63.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leopoldamys edwardsi",3,1,4.81,NA,"","Burger2019(Burger,secondary)=4.81 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leopoldamys sabanus",3,1,3.98,NA,"","Burger2019(Burger,secondary)=3.98 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leopoldamys siporanus",3,1,3.39,NA,"","Burger2019(Burger,secondary)=3.39 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepilemur dorsalis",3,1,6.7,NA,"","Burger2019(Burger,secondary)=6.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepilemur edwardsi",3,1,7.25,NA,"","Burger2019(Burger,secondary)=7.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepilemur leucopus",3,1,6.8697,NA,"","Burger2019(Burger,secondary)=6.87 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepilemur microdon",3,1,9.75,NA,"","Burger2019(Burger,secondary)=9.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepilemur mustelinus",3,1,9.5599,NA,"","Burger2019(Burger,secondary)=9.56 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leptailurus serval",3,1,54.1,NA,"","Burger2019(Burger,secondary)=54.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leptonychotes weddellii",3,1,564.17,NA,"","Burger2019(Burger,secondary)=564.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leptonycteris curasoae",3,1,0.5875,NA,"","Burger2019(Burger,secondary)=0.59 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leptonycteris nivalis",3,1,0.5855,NA,"","Burger2019(Burger,secondary)=0.59 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepus americanus",3,1,9.72,NA,"","Burger2019(Burger,secondary)=9.72 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepus arcticus",3,1,15.8,NA,"","Burger2019(Burger,secondary)=15.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepus californicus",3,1,13.23,NA,"","Burger2019(Burger,secondary)=13.23 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepus capensis",3,1,10.78,NA,"","Burger2019(Burger,secondary)=10.78 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepus europaeus",3,1,14.35,NA,"","Burger2019(Burger,secondary)=14.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepus nigricollis",3,1,11.49,NA,"","Burger2019(Burger,secondary)=11.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lepus timidus",3,1,15.1,NA,"","Burger2019(Burger,secondary)=15.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Liomys irroratus",3,1,1.06,NA,"","Burger2019(Burger,secondary)=1.06 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Liomys pictus",3,1,0.77,NA,"","Burger2019(Burger,secondary)=0.77 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Liomys salvini",3,1,0.77,NA,"","Burger2019(Burger,secondary)=0.77 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lionycteris spurrelli",3,1,0.352,NA,"","Burger2019(Burger,secondary)=0.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lipotes vexillifer",3,1,558,NA,"","Burger2019(Burger,secondary)=558 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lissodelphis borealis",3,1,1162,NA,"","Burger2019(Burger,secondary)=1162 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lissonycteris angolensis",3,1,1.762,NA,"","Burger2019(Burger,secondary)=1.76 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Litocranius walleri",3,1,117.5,NA,"","Burger2019(Burger,secondary)=117.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lobodon carcinophaga",3,1,586.25,NA,"","Burger2019(Burger,secondary)=586.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lonchophylla mordax",3,1,0.432,NA,"","Burger2019(Burger,secondary)=0.43 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lonchophylla thomasi",3,1,0.3435,NA,"","Burger2019(Burger,secondary)=0.34 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lonchorhina aurita",3,1,0.377,NA,"","Burger2019(Burger,secondary)=0.38 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lontra canadensis",3,1,50.5,NA,"","Burger2019(Burger,secondary)=50.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lontra felina",3,1,38.9,NA,"","Burger2019(Burger,secondary)=38.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lontra longicaudis",3,1,57.4,NA,"","Burger2019(Burger,secondary)=57.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lophocebus aterrimus",3,1,101.5909,NA,"","Burger2019(Burger,secondary)=101.59 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lophuromys flavopunctatus",3,1,1.01,NA,"","Burger2019(Burger,secondary)=1.01 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lophuromys sikapusi",3,1,1.13,NA,"","Burger2019(Burger,secondary)=1.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Loris lydekkerianus",3,1,6.3,NA,"","Burger2019(Burger,secondary)=6.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lutra lutra",3,1,39,NA,"","Burger2019(Burger,secondary)=39 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lutreolina crassicaudata",3,1,3.41,NA,"","Burger2019(Burger,secondary)=3.41 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lutrogale perspicillata",3,1,61,NA,"","Burger2019(Burger,secondary)=61 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lycalopex culpaeus",3,1,51.4,NA,"","Burger2019(Burger,secondary)=51.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lycalopex griseus",3,1,42.47,NA,"","Burger2019(Burger,secondary)=42.47 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lycalopex gymnocercus",3,1,40,NA,"","Burger2019(Burger,secondary)=40 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lynx canadensis",3,1,69.5,NA,"","Burger2019(Burger,secondary)=69.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lynx lynx",3,1,68.5,NA,"","Burger2019(Burger,secondary)=68.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Lynx rufus",3,1,65,NA,"","Burger2019(Burger,secondary)=65 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca arctoides",3,1,100.7,NA,"","Burger2019(Burger,secondary)=100.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca assamensis",3,1,90.5,NA,"","Burger2019(Burger,secondary)=90.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca cyclopis",3,1,82,NA,"","Burger2019(Burger,secondary)=82 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca fuscata",3,1,96.8,NA,"","Burger2019(Burger,secondary)=96.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca hecki",3,1,94.6,NA,"","Burger2019(Burger,secondary)=94.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca leonina",3,1,85.5981,NA,"","Burger2019(Burger,secondary)=85.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca nigra",3,1,97.5,NA,"","Burger2019(Burger,secondary)=97.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca ochreata",3,1,97.98,NA,"","Burger2019(Burger,secondary)=97.98 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca silenus",3,1,85,NA,"","Burger2019(Burger,secondary)=85 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca sinica",3,1,58.15,NA,"","Burger2019(Burger,secondary)=58.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca sylvanus",3,1,87.7,NA,"","Burger2019(Burger,secondary)=87.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macaca tonkeana",3,1,93.7,NA,"","Burger2019(Burger,secondary)=93.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macroglossus minimus",3,1,0.607,NA,"","Burger2019(Burger,secondary)=0.61 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macroglossus sobrinus",3,1,0.692,NA,"","Burger2019(Burger,secondary)=0.69 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macronycteris commersoni",3,1,0.7448,NA,"","Burger2019(Burger,secondary)=0.74 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macrophyllum macrophyllum",3,1,0.321,NA,"","Burger2019(Burger,secondary)=0.32 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macropus agilis",3,1,33.3,NA,"","Burger2019(Burger,secondary)=33.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macropus antilopinus",3,1,56.8,NA,"","Burger2019(Burger,secondary)=56.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Macropus dorsalis",3,1,29.2,NA,"","Burger2019(Burger,secondary)=29.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
