"Record_ID","species_sci","Species","Order","Posture","Body_mass_kg","Body_mass_g","Body_mass_ln","Body_mass_class","Top_speed_class","Locomotor_habit","Shoulder_TD_deg","Shoulder_MS_deg","Shoulder_TO_deg","Elbow_TD_deg","Elbow_MS_deg","Elbow_TO_deg","Wrist_TD_deg","Wrist_MS_deg","Wrist_TO_deg","TAE_FL_deg","Sum_RoM_FL_deg","FL_Angular_Excursion_Efficiency_pct","Hip_TD_deg","Hip_MS_deg","Hip_TO_deg","Knee_TD_deg","Knee_MS_deg","Knee_TO_deg","Ankle_TD_deg","Ankle_MS_deg","Ankle_TO_deg","TAE_HL_deg","Sum_RoM_HL_deg","HL_Angular_Excursion_Efficiency_pct","Shoulder_Angular_Excursion_deg","Elbow_Angular_Excursion_deg","Wrist_Angular_Excursion_deg","Hip_Angular_Excursion_deg","Knee_Angular_Excursion_deg","Ankle_Angular_Excursion_deg","Relation_SumRoM_FL_HL","Relation_TAE_FL_HL","Shoulder_Relative_Angular_Excursion_pct","Elbow_Relative_Angular_Excursion_pct","Wrist_Relative_Angular_Excursion_pct","Hip_Relative_Angular_Excursion_pct","Knee_Relative_Angular_Excursion_pct","Ankle_Relative_Angular_Excursion_pct","Stride_length_m","Stride_length_norm"
17,"Homo sapiens","Homo sapiens","Primates","Plantigrade",80,80000,4.38202663467388,"Large","Slow","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,180,185,175,170,140,90,85,100,NA,75,NA,NA,NA,NA,25,35,15,NA,NA,NA,NA,NA,33.3333333333333,46.6666666666667,20,1.01,0.234400236097445
18,"Homo sapiens","Homo sapiens","Primates","Plantigrade",60,60000,4.0943445622221,"Large","Slow","Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,185,195,180,175,150,95,90,110,NA,80,NA,NA,NA,NA,30,30,20,NA,NA,NA,NA,NA,37.5,37.5,25,1.01,0.257990842239163
19,"Microcebus murinus","Microcebus murinus","Primates","Plantigrade",0.11,110,-2.20727491318972,"Small","Slow","Arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,80,113,88,75,92,115,95,125,76,117,64.957264957265,NA,NA,NA,70,17,30,NA,NA,NA,NA,NA,59.8290598290598,14.5299145299145,25.6410256410256,0.1799,0.375462817633939
20,"Eulemur fulvus","Eulemur fulvus","Primates","Plantigrade",3,3000,1.09861228866811,"Medium","Slow","Arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,110,145,86,85,120,111,95,133,75,162,46.2962962962963,NA,NA,NA,89,35,38,NA,NA,NA,NA,NA,54.9382716049383,21.6049382716049,23.4567901234568,0.8268,0.573271101633105
21,"Saguinus oedipus","Saguinus oedipus","Primates","Plantigrade",0.52,520,-0.653926467406664,"Small","Medium","Arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,100,155,89,80,114,109,60,97,77,187,41.1764705882353,NA,NA,NA,104,34,49,NA,NA,NA,NA,NA,55.6149732620321,18.1818181818182,26.2032085561497,0.5128,0.637695817607753
22,"Saimiri sciureus","Saimiri sciureus","Primates","Plantigrade",1.1,1100,0.0953101798043249,"Medium","Slow","Arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,80,130,132,100,110,140,120,117,73,115,63.4782608695652,NA,NA,NA,60,32,23,NA,NA,NA,NA,NA,52.1739130434783,27.8260869565217,20,0.4566,0.442321801188759
23,"Pongo spp","Pongo spp","Primates","Plantigrade",57.3,57300,4.04830062372069,"Large","Slow","Arboreal",80,60,45,165,170,180,155,175,150,NA,75,NA,73,93,110,155,130,110,110,85,100,NA,107,NA,35,15,25,37,45,25,0.700934579439252,NA,46.6666666666667,20,33.3333333333333,34.5794392523364,42.0560747663551,23.3644859813084,0.7773,0.201621632598379
24,"Pongo spp","Pongo spp","Primates","Plantigrade",40.5,40500,3.70130197411249,"Large","Slow","Arboreal",70,50,35,160,165,170,150,170,145,NA,70,NA,70,90,100,150,125,108,100,80,90,NA,92,NA,35,10,25,30,42,20,0.760869565217391,NA,50,14.2857142857143,35.7142857142857,32.6086956521739,45.6521739130435,21.7391304347826,0.7773,0.226344698413175
25,"Pongo spp","Pongo spp","Primates","Plantigrade",81.6,81600,4.40182926197006,"Large","Slow","Arboreal",90,70,55,170,180,190,160,180,160,NA,75,NA,75,95,120,160,135,115,120,90,110,NA,120,NA,35,20,20,45,45,30,0.625,NA,46.6666666666667,26.6666666666667,26.6666666666667,37.5,37.5,25,0.7773,0.179208504144708
26,"Pan paniscus","Pan paniscus","Primates","Plantigrade",35.05,35050,3.5567756134806,"Large","Medium","Arboreal",100,70,55,155,170,165,170,175,160,NA,75,NA,70,87,95,165,145,115,100,90,95,NA,85,NA,45,15,15,25,50,10,0.88235294117647,NA,60,20,20,29.4117647058824,58.8235294117647,11.7647058823529,0.404,0.123448369360925
27,"Pan paniscus","Pan paniscus","Primates","Plantigrade",18.9,18900,2.9391619220656,"Medium","Medium","Arboreal",95,65,50,150,160,160,165,170,165,NA,60,NA,65,85,90,160,140,110,90,80,85,NA,85,NA,45,10,5,25,50,10,0.705882352941177,NA,75,16.6666666666667,8.33333333333333,29.4117647058824,58.8235294117647,11.7647058823529,0.404,0.151668047899739
28,"Pan paniscus","Pan paniscus","Primates","Plantigrade",48.3,48300,3.87743156065853,"Large","Medium","Arboreal",105,85,70,170,190,170,175,180,150,NA,85,NA,72,90,110,170,150,130,105,100,100,NA,83,NA,35,20,30,38,40,5,1.02409638554217,NA,41.1764705882353,23.5294117647059,35.2941176470588,45.7831325301205,48.1927710843374,6.02409638554217,0.404,0.110934250844101
29,"Saimiri sciureus","Saimiri sciureus","Primates","Plantigrade",0.85,850,-0.162518929497775,"Small","Slow","Arboreal",127,100,93,122,110,126,188,220,199,74,82,90.2439024390244,61,95,120,122,90,98,114,90,107,75,115,65.2173913043478,34,16,32,59,32,24,0.71304347826087,0.986666666666667,41.4634146341463,19.5121951219512,39.0243902439024,51.304347826087,27.8260869565217,20.8695652173913,0.4566,0.482017639857155
30,"Saimiri sciureus","Saimiri sciureus","Primates","Plantigrade",1.05,1050,0.048790164169432,"Medium","Slow","Arboreal",156,100,115,142,110,137,199,220,225,74,114,64.9122807017544,78,95,140,141,90,121,161,90,129,75,184,40.7608695652174,56,32,26,62,51,71,0.619565217391304,0.986666666666667,49.1228070175439,28.0701754385965,22.8070175438596,33.695652173913,27.7173913043478,38.5869565217391,0.4566,0.44923419583171
31,"Saimiri sciureus","Saimiri sciureus","Primates","Plantigrade",0.95,950,-0.0512932943875506,"Small","Slow","Arboreal",140,100,106,135,110,132,194,220,212,74,91,81.3186813186813,70,95,130,132,90,110,140,90,117,75,152,49.3421052631579,40,25,26,60,42,50,0.598684210526316,0.986666666666667,43.956043956044,27.4725274725275,28.5714285714286,39.4736842105263,27.6315789473684,32.8947368421053,0.4566,0.464473961156057
32,"Dinomys branickii","Dinomys branickii","Rodentia","Plantigrade",12.5,12500,2.52572864430826,"Medium","Slow","Terrestrial",150,100,110,123,140,165,225,140,100,NA,217,NA,105,90,110,100,80,65,65,60,90,NA,85,0,50,42,125,20,35,30,2.55294117647059,NA,23.0414746543779,19.3548387096774,57.6036866359447,23.5294117647059,41.1764705882353,35.2941176470588,0.21,0.0904862569813391
33,"Vombatus ursinus","Vombatus ursinus","Diprotodontia","Plantigrade",25,25000,3.2188758248682,"Medium","Medium","Terrestrial",90,60,45,119,123,156,154,123,157,77.1,116,66.4655172413793,30,42,79,131,97,101,71,54,102,63.7,131,48.6259541984733,45,37,34,49,34,48,0.885496183206107,1.21036106750392,38.7931034482759,31.8965517241379,29.3103448275862,37.4045801526718,25.9541984732824,36.6412213740458,0.72,0.246236536321444
34,"Ailuropoda melanoleuca","Ailuropoda melanoleuca","Carnivora","Plantigrade",125,125000,4.8283137373023,"Very large","Slow","Terrestrial",111,66,34,153,129,167,142,117,99,61.6,158,38.9873417721519,67,58,128,153,114,163,101,68,74,49.6,152,32.6315789473684,77,38,43,70,49,33,1.03947368421053,1.24193548387097,48.7341772151899,24.0506329113924,27.2151898734177,46.0526315789474,32.2368421052632,21.7105263157895,1.4,0.28
35,"Ursus maritimus","Ursus maritimus","Carnivora","Plantigrade",450,450000,6.10924758276437,"Very large","Medium","Cursorial",97,60,56,149,144,147,134,105,132,53.4,75,71.2,47,84.4,94,130,146.2,123,100,76,87,48.4,94.2,51.380042462845,41,5,29,47,23.2,24,0.796178343949045,1.10330578512397,54.6666666666667,6.66666666666667,38.6666666666667,49.8938428874735,24.6284501061571,25.4777070063694,1.49,0.194438426178054
36,"Castor canadensis","Castor canadensis","Rodentia","Plantigrade",21.5,21500,3.06805293513362,"Medium","Fast","Terrestrial",108,47,48,99,110,120,153,148,164,70.7,98,72.1428571428571,86,51,62,148,93,63,127,55,72,53.5,192,27.8645833333333,61,21,16,35,85,72,0.510416666666667,1.3214953271028,62.2448979591837,21.4285714285714,16.3265306122449,18.2291666666667,44.2708333333333,37.5,0.65,0.233758387804002
37,"Procavia capensis","Procavia capensis","Hyracoidea","Plantigrade",4.5,4500,1.50407739677627,"Medium","Slow","Scansorial",90,68,31,112,118,134,182,202,206,78.7,105,74.952380952381,46,54,94,111,91,67,75,81,78,65,98,66.3265306122449,59,22,24,48,44,6,1.07142857142857,1.21076923076923,56.1904761904762,20.952380952381,22.8571428571429,48.9795918367347,44.8979591836735,6.12244897959184,0.35,0.211997402497083
38,"Ursus arctos","Ursus arctos","Carnivora","Plantigrade",550,550000,6.30991827822652,"Very large","Fast","Terrestrial",73,46,55,125,121,150,230,244,287,41.3,113,36.5486725663717,64,75,90,140,133,119,87,97,109,45.1,69,65.3623188405797,27,29,57,26,21,22,1.63768115942029,0.915742793791574,23.8938053097345,25.6637168141593,50.4424778761062,37.6811594202899,30.4347826086957,31.8840579710145,2.16,0.263632848005582
39,"Rattus norvegicus","Rattus norvegicus","Rodentia","Plantigrade",0.325,325,-1.1239300966524,"Small","Slow","Scansorial",67,34,21,86,92,110,190,244,250,48.2,130,37.0769230769231,89,68,45,80,94,63,80,78,88,72,85,84.7058823529412,46,24,60,44,31,10,1.52941176470588,0.669444444444445,35.3846153846154,18.4615384615385,46.1538461538462,51.764705882353,36.4705882352941,11.7647058823529,0.15,0.218170891061142
40,"Rattus norvegicus","Rattus norvegicus","Rodentia","Plantigrade",0.375,375,-0.980829253011726,"Small","Slow","Scansorial",104,70,21,113,130,110,173,233,246,66.1,176,37.5568181818182,17,15,58,82,70,86,80,72,98,52.3,85,61.5294117647059,83,20,73,43,16,26,2.07058823529412,1.26386233269598,47.1590909090909,11.3636363636364,41.4772727272727,50.5882352941176,18.8235294117647,30.5882352941176,0.17,0.235742833279216
41,"Papio papio","Papio papio","Primates","Plantigrade",19,19000,2.94443897916644,"Medium","Medium","Terrestrial",92,68,55,148,165,175,182,216,208,42.2,98,43.0612244897959,44,72,90,137,135,123,108,104,137,65.2,93,70.1075268817204,37,27,34,46,14,33,1.05376344086022,0.647239263803681,37.7551020408163,27.5510204081633,34.6938775510204,49.4623655913978,15.0537634408602,35.4838709677419,0.93,0.348523244409413
42,"Papio papio","Papio papio","Primates","Plantigrade",30,30000,3.40119738166216,"Large","Medium","Terrestrial",111,66,51,184,144,163,225,253,190,64.9,163,39.8159509202454,53,64,105,143,123,157,111,108,128,49.6,106,46.7924528301887,60,40,63,52,34,20,1.5377358490566,1.30846774193548,36.8098159509202,24.5398773006135,38.6503067484663,49.0566037735849,32.0754716981132,18.8679245283019,0.61,0.196316174869811
43,"Papio papio","Papio papio","Primates","Plantigrade",30,30000,3.40119738166216,"Large","Medium","Terrestrial",103,80,63,150,149,180,218,237,197,62.6,111,56.3963963963964,54,67,114,146,117,130,108,98,115,64.8,106,61.1320754716981,40,31,40,60,29,17,1.04716981132075,0.96604938271605,36.036036036036,27.9279279279279,36.036036036036,56.6037735849057,27.3584905660377,16.0377358490566,1.05,0.33792128461197
44,"Papio papio","Papio papio","Primates","Plantigrade",30,30000,3.40119738166216,"Large","Medium","Terrestrial",91,59,42,147,142,123,198,141,128,49.5,143,34.6153846153846,64,60,104,149,113,121,105,82,108,59.5,106,56.1320754716981,49,24,70,44,36,26,1.34905660377358,0.831932773109244,34.2657342657343,16.7832167832168,48.951048951049,41.5094339622642,33.9622641509434,24.5283018867925,0.4627,0.148910646085675
45,"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","Rodentia","Plantigrade",50,50000,3.91202300542815,"Large","Slow","Terrestrial",57,72,42,106,133,123,173,223,165,50,115,43.4782608695652,43,52,83,136,110,119,91,140,124,48,115,41.7391304347826,30,27,58,40,26,49,1,1.04166666666667,26.0869565217391,23.4782608695652,50.4347826086956,34.7826086956522,22.6086956521739,42.6086956521739,0.7508,0.203798474653946
46,"Macropus fuliginosus","Macropus fuliginosus","Diprotodontia","Plantigrade",35,35000,3.55534806148941,"Large","Fast","Terrestrial",79,81,63,121,122,131,208,224,231,28.2,51,55.2941176470588,26,27,42,116,106,90,79,64,71,24,57,42.1052631578947,18,10,23,16,26,15,0.894736842105263,1.175,35.2941176470588,19.6078431372549,45.0980392156863,28.0701754385965,45.6140350877193,26.3157894736842,0.5456,0.166795762684659
47,"Lepus europaeus","Lepus europaeus","Lagomorpha","Plantigrade",6.5,6500,1.87180217690159,"Medium","Fast","Cursorial",90,33,77,130,118,153,260,270,149,42.7,213,20.0469483568075,32,24,72,137,116,100,153,130,138,59.8,108,55.3703703703704,57,35,121,48,37,23,1.97222222222222,0.714046822742475,26.7605633802817,16.4319248826291,56.8075117370892,44.4444444444444,34.2592592592593,21.2962962962963,1.05,0.562623904328981
48,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",18.3,18300,2.90690105984738,"Medium","Fast","Cursorial",112.5,107.5,105,155,157.5,182.5,200,202.5,130,NA,107.5,NA,97,109,127,150.5,145,150,152,139,182,NA,78.5,NA,7.5,27.5,72.5,30,5.5,43,1.36942675159236,NA,6.97674418604651,25.5813953488372,67.4418604651163,38.2165605095541,7.00636942675159,54.7770700636943,0.3242,0.123025738472132
49,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",18.3,18300,2.90690105984738,"Medium","Fast","Cursorial",110,105,104,150,155,180,195,200,125,NA,111,NA,95,108,123,149.5,140,147,147,137,177,NA,77.5,NA,6,30,75,28,9.5,40,1.43225806451613,NA,5.4054054054054,27.027027027027,67.5675675675676,36.1290322580645,12.258064516129,51.6129032258064,0.3242,0.123025738472132
50,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",18.3,18300,2.90690105984738,"Medium","Fast","Cursorial",107.5,102.5,103,145,152.5,177.5,190,197.5,120,NA,115,NA,93,107,119,148.5,135,144,142,135,172,NA,76.5,NA,5,32.5,77.5,26,13.5,37,1.50326797385621,NA,4.34782608695652,28.2608695652174,67.3913043478261,33.9869281045752,17.6470588235294,48.3660130718954,0.3242,0.123025738472132
51,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",15.5,15500,2.7408400239252,"Medium","Fast","Cursorial",111.5,110,105.5,155,157.5,177.5,200,197.5,130,NA,98.5,NA,102,112,123,150.5,145,145,152,142,182,NA,66.5,NA,6,22.5,70,21,5.5,40,1.4812030075188,NA,6.09137055837564,22.8426395939086,71.0659898477157,31.578947368421,8.27067669172932,60.1503759398496,0.3947,0.158303272802976
52,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",15.5,15500,2.7408400239252,"Medium","Fast","Cursorial",109,107.5,103,150,155,175,195,195,127.5,NA,98.5,NA,99,109.5,120,149.5,140,142,147,137,177,NA,70.5,NA,6,25,67.5,21,9.5,40,1.39716312056738,NA,6.09137055837564,25.3807106598985,68.5279187817259,29.7872340425532,13.4751773049645,56.7375886524823,0.3947,0.158303272802976
53,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",15.5,15500,2.7408400239252,"Medium","Fast","Cursorial",106.5,103.5,100.5,145,152.5,172.5,190,192.5,125,NA,101,NA,96,107,117,148.5,135,139,142,132,172,NA,74.5,NA,6,27.5,67.5,21,13.5,40,1.35570469798658,NA,5.94059405940594,27.2277227722772,66.8316831683168,28.1879194630872,18.1208053691275,53.6912751677852,0.3947,0.158303272802976
54,"Cuniculus taczanowskii","Cuniculus taczanowskii","Rodentia","Digitigrade",6.5,6500,1.87180217690159,"Medium","Slow","Terrestrial",140,100,90,100,110,140,225,100,125,NA,215,NA,90,70,110,105,60,70,130,90,90,NA,125,NA,50,40,125,40,45,40,1.72,NA,23.2558139534884,18.6046511627907,58.1395348837209,32,36,32,0.17,0.0910914892723112
55,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",30,30000,3.40119738166216,"Large","Fast","Cursorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,115,140,147,145,125,145,150,155,NA,67,NA,NA,NA,NA,35,22,10,NA,NA,NA,NA,NA,52.2388059701493,32.8358208955224,14.9253731343284,0.65,0.209189366664553
56,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",30,30000,3.40119738166216,"Large","Fast","Cursorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,120,135,142,140,120,140,145,150,NA,57,NA,NA,NA,NA,25,22,10,NA,NA,NA,NA,NA,43.859649122807,38.5964912280702,17.5438596491228,0.65,0.209189366664553
57,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",30,30000,3.40119738166216,"Large","Fast","Cursorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,125,130,137,135,115,135,140,145,NA,47,NA,NA,NA,NA,15,22,10,NA,NA,NA,NA,NA,31.9148936170213,46.8085106382979,21.2765957446809,0.65,0.209189366664553
58,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",30,30000,3.40119738166216,"Large","Fast","Cursorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,117,133,145,137,137,138,143,165,NA,61,NA,NA,NA,NA,26,8,27,NA,NA,NA,NA,NA,42.6229508196721,13.1147540983607,44.2622950819672,0.65,0.209189366664553
59,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",30,30000,3.40119738166216,"Large","Fast","Cursorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,120,130,142,135,135,135,138,160,NA,52,NA,NA,NA,NA,20,7,25,NA,NA,NA,NA,NA,38.4615384615385,13.4615384615385,48.0769230769231,0.65,0.209189366664553
60,"Canis lupus familiaris","Canis lupus familiaris","Carnivora","Digitigrade",30,30000,3.40119738166216,"Large","Fast","Cursorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,123,127,139,133,133,132,133,155,NA,43,NA,NA,NA,NA,14,6,23,NA,NA,NA,NA,NA,32.5581395348837,13.953488372093,53.4883720930233,0.65,0.209189366664553
61,"Felis silvestris catus","Felis silvestris catus","Carnivora","Digitigrade",2.5,2500,0.916290731874155,"Medium","Medium","Scansorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,80,100,110,100,115,115,118,130,NA,70,NA,NA,NA,NA,40,15,15,NA,NA,NA,NA,NA,57.1428571428571,21.4285714285714,21.4285714285714,0.2655,0.195622072577805
62,"Felis silvestris catus","Felis silvestris catus","Carnivora","Digitigrade",2.5,2500,0.916290731874155,"Medium","Medium","Scansorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,70,100,105,90,115,95,90,120,NA,85,NA,NA,NA,NA,30,25,30,NA,NA,NA,NA,NA,35.2941176470588,29.4117647058824,35.2941176470588,0.3011,0.221852376848124
63,"Felis silvestris catus","Felis silvestris catus","Carnivora","Digitigrade",2.5,2500,0.916290731874155,"Medium","Medium","Scansorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,60,90,100,80,90,120,70,120,NA,135,NA,NA,NA,NA,65,20,50,NA,NA,NA,NA,NA,48.1481481481481,14.8148148148148,37.037037037037,0.46,0.338930897874916
