"source_row","parvorder_printed","family_printed","Species_Navarrete2016","Species_Isler2008","Species_Reader2011","innovator","technical_innovation_count","nontechnical_innovation_count","technical_innovation_plus_extractive_foraging_count","nontechnical_innovation_excluding_extractive_foraging_count","foraging_innovation_count","technical_foraging_innovation_count","nontechnical_foraging_innovation_count","technical_foraging_plus_extractive_foraging_count","nontechnical_foraging_excluding_extractive_foraging_count","life_history_composite"
128,"Catarrhini","Cercopithecidae","Macaca sylvanus","Macaca sylvanus","Macaca sylvanus","No",0,0,0,0,0,0,0,0,0,12.72564637
129,"Catarrhini","Cercopithecidae","Mandrillus leucophaeus","Mandrillus leucophaeus","Mandrillus leucophaeus","No",0,0,0,0,0,0,0,0,0,27.11965741
130,"Catarrhini","Cercopithecidae","Mandrillus sphinx","Mandrillus sphinx","Mandrillus sphinx","No",0,0,0,0,0,0,0,0,0,21.88723735
131,"Catarrhini","Cercopithecidae","Miopithecus talapoin","Cercopithecus talapoin","Miopithecus talapoin","No",0,0,0,0,0,0,0,0,0,12.26366034
132,"Catarrhini","Cercopithecidae","Nasalis larvatus","Nasalis larvatus","Nasalis larvatus","No",0,0,0,0,0,0,0,0,0,12.92869975
133,"Catarrhini","Cercopithecidae","Papio anubis","Papio anubis","Papio anubis","Yes",0,10,5,7,6,0,6,5,1,
134,"Catarrhini","Cercopithecidae","Papio cynocephalus","Papio cynocephalus","Papio cynocephalus","No",0,0,0,0,0,0,0,0,0,20.89769035
135,"Catarrhini","Cercopithecidae","Papio hamadryas","Papio hamadryas","Papio hamadryas","Yes",2,4,3,3,2,2,0,2,0,27.89733342
136,"Catarrhini","Cercopithecidae","Papio papio","Papio papio","Papio papio","Yes",2,6,4,4,5,2,3,3,2,
137,"Catarrhini","Cercopithecidae","Papio ursinus","Papio ursinus","Papio ursinus","Yes",0,4,3,1,2,0,2,2,0,33.82944433
138,"Catarrhini","Cercopithecidae","Piliocolobus badius","Piliocolobus badius","Procolobus badius","No",0,0,0,0,0,0,0,0,0,
139,"Catarrhini","Cercopithecidae","Piliocolobus kirkii","Piliocolobus kirkii","Procolobus kirkii","Yes",0,1,0,1,1,0,1,0,1,
140,"Catarrhini","Cercopithecidae","Presbytis comata","Presbytis comata","Presbytis comata","No",0,0,0,0,0,0,0,0,0,
141,"Catarrhini","Cercopithecidae","Presbytis melalophos","Presbytis melalophos","Presbytis melalophos","No",0,0,0,0,0,0,0,0,0,
