Species,Variable,Value,Teams,n_teams,Sources,n_sources,Source_detail,Year_used
Aotus trivirgatus,Area_striata_white_matter_Vol.mm3,207,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
Aotus trivirgatus,Body_Mass.g,830,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Aotus trivirgatus,Brain_Mass.mg,17100,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Aotus trivirgatus,Bulbus_olfactorius_Vol.mm3,56,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Aotus trivirgatus,Bulbus_olfactorius_accessorius_Vol.mm3,0.222,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Aotus trivirgatus,CerebellarHemisphere_Vol.mm3,950,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Aotus trivirgatus,CerebellarVermis_Vol.mm3,900,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Aotus trivirgatus,Cerebellar_nuclei_total_Vol.mm3,41.45,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Aotus trivirgatus,Cerebellum_Vol.mm3,1750,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Aotus trivirgatus,Complexus_centromedialis_Vol.mm3,54.5,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Aotus trivirgatus,Complexus_corticobasolateralis_Vol.mm3,147,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Aotus trivirgatus,Complexus_vestibularis_Vol.mm3,56.2,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Complexus_vestibularis_unilateral_Vol.mm3,28.1,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Corpus_geniculatum_laterale_Vol.mm3,32.9,Selected_collection,1,Stephan_etal_1984_Table1,1,Selected_collection: Stephan_etal_1984_Table1,1984
Aotus trivirgatus,Corpus_pineal_Vol.mm3,1.55,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Aotus trivirgatus,Corpus_subcommissurale_Vol.mm3,0.14,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Aotus trivirgatus,Corpus_subfornicale_Vol.mm3,0.162,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Aotus trivirgatus,Diencephalon_Vol.mm3,1098,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Aotus trivirgatus,Hippocampus_Vol.mm3,539,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Aotus trivirgatus,Interpositus_cerebellar_nuclei_Vol.mm3,11.42,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Aotus trivirgatus,Lateral_cerebellar_nuclei_Vol.mm3,17.02,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Aotus trivirgatus,Lobus_piriformis_Vol.mm3,394,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Aotus trivirgatus,Medial_cerebellar_nuclei_Vol.mm3,13.01,Selected_collection,1,Matano_etal_1985_a_Table1,1,Selected_collection: Matano_etal_1985_a_Table1,1985
Aotus trivirgatus,Medulla_oblongata_Vol.mm3,686,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Aotus trivirgatus,Mesencephalon_Vol.mm3,409,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Aotus trivirgatus,Neocortex_Vol.mm3,9950,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Aotus trivirgatus,Neocortex_grey_matter_Vol.mm3,7776,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Aotus trivirgatus,Neocortex_lamina_1_Vol.mm3,1039,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Aotus trivirgatus,Neocortex_laminae_2_6_Vol.mm3,6737,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Aotus trivirgatus,Neocortex_white_matter_Vol.mm3,2174,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Aotus trivirgatus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,15.7,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Aotus trivirgatus,Nucleus_habenularis_medialis_Vol.mm3,3.21,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Aotus trivirgatus,Nucleus_septalis_triangularis_Vol.mm3,0.964,Selected_collection,1,Stephan_etal_1981_TableXVI,1,Selected_collection: Stephan_etal_1981_TableXVI,1981
Aotus trivirgatus,Nucleus_tractus_olfactorius_Vol.mm3,0.201,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Aotus trivirgatus,Nucleus_vestibularis_descendens_Vol.mm3,11.62,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,5.81,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Nucleus_vestibularis_lateralis_Vol.mm3,10.28,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,5.14,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Nucleus_vestibularis_medialis_Vol.mm3,22.2,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,11.1,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Nucleus_vestibularis_superior_Vol.mm3,12.14,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Nucleus_vestibularis_superior_unilateral_Vol.mm3,6.07,Selected_collection,1,Matano__1986_TableI,1,Selected_collection: Matano__1986_TableI,1986
Aotus trivirgatus,Palaeocortex_Vol.mm3,203,Selected_collection,1,Stephan_etal_1981_TableXI,1,Selected_collection: Stephan_etal_1981_TableXI,1981
Aotus trivirgatus,Schizo_cortex_Vol.mm3,243,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Aotus trivirgatus,Septum_Vol.mm3,83.8,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Aotus trivirgatus,Striatum_Vol.mm3,862,Selected_collection,1,Stephan_etal_1981_TableVI,1,Selected_collection: Stephan_etal_1981_TableVI,1981
Aotus trivirgatus,Telencephalon_Vol.mm3,12128,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,19125,Selected_collection,1,MacLeod_etal_2003_Table2,1,Selected_collection: MacLeod_etal_2003_Table2,2003
Aotus trivirgatus,Ventral_pons_Vol.mm3,112.1,Selected_collection,1,Matano_etal_1985_b_Table1,1,Selected_collection: Matano_etal_1985_b_Table1,1985
Aotus trivirgatus,Ventricles_Vol.mm3,105,Selected_collection,1,Stephan_etal_1981_TableIII,1,Selected_collection: Stephan_etal_1981_TableIII,1981
Atelerix algirus,Body_Mass.g,790,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Brain_Mass.mg,3200,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Bulbus_olfactorius_Vol.mm3,285,Selected_collection,1,Stephan_etal_1981_TableIV,1,Selected_collection: Stephan_etal_1981_TableIV,1981
Atelerix algirus,Bulbus_olfactorius_accessorius_Vol.mm3,1.93,Selected_collection,1,Stephan_etal_1981_TableIV,1,Selected_collection: Stephan_etal_1981_TableIV,1981
Atelerix algirus,Cerebellum_Vol.mm3,358,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Corpus_geniculatum_laterale_Vol.mm3,5.02,Selected_collection,1,Stephan_etal_1984_Table1,1,Selected_collection: Stephan_etal_1984_Table1,1984
Atelerix algirus,Corpus_pineal_Vol.mm3,0.297,Selected_collection,1,Stephan_etal_1981_TableXIV,1,Selected_collection: Stephan_etal_1981_TableXIV,1981
Atelerix algirus,Corpus_subcommissurale_Vol.mm3,0.0222,Selected_collection,1,Stephan_etal_1981_TableXIV,1,Selected_collection: Stephan_etal_1981_TableXIV,1981
Atelerix algirus,Corpus_subfornicale_Vol.mm3,0.0621,Selected_collection,1,Stephan_etal_1981_TableXIV,1,Selected_collection: Stephan_etal_1981_TableXIV,1981
Atelerix algirus,Diencephalon_Vol.mm3,246,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Hippocampus_Vol.mm3,227,Selected_collection,1,Stephan_etal_1981_TableIV,1,Selected_collection: Stephan_etal_1981_TableIV,1981
Atelerix algirus,Lobus_piriformis_Vol.mm3,459,Selected_collection,1,Stephan_etal_1981_TableIV,1,Selected_collection: Stephan_etal_1981_TableIV,1981
Atelerix algirus,Medulla_oblongata_Vol.mm3,336,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Mesencephalon_Vol.mm3,153,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Neocortex_Vol.mm3,500.3,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Atelerix algirus,Neocortex_grey_matter_Vol.mm3,436.7,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Atelerix algirus,Neocortex_lamina_1_Vol.mm3,117,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Atelerix algirus,Neocortex_laminae_2_6_Vol.mm3,319.7,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Atelerix algirus,Neocortex_white_matter_Vol.mm3,63.6,Selected_collection,1,Frahm_etal_1982_Table2,1,Selected_collection: Frahm_etal_1982_Table2,1982
Atelerix algirus,Nucleus_habenularis_medialis_Vol.mm3,0.93,Selected_collection,1,Stephan_etal_1981_TableXIV,1,Selected_collection: Stephan_etal_1981_TableXIV,1981
Atelerix algirus,Nucleus_septalis_triangularis_Vol.mm3,1.18,Selected_collection,1,Stephan_etal_1981_TableXIV,1,Selected_collection: Stephan_etal_1981_TableXIV,1981
Atelerix algirus,Schizo_cortex_Vol.mm3,109,Selected_collection,1,Stephan_etal_1981_TableIV,1,Selected_collection: Stephan_etal_1981_TableIV,1981
Atelerix algirus,Septum_Vol.mm3,42.9,Selected_collection,1,Stephan_etal_1981_TableIV,1,Selected_collection: Stephan_etal_1981_TableIV,1981
Atelerix algirus,Striatum_Vol.mm3,140,Selected_collection,1,Stephan_etal_1981_TableIV,1,Selected_collection: Stephan_etal_1981_TableIV,1981
Atelerix algirus,Telencephalon_Vol.mm3,1766,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Total_brain_net_volume_Vol.mm3,2859,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Atelerix algirus,Ventricles_Vol.mm3,121,Selected_collection,1,Stephan_etal_1981_TableI,1,Selected_collection: Stephan_etal_1981_TableI,1981
Ateles geoffroyi,Agranular_insular_cortex_Vol.mm3,270,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Ateles geoffroyi,Agranular_insular_cortex_left_Vol.mm3,135,Selected_collection,1,Bauernfeind_etal_2013_Table1,1,Selected_collection: Bauernfeind_etal_2013_Table1,2013
Ateles geoffroyi,Area_striata_Vol.mm3,4738,Selected_collection,1,Frahm_etal_1984_Table1,1,Selected_collection: Frahm_etal_1984_Table1,1984
