Species,Variable,Source,Cited_as,DOI_or_ISBN,Team,Year,source_Value,merged_Value,pct_diff_from_merged,role,n_rows_in_source,Teams,n_teams,n_sources,Year_used
Tarsius sp.,Complexus_vestibularis_Vol.mm3,NA,NA,NA,NA,NA,NA,15.38,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Stephan_collection,1,NA,NA
Tarsius sp.,Complexus_vestibularis_unilateral_Vol.mm3,Stephan_etal_1981_TableXIII,Stephan et al. (1981) Table XIII,10.1159/000155963,Stephan_collection,1981,7.69,7.69,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Corpus_geniculatum_laterale_Vol.mm3,Stephan_etal_1981_TableIX,Stephan et al. (1981) Table IX,10.1159/000155963,Stephan_collection,1981,20.8,20.8,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Corpus_pineal_Vol.mm3,Stephan_etal_1981_TableXV,Stephan et al. (1981) Table XV,10.1159/000155963,Stephan_collection,1981,2.03,2.03,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Corpus_subcommissurale_Vol.mm3,Stephan_etal_1981_TableXV,Stephan et al. (1981) Table XV,10.1159/000155963,Stephan_collection,1981,0.114,0.114,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Corpus_subfornicale_Vol.mm3,Stephan_etal_1981_TableXV,Stephan et al. (1981) Table XV,10.1159/000155963,Stephan_collection,1981,0.0482,0.0482,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Diencephalon_Vol.mm3,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,303,303,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Epithalamus_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,2.53,2.53,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Facial_motor_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,1.5,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Tarsius sp.,Facial_motor_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,0.75,0.75,0,sole source,1,Sherwood,1,1,2005
Tarsius sp.,Hippocampus_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,153,153,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Hypoglossal_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,0.56,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Tarsius sp.,Hypoglossal_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,0.28,0.28,0,sole source,1,Sherwood,1,1,2005
Tarsius sp.,Hypothalamus_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,42.5,42.5,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Lobus_piriformis_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,92.7,92.7,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Medulla_oblongata_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,206.85,206.925,-0.04,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Tarsius sp.,Medulla_oblongata_Vol.mm3,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,207,206.925,0.04,averaged into the merged value,1,Sherwood; Stephan_collection,2,2,2005
Tarsius sp.,Mesencephalon_Vol.mm3,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,197,197,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Neocortex_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,1620,1694,-4.37,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Tarsius sp.,Neocortex_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,1768,1694,4.37,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Tarsius sp.,Neocortex_grey_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,1470,1470,0,sole source,1,Bush,1,1,2004
Tarsius sp.,Neocortex_white_matter_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,150,150,0,sole source,1,Bush,1,1,2004
Tarsius sp.,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,5.35,5.35,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Nucleus_habenularis_medialis_Vol.mm3,Stephan_etal_1981_TableXV,Stephan et al. (1981) Table XV,10.1159/000155963,Stephan_collection,1981,1.13,1.13,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Nucleus_septalis_triangularis_Vol.mm3,Stephan_etal_1981_TableXV,Stephan et al. (1981) Table XV,10.1159/000155963,Stephan_collection,1981,0.405,0.405,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Nucleus_subthalamicus_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,1.09,1.09,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Nucleus_tractus_olfactorius_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,0.0752,0.0752,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Nucleus_vestibularis_descendens_Vol.mm3,NA,NA,NA,NA,NA,NA,4.82,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Stephan_collection,1,NA,NA
Tarsius sp.,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Stephan_etal_1981_TableXIII,Stephan et al. (1981) Table XIII,10.1159/000155963,Stephan_collection,1981,2.41,2.41,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Nucleus_vestibularis_lateralis_Vol.mm3,NA,NA,NA,NA,NA,NA,2.32,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Stephan_collection,1,NA,NA
Tarsius sp.,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Stephan_etal_1981_TableXIII,Stephan et al. (1981) Table XIII,10.1159/000155963,Stephan_collection,1981,1.16,1.16,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Nucleus_vestibularis_medialis_Vol.mm3,NA,NA,NA,NA,NA,NA,6.72,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Stephan_collection,1,NA,NA
Tarsius sp.,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Stephan_etal_1981_TableXIII,Stephan et al. (1981) Table XIII,10.1159/000155963,Stephan_collection,1981,3.36,3.36,0,sole source,1,Stephan_collection,1,1,1981
