Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Callithrix jacchus,Callithrix jacchus,area31_posterior_cingulate,molecular,11,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Callithrix jacchus,Callithrix jacchus,area31_posterior_cingulate,outer_main,43,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Callithrix jacchus,Callithrix jacchus,area31_posterior_cingulate,granular,14,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Callithrix jacchus,Callithrix jacchus,area31_posterior_cingulate,inner_main,32,2,Zilles_etal_1986_Table1,"Table 1, area31",primary
Aotus trivirgatus,Aotus trivirgatus,area29_posterior_cingulate,molecular,24,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Aotus trivirgatus,Aotus trivirgatus,area29_posterior_cingulate,outer_main,38,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Aotus trivirgatus,Aotus trivirgatus,area29_posterior_cingulate,inner_main,38,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Aotus trivirgatus,Aotus trivirgatus,area30_posterior_cingulate,molecular,19,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Aotus trivirgatus,Aotus trivirgatus,area30_posterior_cingulate,outer_main,42,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Aotus trivirgatus,Aotus trivirgatus,area30_posterior_cingulate,inner_main,39,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Aotus trivirgatus,Aotus trivirgatus,area23_posterior_cingulate,molecular,11,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Aotus trivirgatus,Aotus trivirgatus,area23_posterior_cingulate,outer_main,38,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Aotus trivirgatus,Aotus trivirgatus,area23_posterior_cingulate,granular,12,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Aotus trivirgatus,Aotus trivirgatus,area23_posterior_cingulate,inner_main,39,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Aotus trivirgatus,Aotus trivirgatus,area31_posterior_cingulate,molecular,11,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Aotus trivirgatus,Aotus trivirgatus,area31_posterior_cingulate,outer_main,46,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Aotus trivirgatus,Aotus trivirgatus,area31_posterior_cingulate,granular,12,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Aotus trivirgatus,Aotus trivirgatus,area31_posterior_cingulate,inner_main,31,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Alouatta seniculus,Alouatta seniculus,area29_posterior_cingulate,molecular,19,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Alouatta seniculus,Alouatta seniculus,area29_posterior_cingulate,outer_main,41,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Alouatta seniculus,Alouatta seniculus,area29_posterior_cingulate,inner_main,40,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Alouatta seniculus,Alouatta seniculus,area30_posterior_cingulate,molecular,20,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Alouatta seniculus,Alouatta seniculus,area30_posterior_cingulate,outer_main,43,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Alouatta seniculus,Alouatta seniculus,area30_posterior_cingulate,inner_main,37,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Alouatta seniculus,Alouatta seniculus,area23_posterior_cingulate,molecular,19,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Alouatta seniculus,Alouatta seniculus,area23_posterior_cingulate,outer_main,42,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Alouatta seniculus,Alouatta seniculus,area23_posterior_cingulate,granular,11,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Alouatta seniculus,Alouatta seniculus,area23_posterior_cingulate,inner_main,28,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Alouatta seniculus,Alouatta seniculus,area31_posterior_cingulate,molecular,14,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Alouatta seniculus,Alouatta seniculus,area31_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Alouatta seniculus,Alouatta seniculus,area31_posterior_cingulate,granular,13,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Alouatta seniculus,Alouatta seniculus,area31_posterior_cingulate,inner_main,29,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Saimiri sciureus,Saimiri sciureus,area29_posterior_cingulate,molecular,19,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Saimiri sciureus,Saimiri sciureus,area29_posterior_cingulate,outer_main,40,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Saimiri sciureus,Saimiri sciureus,area29_posterior_cingulate,inner_main,41,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Saimiri sciureus,Saimiri sciureus,area30_posterior_cingulate,molecular,13,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
