Species,Variable,reference,merged,ratio,pct_diff,merge_source,merge_year,beat,category
Gorilla sp.,Total_brain_net_volume_Vol.mm3,470359.0,401785.0,0.8542092316719783,-14.58,Bauernfeind_etal_2013_Table1,2013.0,deSousa_etal_2010_Table1 (2010)=398650.0 [superseded (older)] | MacLeod_etal_2003_Table1 (2003)=397300.0 [superseded (older)] | MacLeod_etal_2003_Table2 (2003)=403933.333 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=470359.0 [superseded (older)],GENUINE source disagreement
Erythrocebus patas,Total_brain_net_volume_Vol.mm3,103167.0,89000.0,0.8626789574185544,-13.73,MacLeod_etal_2003_Table2,2003.0,Stephan_etal_1981_TableIII (1981)=103167.0 [superseded (older)],GENUINE source disagreement
Pan troglodytes,Total_brain_net_volume_Vol.mm3,382103.0,330790.0,0.8657089842267661,-13.43,Bauernfeind_etal_2013_Table1,2013.0,deSousa_etal_2010_Table1 (2010)=319671.429 [superseded (older)] | MacLeod_etal_2003_Table1 (2003)=334500.0 [superseded (older)] | MacLeod_etal_2003_Table2 (2003)=375142.857 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=382103.0 [superseded (older)],GENUINE source disagreement
Hylobates lar,Area_striata_grey_matter_Vol.mm3,4086.7,4574.0,1.1192404629652286,11.92,Frahm_etal_1984_Table1,1984.0,Smaers_etal_2017_TableS1part1 (2017)=4574.0 [skipped (flagged)],GENUINE source disagreement
Cercopithecus mitis,Corpus_geniculatum_laterale_Vol.mm3,150.0,167.2,1.1146666666666667,11.47,deSousa_etal_2013_Table1,2013.0,Stephan_etal_1984_Table1 (1984)=150.0 [superseded (older)] | Stephan_etal_1981_TableIX (1981)=150.0 [superseded (older)],GENUINE source disagreement
Indri indri,Total_brain_net_volume_Vol.mm3,36285.0,32481.0,0.895163290615957,-10.48,Bauernfeind_etal_2013_Table1,2013.0,Stephan_etal_1981_TableII (1981)=36285.0 [superseded (older)],GENUINE source disagreement
Erythrocebus patas,Cerebellum_Vol.mm3,8738.0,7900.0,0.904097047379263,-9.59,MacLeod_etal_2003_Table2,2003.0,Stephan_etal_1981_TableIII (1981)=8738.0 [superseded (older)],GENUINE source disagreement
Saimiri sciureus,Cerebellum_Vol.mm3,2260.0,2050.0,0.9070796460176992,-9.29,MacLeod_etal_2003_Table1,2003.0,MacLeod_etal_2003_Table2 (2003)=1900.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=2260.0 [superseded (older)],GENUINE source disagreement
Lophocebus albigena,Total_brain_net_volume_Vol.mm3,97603.0,106660.0,1.0927942788643792,9.28,Bauernfeind_etal_2013_Table1,2013.0,MacLeod_etal_2003_Table2 (2003)=112000.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=97603.0 [superseded (older)],GENUINE source disagreement
Pan troglodytes,Neocortex_Vol.mm3,291592.0,264650.0,0.9076037751378638,-9.24,deSousa_etal_2010_Table1,2010.0,Frahm_etal_1982_Table2 (1982)=291592.0 [superseded (older)] | Stephan_etal_1981_TableVI (1981)=291592.0 [superseded (older)],GENUINE source disagreement
Lophocebus albigena,Cerebellum_Vol.mm3,10726.0,11700.0,1.0908073839269066,9.08,MacLeod_etal_2003_Table2,2003.0,Stephan_etal_1981_TableIII (1981)=10726.0 [superseded (older)],GENUINE source disagreement
Hylobates lar,Total_brain_net_volume_Vol.mm3,97505.0,88803.0,0.9107532947028356,-8.92,Bauernfeind_etal_2013_Table1,2013.0,deSousa_etal_2010_Table1 (2010)=102300.0 [superseded (older)] | MacLeod_etal_2003_Table1 (2003)=83025.0 [superseded (older)] | MacLeod_etal_2003_Table2 (2003)=98040.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=97505.0 [superseded (older)],GENUINE source disagreement
Homo sapiens,Total_brain_net_volume_Vol.mm3,1251847.0,1357820.0,1.0846533162598944,8.47,Bauernfeind_etal_2013_Table1,2013.0,deSousa_etal_2010_Table1 (2010)=1258390.0 [superseded (older)] | MacLeod_etal_2003_Table1 (2003)=1298833.333 [superseded (older)] | MacLeod_etal_2003_Table2 (2003)=1239825.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=1251847.0 [superseded (older)],GENUINE source disagreement
Pan troglodytes,Cerebellum_Vol.mm3,43663.0,47100.0,1.0787165334493736,7.87,MacLeod_etal_2003_Table1,2003.0,MacLeod_etal_2003_Table2 (2003)=46457.143 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=43663.0 [superseded (older)],GENUINE source disagreement
Aotus trivirgatus,Cerebellum_Vol.mm3,1873.0,1750.0,0.9343299519487454,-6.57,MacLeod_etal_2003_Table2,2003.0,Stephan_etal_1981_TableIII (1981)=1873.0 [superseded (older)],GENUINE source disagreement
Saguinus oedipus,Total_brain_net_volume_Vol.mm3,9537.0,8938.2,0.9372129600503304,-6.28,Bauernfeind_etal_2013_Table1,2013.0,Stephan_etal_1981_TableIII (1981)=9537.0 [superseded (older)],GENUINE source disagreement
Pongo sp.,Neocortex_grey_matter_Vol.mm3,138300.0,129900.0,0.9392624728850324,-6.07,Zilles_Rehkämper_1988_Table12-2,1988.0,,GENUINE source disagreement
Loris tardigradus,Total_brain_net_volume_Vol.mm3,6269.0,6612.0,1.0547136704418567,5.47,Bauernfeind_etal_2013_Table1,2013.0,Stephan_etal_1981_TableII (1981)=6269.0 [superseded (older)],GENUINE source disagreement
Homo sapiens,Insula_left_Vol.mm3,6165.0,6479.0,1.0509326845093268,5.09,Bauernfeind_etal_2013_Table1,2013.0,,GENUINE source disagreement
Hylobates lar,Neocortex_Vol.mm3,65800.0,68300.0,1.0379939209726443,3.8,deSousa_etal_2010_Table1,2010.0,Frahm_etal_1982_Table2 (1982)=65800.0 [superseded (older)] | Stephan_etal_1981_TableVI (1981)=65800.0 [superseded (older)],GENUINE source disagreement
Hylobates lar,Cerebellum_Vol.mm3,12078.0,11625.0,0.9624937903626428,-3.75,MacLeod_etal_2003_Table1,2003.0,MacLeod_etal_2003_Table2 (2003)=12640.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=12078.0 [superseded (older)],GENUINE source disagreement
Macaca mulatta,Total_brain_net_volume_Vol.mm3,87896.0,84880.0,0.9656867206698826,-3.43,MacLeod_etal_2003_Table1,2003.0,MacLeod_etal_2003_Table2 (2003)=104750.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=87896.0 [superseded (older)],GENUINE source disagreement
Homo sapiens,Area_striata_grey_matter_Vol.mm3,15247.5,14787.0,0.9697983275946876,-3.02,Frahm_etal_1984_Table1,1984.0,Smaers_etal_2017_TableS1part1 (2017)=14787.0 [skipped (flagged)],GENUINE source disagreement
Gorilla sp.,Corpus_geniculatum_laterale_Vol.mm3,308.5,300.1,0.9727714748784442,-2.72,deSousa_etal_2013_Table1,2013.0,Stephan_etal_1984_Table1 (1984)=384.0 [superseded (older)] | Stephan_etal_1981_TableIX (1981)=384.0 [superseded (older)],GENUINE source disagreement
Pan paniscus,Corpus_geniculatum_laterale_Vol.mm3,275.1,282.3,1.0261723009814612,2.62,deSousa_etal_2013_Table1,2013.0,,GENUINE source disagreement
Saimiri sciureus,Total_brain_net_volume_Vol.mm3,22572.0,23100.0,1.023391812865497,2.34,MacLeod_etal_2003_Table1,2003.0,MacLeod_etal_2003_Table2 (2003)=19850.0 [superseded (older)] | Stephan_etal_1981_TableIII (1981)=22572.0 [superseded (older)],GENUINE source disagreement
Varecia variegata,Total_brain_net_volume_Vol.mm3,29713.0,30405.0,1.0232894692558812,2.33,Bauernfeind_etal_2013_Table1,2013.0,Stephan_etal_1981_TableII (1981)=29713.0 [superseded (older)],GENUINE source disagreement
Cercopithecus mitis,Total_brain_net_volume_Vol.mm3,70564.0,69112.0,0.9794229352077548,-2.06,Bauernfeind_etal_2013_Table1,2013.0,Stephan_etal_1981_TableIII (1981)=70564.0 [superseded (older)],GENUINE source disagreement
Pongo sp.,Area_striata_grey_matter_Vol.mm3,8233.7,8400.0,1.0201974810838383,2.02,Zilles_Rehkämper_1988_Table12-2,1988.0,Smaers_etal_2017_TableS1part1 (2017)=7008.0 [skipped (flagged)],GENUINE source disagreement
