Species,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalMotor_grey_matter_Vol.mm3,FrontalMotor_white_matter_Vol.mm3,Hippocampus_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Telencephalon_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3,Prepiriform_cortex_Vol.mm3
Callithrix pygmaea,NA,NA,140,4500,NA,NA,NA,NA,NA,NA,4302,NA,415,363,29.7,334,51.4,12.3,0.386,NA,NA,11.48,468,NA,NA,22.2,11.1,NA,NA,NA,NA,342,NA,NA,NA,133,3.2,4.35,133,3.93,201,192,2534,2139,223.7,1915,395.3,NA,NA,NA,NA,3.92,1.96,5.88,2.94,8.22,4.11,4.2,2.1,NA,81.8,29.2,174,3099,17.5,24.5,21.8,3.68,69.2,1.95,25.8,27.7,190,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebuella pygmaea,2,1,110,4.2,14,7,6,3,22,11,4005.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus albifrons,68,34,3100,71000,310,155,216,108,594,297,77027,502,4703,3764,365,3399,939,39.9,0.667,NA,NA,173.18,7871,118,384,100.4,50.2,137,3.8,0.425,0.41,3996,9450,1977,1425,890,38.98,99.52,931,34.68,1738,1221,46429,30630,3607,27023,15799,41,4.9,1.5,0,24.6,12.3,14.9,7.45,38.4,19.2,22.4,11.2,567,390,174,3258,52113,682.2,729,549,23.7,418,41.7,567,609,2163,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76500,NA,NA,NA,NA,NA,NA,NA,NA,4700,2350,NA,7050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus agilis,210,105,5660,95.3,232,116,316,158,758,379,91988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus torquatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98850,NA,NA,NA,NA,NA,NA,NA,NA,6375,2300,NA,8650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus ascanius,NA,NA,3400,67000,NA,NA,NA,NA,NA,NA,63505,601,5106,4272,416,3855,834,99.5,0,NA,NA,143.98,5828,136,465,104.2,52.1,147,4.66,0.217,0.509,3605,7940,1351,930,1189,41.7,67.67,1052,34.61,1632,1162,45166,32114,4009,28104,13052,48.9,4.23,2.13,0,34.4,17.2,11.76,5.88,41.6,20.8,16.42,8.21,450,694,251,2827,51279,520.2,240,421,17.9,410,25.7,405,431,1916,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus mitis,178,89,6300,75000,782,391,268,134,1228,614,69112,NA,5275,4232,NA,NA,1042,117,0,NA,NA,171.16,6758,NA,NA,161,80.5,167.2,15.3,0.258,0.432,4176,10190,1852,946,1366,54.55,82.38,1265,34.23,1999,1354,49933,NA,NA,NA,NA,NA,5.38,1.96,NA,48.6,24.3,21,10.5,61.4,30.7,30,15,NA,617,246,2733,56277,517.6,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64000,NA,NA,NA,NA,NA,NA,NA,NA,3450,2650,NA,6200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus major,NA,NA,450,6800,NA,NA,NA,NA,NA,NA,6373,99.4,477,433,NA,NA,44.8,158,4.04,NA,NA,19.45,947,34.1,65.3,22.2,11.1,21.5,0.789,0.032,0.256,489,NA,NA,NA,347,3.85,9.95,332,5.65,382,241,2938,NA,NA,NA,NA,7.32,1.75,0.917,0.851,6.54,3.27,3.56,1.78,8.36,4.18,3.72,1.86,233,149,58.9,327,4314,27.4,83.4,48.6,4.83,101,2.27,31.6,33.8,271,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
