Species,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalMotor_grey_matter_Vol.mm3,FrontalMotor_white_matter_Vol.mm3,Hippocampus_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Telencephalon_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3,Prepiriform_cortex_Vol.mm3
Lagothrix lagothricha,NA,NA,5200,101000,NA,NA,NA,NA,NA,NA,95503,NA,6082,4856,604,4252,1226,73.4,1.43,NA,NA,212.95,11268,NA,NA,106.2,53.1,164,10.6,0.885,0.583,5721,11780,2434,1625,1586,60.23,108.57,1395,44.15,2110,1582,65873,49147,7664,41483,16727,NA,7.01,2.6,NA,28.2,14.1,13.88,6.94,46,23,18.14,9.07,NA,680,266,4947,74822,725.6,1090,612,31,624,63.8,845,909,2959,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontopithecus rosalia,24,12,598,12.7,42,21,8,4,74,37,12259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur ruficaudatus,NA,NA,915,7600,NA,NA,NA,NA,NA,NA,7175,133,358,326,52.5,274,31.4,113,2.72,NA,NA,23.07,1165,42.5,90.4,29.8,14.9,15.6,0.731,0.132,0.121,593,NA,NA,NA,392,6.41,9.35,302,7.31,449,260,3282,2805,488.6,2317,476.6,7.18,1.75,0.888,0.624,8.94,4.47,4.76,2.38,11.84,5.92,4.22,2.11,170,194,56.7,366,4708,26.2,76.5,63,4.89,114,2.91,55.2,58.1,337,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophocebus albigena,190,95,7900,104000,540,270,342,171,1072,536,106660,NA,6831,5420,NA,NA,1411,121,0,7700,4000,232.63,11700,NA,NA,174,87,182,11.9,0.233,0.658,5351,13310,3926,3063,1485,74.6,113.33,1639,44.7,2708,1770,68733,NA,NA,NA,NA,NA,6,1.69,NA,50.4,25.2,20,10,71.2,35.6,32.4,16.2,NA,630,294,4146,77049,873.3,742,708,27.9,681,52.4,674,726,2933,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loris tardigradus,6,3,322,6600,12,6,6,3,24,12,6612,NA,588,529,NA,NA,59.6,85.8,2.3,NA,NA,17.99,728,NA,NA,16.92,8.46,24.6,0.335,0.103,0.207,538,NA,NA,NA,191,5.58,5.76,256,6.65,233,220,3524,NA,NA,NA,NA,NA,1.15,0.822,NA,4.16,2.08,2.44,1.22,7.1,3.55,3.22,1.61,NA,99.7,41.1,351,4551,28.9,51.6,46.3,3.21,80.9,3.79,41.4,45.2,348,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,NA,NA,NA,57600,NA,NA,NA,NA,NA,NA,55600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca maura,142,71,6050,83.3,480,240,362,181,984,492,80405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,NA,NA,7800,93000,NA,NA,NA,NA,NA,NA,84880,NA,6586,5343,NA,NA,1243,84.3,0,4883.33333333333,2333.33333333333,235.31,7233.33333333333,NA,NA,165,82.5,158,12.4,0.27,0.36,4480,NA,NA,NA,1353,75.13,106.94,1220,53.24,1992,1380,63482,NA,NA,NA,NA,NA,7.66,2.83,NA,31,15.5,33.8,16.9,67.4,33.7,32.8,16.4,NA,639,271,4032,71080,639.2,834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus murinus,NA,NA,54,1780,NA,NA,NA,NA,NA,NA,1680,36.4,144,136,15,121,8.24,43,1.62,NA,NA,4.74,234,12.1,24.3,8.04,4.02,7.07,0.14,0.0233,0.0556,134,NA,NA,NA,100,1.14,2.11,103,1.49,99.1,85.2,739.5,674.2,94.97,579.3,65.31,NA,0.461,0.274,0.264,2.16,1.08,1.52,0.76,3,1.5,1.358,0.679,66.8,40.1,15.3,85.7,1129,5.9,11.3,9.08,1.44,29.8,0.65,10.7,11.4,78.3,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miopithecus talapoin,NA,NA,1200,40000,NA,NA,NA,NA,NA,NA,37776,NA,3048,2339,NA,NA,709,27.8,0,NA,NA,78.95,3374,NA,NA,79.6,39.8,109,2.03,0.22,0.192,2375,5180,906,548,705,26.42,33.84,706,18.69,1035,826,26427,NA,NA,NA,NA,NA,2.07,0.866,NA,18.48,9.24,14.5,7.25,31.4,15.7,15.22,7.61,NA,259,133,1908,30166,273.7,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasalis larvatus,NA,NA,14000,97000,NA,NA,NA,NA,NA,NA,92797,NA,NA,NA,NA,NA,NA,30.3,0,NA,NA,340.36,12113,NA,NA,172.4,86.2,156.6,NA,NA,NA,5310,8080,1749,933,1966,105.48,149.33,1268,85.55,2945,1556,62685,NA,NA,NA,NA,NA,NA,NA,NA,50.4,25.2,29.6,14.8,67.2,33.6,25.2,12.6,NA,855,333,3735,70873,967.4,591,564,29.6,671,37.2,550,587,3036,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nycticebus coucang,NA,NA,800,12500,NA,NA,NA,NA,NA,NA,11755,NA,828,696,93.8,603,132,159,4.28,NA,NA,33.75,1310,NA,NA,37,18.5,35.9,1.83,0.154,0.175,1077,NA,NA,NA,566,8.76,14.03,510,10.96,528,345,6192,4952,712.7,4240,1240,NA,2.04,1.34,NA,10.28,5.14,6.1,3.05,14.64,7.32,6.06,3.03,NA,212,92,760,8495,63.8,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otolemur crassicaudatus,NA,NA,850,10300,NA,NA,NA,NA,NA,NA,9668,NA,548,479,NA,NA,68.4,166,2.52,NA,NA,25.9,1414,NA,NA,39.8,19.9,23.2,1.02,0.102,0.0948,785,NA,NA,NA,461,6.63,9.64,386,9.63,540,384,4723,NA,NA,NA,NA,NA,1.64,0.695,NA,14.02,7.01,5.74,2.87,14.32,7.16,5.7,2.85,NA,181,70,556,6545,54.5,147,74.6,5.71,127,4.1,63.3,67.4,437,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan paniscus,719,351,37133.3333333333,352,1729.666666666666,934.333333333333,531.333333333334,260.666666666667,3279,1690.33333333333,339766.666666667,NA,NA,NA,NA,NA,NA,NA,NA,37825,6350,NA,44175,NA,NA,NA,NA,282.3,NA,NA,NA,NA,50660,8356,5243,NA,NA,NA,NA,NA,NA,NA,246700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,5800,133.33333333333334,795.333333333333,270.666666666667,1588.66666666667,299.66666666666697,144.666666666667,155,NA,NA,NA
Pan troglodytes,322.16666666666697,164.666666666667,46000,405000,1294.666666666667,703.666666666667,1132.833333333333,667.333333333333,2928.6666666666697,1600.66666666667,330790,NA,14597,10593,1156,9437,4004,257,0,42114.2857142857,4985.71428571429,601.42,47100,NA,NA,236,118,344,38,0.387,0.606,15392,68220,13407,12780,3779,87.27,455.83,2750,58.32,5817,3739,264650,172597,21960,150637,118996,NA,9.4,2.7,NA,59.6,29.8,19.3,9.65,109.4,54.7,47,23.5,NA,2018,851,12246,313493,3990.6,1899,2510,53.6,1739,127,1951,2078,7987,630,157.5,4142.857142857143,150,591,465.5,1328,179.66666666666669,65.6666666666667,114,NA,NA,NA
Papio anubis,NA,NA,25000,201000,NA,NA,NA,NA,NA,NA,190957,NA,13741,10001,919,9082,3740,287,0,NA,NA,379.04,18683,NA,NA,214,107,395,51.1,0.347,0.405,9280,24280,4686,3325,3398,99.91,220.35,2111,58.78,5297,2711,140142,85726,10642,75084,54416,NA,12.7,1.86,NA,67.8,33.9,21,10.5,96.2,48.1,28.8,14.4,NA,1309,559,7182,154987,2177.7,1081,1257,65.4,1076,94.7,1147,1241,4788,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio cynocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143300,NA,NA,NA,NA,NA,NA,NA,NA,10000,3600,NA,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perodicticus potto,8,4,1150,14000,20,10,32,16,62,31,11100,NA,552,495,NA,NA,57.7,310,2.74,NA,NA,29.44,1699,NA,NA,34.6,17.3,24.3,1.76,0.264,0.216,1024,NA,NA,NA,607,8.43,12.25,661,8.76,680,391,6683,NA,NA,NA,NA,NA,3.77,2.27,NA,7.76,3.88,5.32,2.66,15.74,7.87,5.72,2.86,NA,328,114,712,9418,77.7,127,107,10.4,160,8.19,107,116,587,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piliocolobus badius,106,53,7000,78000,232,116,144,72,482,241,72394,479,3979,3053,360,2693,926,51.3,0,NA,NA,190.92,8648,114,365,114.6,57.3,128,7.31,0.265,0.454,3945,10940,2260,1317,1671,57.76,98.52,937,34.64,2007,1333,50906,36575,5130,31444,14331,45.5,4.54,2.26,0,29,14.5,20,10,48.2,24.1,17.36,8.68,458,814,288,3217,57885,646.4,455,460,22.3,484,31.9,521,553,2164,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia monachus,NA,NA,1500,35000,NA,NA,NA,NA,NA,NA,32867,NA,2130,1679,NA,NA,451,34.8,0.846,NA,NA,109.36,3908,NA,NA,77.6,38.8,76.3,0.0623,0.189,0.3,2285,3680,NA,NA,834,31.78,53.67,675,23.91,1009,745,21028,NA,NA,NA,NA,NA,2.53,1.31,NA,20.2,10.1,17.16,8.58,24,12,16.14,8.07,NA,289,140,1918,24920,211.8,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia pithecia,208,104,1580,30,270,135,80,40,558,279,28958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo sp.,717.25,254.75,46325,353.2,1562.75,828.25,400.75,208.75,2738.5,1331.5,340925,1400,NA,8400,NA,NA,NA,NA,NA,44600,5200,NA,49800,NA,NA,NA,NA,259.1,NA,NA,NA,13500,42960,6353,4745,2700,NA,NA,NA,NA,5500,4000,269233.3333333333,129900,NA,NA,81500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,600,11500,238300,NA,NA,NA,NA,NA,NA,1800,NA,NA,NA,462.5,4133.333333333333,133.33333333333334,734.5,192,1407,57.75,39.75,18,1300,4300,1000
Propithecus verreauxi,NA,NA,3480,26700,NA,NA,NA,NA,NA,NA,25194,251,1355,1106,131,974,249,147,3.4,NA,NA,97.12,3957,78.7,172,86.6,43.3,64.5,3.26,0.357,0.507,2195,NA,NA,NA,1043,30.94,39.46,664,26.72,1223,780,13170,9835,1428,8407,3335,18.8,3.65,1.6,0.921,24.8,12.4,14.74,7.37,30.6,15.3,16.36,8.18,292,443,159,1411,17040,169.3,231,324,14.6,328,20,263,283,1341,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pygathrix nemaeus,NA,NA,7500,77000,NA,NA,NA,NA,NA,NA,72530,NA,NA,NA,NA,NA,NA,10.7,0,NA,NA,265.75,8063,NA,NA,125,62.5,114.8,NA,NA,NA,4727,NA,NA,NA,2295,80.76,137.05,942,47.94,2206,1345,48763,NA,NA,NA,NA,NA,NA,NA,NA,36.4,18.2,24.4,12.2,36.2,18.1,28,14,NA,723,290,3166,56189,708.5,911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus geoffroyi,12,6,482,10.5,18,9,18,9,46,23,10135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus midas,NA,NA,340,10300,NA,NA,NA,NA,NA,NA,9569,NA,1061,841,NA,NA,220,17.3,0.29,NA,NA,21.57,1061,NA,NA,31.6,15.8,36.8,0.216,0.0994,0.0795,692,NA,NA,NA,280,6.94,7.75,243,6.88,428,332,5883,NA,NA,NA,NA,NA,1.18,0.559,NA,7.2,3.6,6.56,3.28,11.4,5.7,6.42,3.21,NA,120,40.9,471,7055,45.7,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus oedipus,12,6,380,10000,26,13,14,7,52,26,8938.2,NA,977,807,NA,NA,170,19.1,0.406,NA,NA,24.6,984,NA,NA,36.8,18.4,34.2,0.392,0.0921,0.167,754,NA,NA,NA,262,7.19,8.8,256,8.61,413,333,5894,NA,NA,NA,NA,NA,1.55,1.08,NA,8.98,4.49,7.26,3.63,14.5,7.25,5.96,2.98,NA,107,60.5,453,7052,50.9,62.6,62.7,4.93,152,4.45,73.2,77.6,410,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri sciureus,NA,NA,660,24000,NA,NA,NA,NA,NA,NA,23100,227,2326,1884,175,1709,442,26.8,0.985,1150,875,73.22,2050,45.9,181,58.8,29.4,62.9,2.71,0.143,0.255,1430,NA,NA,NA,352,21.93,27.2,413,24.09,722,526,15541,11832,1275,10557,3710,15,2.77,0.598,0,14.62,7.31,12.52,6.26,22.8,11.4,8.86,4.43,186,168,90.6,1042,17635,135.2,299,132,8.86,207,11.5,169,180,731,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapajus apella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66450,NA,NA,NA,NA,NA,NA,NA,NA,4650,1825,NA,6450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symphalangus syndactylus,142,71,11900,138.7,294,147,396,198,832,416,133880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarsius sp.,NA,NA,125,3600,NA,NA,NA,NA,NA,NA,3393,49.8,370,349,41.2,307,21.3,18.8,0.82,NA,NA,8.06,428,11.1,38.7,15.38,7.69,20.8,2.03,0.114,0.0482,303,NA,NA,NA,153,1.82,3.37,92.7,2.87,207,197,1768,1631,236.3,1395,137,5.35,1.13,0.405,0.0752,4.82,2.41,2.32,1.16,6.72,3.36,1.518,0.759,39.1,69,23.3,133,2258,16.5,24.1,16.7,2.53,42.5,1.09,16.1,17.1,175,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus francoisi,320,160,7700,102.1,434,217,498,249,1250,625,98552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varecia variegata,24,12,3000,31500,88,44,88,44,200,100,30405,NA,2112,1745,NA,NA,367,369,5.27,NA,NA,94.67,4286,NA,NA,86.8,43.4,68.9,4.46,0.197,0.741,2529,NA,NA,NA,1404,28.83,37.45,985,28.39,1420,1018,15293,NA,NA,NA,NA,NA,5.35,3.51,NA,27.6,13.8,15.72,7.86,29.6,14.8,13.84,6.92,NA,608,206,1591,20461,168.8,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
