source,Species,Species_printed,Standardized_Term,Value,species_confidence
Ruf_Geiser_2015_Table1,Aeronautes saxatalis,Aeronautes saxatalis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Apus apus,Apus apus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Hirundapus caudacutus,Hirundapus caudacutus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Amazilia versicolor,Amazilia versicolor,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Archilochus alexandri,Archilochus alexandri,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Calypte anna,Calypte anna,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Calypte costae,Calypte costae,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Chrysuronia oenone,Chrysuronia oenone,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Clytolaema rubricauda,Clytolaema rubricauda,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Eugenes fulgens,Eugenes fulgens,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Eulampis jugularis,Eulampis jugularis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Eupetomena macroura,Eupetomena macroura,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Lampornis clemenciae,Lampornis clemenciae,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Melanotrochilus fuscus,Melanotrochilus fuscus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Oreotrochilus estella,Oreotrochilus estella,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Orthorhynchus cristatus,Orthorhynchus cristatus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Panterpe insignis,Panterpe insignis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Selasphorus platycercus,Selasphorus platycercus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Selasphorus rufus,Selasphorus rufus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Selasphorus sasin,Selasphorus sasin,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Otus senegalensis,Otus senegalensis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Aegotheles cristatus,Aegotheles cristatus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Caprimulgus europaeus,Caprimulgus europaeus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Caprimulgus guttatus,Caprimulgus guttatus (argus),Torpor_type,DT,review
Ruf_Geiser_2015_Table1,Caprimulgus tristigma,Caprimulgus tristigma,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Caprimulgus vociferus,Caprimulgus vociferus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Chordeiles acutipennis,Chordeiles acutipennis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Chordeiles minor,Chordeiles minor,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Podargus strigoides,Podargus strigoides,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Drepanoptila holosericea,Drepanoptila holosericea,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Scardafella inca,Scardafella inca,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Artamus cyanopterus,Artamus cyanopterus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Delichon urbicum,Delichon urbicum,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Nectarinia famosa,Nectarinia famosa,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Manacus vitellinus,Manacus vitellinus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Tachyglossus aculeatus,Tachyglossus aculeatus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Acomys russatus,Acomys russatus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Aethomys namaquenesis,Aethomys namaquenesis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Allactaga euphratica,Allactaga euphratica,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Allactaga williamsi,Allactaga williamsi,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Apodemus peninsulae,Apodemus peninsulae,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Baiomys taylori,Baiomys taylori,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Calomys musculinus,Calomys musculinus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Calomys venustus,Calomys venustus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Cricetus cricetus,Cricetus cricetus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cynomys leucurus,Cynomys leucurus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cynomys ludovicianus,Cynomys ludovicianus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cynomys parvidens,Cynomys parvidens,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Eliomys quercinus,Eliomys quercinus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Fukomys damarensis,Fukomys damarensis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Gerbillus pusillus,Gerbillus pusillus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Glirulus japonicus,Glirulus japonicus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Glis glis,Glis glis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Graphiurus murinus,Graphiurus murinus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Graphiurus ocularis,Graphiurus ocularis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Jaculus orientalis,Jaculus orientalis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Marmota broweri,Marmota broweri,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Marmota flaviventris,Marmota flaviventris,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Marmota marmota,Marmota marmota,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Marmota monax,Marmota monax,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Mesocricetus auratus,Mesocricetus auratus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Mesocricetus brandti,Mesocricetus brandti,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Microdipodops pallidus,Microdipodops pallidus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Mus musculus,Mus musculus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Muscardinus avellanarius,Muscardinus avellanarius,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Perognathus californicus,Perognathus californicus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Perognathus fasciatus,Perognathus fasciatus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Perognathus longimembris,Perognathus longimembris,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Perognathus parvus,Perognathus parvus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Peromyscus boylii,Peromyscus boylii,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Peromyscus crinitus,Peromyscus crinitus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Peromyscus eremicus,Peromyscus eremicus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Peromyscus gossypinus,Peromyscus gossypinus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Peromyscus leucopus,Peromyscus leucopus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Peromyscus maniculatus,Peromyscus maniculatus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Petromyscus collinus,Petromyscus collinus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Phodopus sungorus,Phodopus sungorus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Phyllotis darwini,Phyllotis darwini,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Reithrodontomys megalotis,Reithrodontomys megalotis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Saccostomus campestris,Saccostomus campestris,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Spermophilus armatus,Spermophilus armatus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus beecheyi,Spermophilus beecheyi,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus beldingi,Spermophilus beldingi,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus citellus,Spermophilus citellus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus columbianus,Spermophilus columbianus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus dauricus,Spermophilus dauricus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus elegans,Spermophilus elegans,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus lateralis,Spermophilus lateralis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus mexicanus,Spermophilus mexicanus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus parryii,Spermophilus parryii,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus richardsonii,Spermophilus richardsonii,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus saturatus,Spermophilus saturatus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus tereticaudus,Spermophilus tereticaudus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus variegatus,Spermophilus variegatus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Spermophilus xanthoprymnus,Spermophilus xanthoprymnus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Steatomys pratensis,Steatomys pratensis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Tamias amoenus,Tamias amoenus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Tamias striatus,Tamias striatus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Zapus hudsonius,Zapus hudsonius,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Zapus princeps,Zapus princeps,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cheirogaleus crossleyi,Cheirogaleus crossleyi,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cheirogaleus medius,Cheirogaleus medius,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Galago moholi,Galago moholi,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Microcebus griseorufus,Microcebus griseorufus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Microcebus murinus,Microcebus murinus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Microcebus myoxinus,Microcebus myoxinus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Microcebus ravelobensis,Microcebus ravelobensis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Meles meles,Meles meles,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Mephitis mephitis,Mephitis mephitis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Proteles cristata,Proteles cristata,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Taxidea taxus,Taxidea taxus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Ursus americanus,Ursus americanus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Ursus arctos,Ursus arctos,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Barbastella barbastellus,Barbastella barbastellus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Carollia perspicillata,Carollia perspicillata,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Chalinolobus gouldii,Chalinolobus gouldii,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Corynorhinus rafinesquii,Corynorhinus rafinesquii,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Eptesicus fuscus,Eptesicus fuscus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Glossophaga soricina,Glossophaga soricina,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Hipposideros terasensis,Hipposideros terasensis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Lasiurus borealis,Lasiurus borealis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Lasiurus cinereus,Lasiurus cinereus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Macroglossus minimus,Macroglossus minimus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Megaloglossus woermanni,Megaloglossus woermanni,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Miniopterus schreibersii,Miniopterus schreibersii,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Mops condylurus,Mops condylurus,Torpor_type,HIB,high
