source,Species,Species_printed,Standardized_Term,Value,species_confidence
Ruf_Geiser_2015_Table1,Peromyscus crinitus,Peromyscus crinitus,Torpor_bout_max_h,9.5,high
Ruf_Geiser_2015_Table1,Peromyscus eremicus,Peromyscus eremicus,Torpor_bout_max_h,11.2,high
Ruf_Geiser_2015_Table1,Peromyscus leucopus,Peromyscus leucopus,Torpor_bout_max_h,13,high
Ruf_Geiser_2015_Table1,Peromyscus maniculatus,Peromyscus maniculatus,Torpor_bout_max_h,10.8,high
Ruf_Geiser_2015_Table1,Phodopus sungorus,Phodopus sungorus,Torpor_bout_max_h,13.8,high
Ruf_Geiser_2015_Table1,Phyllotis darwini,Phyllotis darwini,Torpor_bout_max_h,12,high
Ruf_Geiser_2015_Table1,Reithrodontomys megalotis,Reithrodontomys megalotis,Torpor_bout_max_h,10,high
Ruf_Geiser_2015_Table1,Saccostomus campestris,Saccostomus campestris,Torpor_bout_max_h,2.7,high
Ruf_Geiser_2015_Table1,Spermophilus armatus,Spermophilus armatus,Torpor_bout_max_h,576,high
Ruf_Geiser_2015_Table1,Spermophilus beecheyi,Spermophilus beecheyi,Torpor_bout_max_h,72,high
Ruf_Geiser_2015_Table1,Spermophilus beldingi,Spermophilus beldingi,Torpor_bout_max_h,400,high
Ruf_Geiser_2015_Table1,Spermophilus citellus,Spermophilus citellus,Torpor_bout_max_h,415,high
Ruf_Geiser_2015_Table1,Spermophilus columbianus,Spermophilus columbianus,Torpor_bout_max_h,424,high
Ruf_Geiser_2015_Table1,Spermophilus dauricus,Spermophilus dauricus,Torpor_bout_max_h,377,high
Ruf_Geiser_2015_Table1,Spermophilus elegans,Spermophilus elegans,Torpor_bout_max_h,450,high
Ruf_Geiser_2015_Table1,Spermophilus lateralis,Spermophilus lateralis,Torpor_bout_max_h,504,high
Ruf_Geiser_2015_Table1,Spermophilus mexicanus,Spermophilus mexicanus,Torpor_bout_max_h,60,high
Ruf_Geiser_2015_Table1,Spermophilus parryii,Spermophilus parryii,Torpor_bout_max_h,550,high
Ruf_Geiser_2015_Table1,Spermophilus richardsonii,Spermophilus richardsonii,Torpor_bout_max_h,456,high
Ruf_Geiser_2015_Table1,Spermophilus saturatus,Spermophilus saturatus,Torpor_bout_max_h,360,high
Ruf_Geiser_2015_Table1,Spermophilus tereticaudus,Spermophilus tereticaudus,Torpor_bout_max_h,120,high
Ruf_Geiser_2015_Table1,Spermophilus variegatus,Spermophilus variegatus,Torpor_bout_max_h,172,high
Ruf_Geiser_2015_Table1,Spermophilus xanthoprymnus,Spermophilus xanthoprymnus,Torpor_bout_max_h,468,high
Ruf_Geiser_2015_Table1,Steatomys pratensis,Steatomys pratensis,Torpor_bout_max_h,16.9,high
Ruf_Geiser_2015_Table1,Tamias amoenus,Tamias amoenus,Torpor_bout_max_h,312,high
Ruf_Geiser_2015_Table1,Tamias striatus,Tamias striatus,Torpor_bout_max_h,150,high
Ruf_Geiser_2015_Table1,Zapus hudsonius,Zapus hudsonius,Torpor_bout_max_h,451,high
Ruf_Geiser_2015_Table1,Zapus princeps,Zapus princeps,Torpor_bout_max_h,650,high
Ruf_Geiser_2015_Table1,Cheirogaleus crossleyi,Cheirogaleus crossleyi,Torpor_bout_max_h,168,high
Ruf_Geiser_2015_Table1,Cheirogaleus medius,Cheirogaleus medius,Torpor_bout_max_h,1680,high
Ruf_Geiser_2015_Table1,Galago moholi,Galago moholi,Torpor_bout_max_h,6.5,high
Ruf_Geiser_2015_Table1,Microcebus griseorufus,Microcebus griseorufus,Torpor_bout_max_h,1848,high
Ruf_Geiser_2015_Table1,Microcebus murinus,Microcebus murinus,Torpor_bout_max_h,17.6,high
Ruf_Geiser_2015_Table1,Microcebus myoxinus,Microcebus myoxinus,Torpor_bout_max_h,19.2,high
Ruf_Geiser_2015_Table1,Microcebus ravelobensis,Microcebus ravelobensis,Torpor_bout_max_h,7,high
Ruf_Geiser_2015_Table1,Mephitis mephitis,Mephitis mephitis,Torpor_bout_max_h,20,high
Ruf_Geiser_2015_Table1,Taxidea taxus,Taxidea taxus,Torpor_bout_max_h,22,high
Ruf_Geiser_2015_Table1,Eptesicus fuscus,Eptesicus fuscus,Torpor_bout_max_h,600,high
Ruf_Geiser_2015_Table1,Glossophaga soricina,Glossophaga soricina,Torpor_bout_max_h,17.5,high
Ruf_Geiser_2015_Table1,Hipposideros terasensis,Hipposideros terasensis,Torpor_bout_max_h,456,high
Ruf_Geiser_2015_Table1,Lasiurus borealis,Lasiurus borealis,Torpor_bout_max_h,260,high
Ruf_Geiser_2015_Table1,Lasiurus cinereus,Lasiurus cinereus,Torpor_bout_max_h,135,high
Ruf_Geiser_2015_Table1,Macroglossus minimus,Macroglossus minimus,Torpor_bout_max_h,9.5,high
Ruf_Geiser_2015_Table1,Miniopterus schreibersii,Miniopterus schreibersii,Torpor_bout_max_h,288,high
Ruf_Geiser_2015_Table1,Myotis adversus,Myotis adversus,Torpor_bout_max_h,192,high
Ruf_Geiser_2015_Table1,Myotis lucifugus,Myotis lucifugus,Torpor_bout_max_h,1152,high
Ruf_Geiser_2015_Table1,Myotis myotis,Myotis myotis,Torpor_bout_max_h,2352,high
Ruf_Geiser_2015_Table1,Myotis nattereri,Myotis nattereri,Torpor_bout_max_h,490,high
Ruf_Geiser_2015_Table1,Nyctophilus bifax,Nyctophilus bifax,Torpor_bout_max_h,129,high
Ruf_Geiser_2015_Table1,Nyctophilus geoffroyi,Nyctophilus geoffroyi,Torpor_bout_max_h,362,high
Ruf_Geiser_2015_Table1,Nyctophilus gouldi,Nyctophilus gouldi,Torpor_bout_max_h,259,high
Ruf_Geiser_2015_Table1,Pipistrellus subflavus,Pipistrellus subflavus,Torpor_bout_max_h,1800,high
Ruf_Geiser_2015_Table1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Torpor_bout_max_h,432,high
Ruf_Geiser_2015_Table1,Rhinolophus hipposideros,Rhinolophus hipposideros,Torpor_bout_max_h,2064,high
Ruf_Geiser_2015_Table1,Scotophilus dinganii,Scotophilus dinganii,Torpor_bout_max_h,19,high
Ruf_Geiser_2015_Table1,Scotophilus mhlanganii,Scotophilus mhlanganii,Torpor_bout_max_h,18.5,high
Ruf_Geiser_2015_Table1,Syconycteris australis,Syconycteris australis,Torpor_bout_max_h,8.2,high
Ruf_Geiser_2015_Table1,Tadarida aegyptiaca,Tadarida aegyptiaca,Torpor_bout_max_h,228,high
Ruf_Geiser_2015_Table1,Tadarida teniotis,Tadarida teniotis,Torpor_bout_max_h,192,high
Ruf_Geiser_2015_Table1,Atelerix algirus,Atelerix algirus,Torpor_bout_max_h,168,high
Ruf_Geiser_2015_Table1,Atelerix frontalis,Atelerix frontalis,Torpor_bout_max_h,116,high
Ruf_Geiser_2015_Table1,Crocidura russula,Crocidura russula,Torpor_bout_max_h,3,high
Ruf_Geiser_2015_Table1,Erinaceus europaeus,Erinaceus europaeus,Torpor_bout_max_h,288,high
Ruf_Geiser_2015_Table1,Sorex sinuosus,Sorex sinuosus,Torpor_bout_max_h,1,high
Ruf_Geiser_2015_Table1,Suncus etruscus,Suncus etruscus,Torpor_bout_max_h,7.6,high
Ruf_Geiser_2015_Table1,Zaedyus pichiy,Zaedyus pichiy,Torpor_bout_max_h,112,high
Ruf_Geiser_2015_Table1,Amblysomus hottentotus,Amblysomus hottentotus,Torpor_bout_max_h,96,high
Ruf_Geiser_2015_Table1,Echinops telfairi,Echinops telfairi,Torpor_bout_max_h,264,high
Ruf_Geiser_2015_Table1,Setifer setosus,Setifer setosus,Torpor_bout_max_h,3600,high
Ruf_Geiser_2015_Table1,Tenrec ecaudatus,Tenrec ecaudatus,Torpor_bout_max_h,6480,high
Ruf_Geiser_2015_Table1,Elephantulus edwardii,Elephantulus edwardii,Torpor_bout_max_h,44,high
Ruf_Geiser_2015_Table1,Elephantulus myurus,Elephantulus myurus,Torpor_bout_max_h,39,high
Ruf_Geiser_2015_Table1,Elephantulus rozeti,Elephantulus rozeti,Torpor_bout_max_h,20.1,high
Ruf_Geiser_2015_Table1,Elephantulus rupestris,Elephantulus rupestris,Torpor_bout_max_h,12,high
Ruf_Geiser_2015_Table1,Macroscelides proboscideus,Macroscelides proboscideus,Torpor_bout_max_h,18,high
Ruf_Geiser_2015_Table1,Acrobates pygmaeus,Acrobates pygmaeus,Torpor_bout_max_h,192,high
Ruf_Geiser_2015_Table1,Burramys parvus,Burramys parvus,Torpor_bout_max_h,480,high
Ruf_Geiser_2015_Table1,Cercartetus concinnus,Cercartetus concinnus,Torpor_bout_max_h,264,high
Ruf_Geiser_2015_Table1,Cercartetus lepidus,Cercartetus lepidus,Torpor_bout_max_h,144,high
Ruf_Geiser_2015_Table1,Cercartetus nanus,Cercartetus nanus,Torpor_bout_max_h,840,high
Ruf_Geiser_2015_Table1,Petaurus breviceps,Petaurus breviceps,Torpor_bout_max_h,23,high
Ruf_Geiser_2015_Table1,Tarsipes rostratus,Tarsipes rostratus,Torpor_bout_max_h,14.4,high
Ruf_Geiser_2015_Table1,Dromiciops gliroides,Dromiciops gliroides,Torpor_bout_max_h,144,high
Ruf_Geiser_2015_Table1,Antechinomys laniger,Antechinomys laniger,Torpor_bout_max_h,16,high
Ruf_Geiser_2015_Table1,Antechinus flavipes,Antechinus flavipes,Torpor_bout_max_h,5.5,high
Ruf_Geiser_2015_Table1,Antechinus stuartii,Antechinus stuartii,Torpor_bout_max_h,9,high
Ruf_Geiser_2015_Table1,Dasykaluta rosamondae,Dasykaluta rosamondae,Torpor_bout_max_h,16.4,high
Ruf_Geiser_2015_Table1,Dasyuroides byrnei,Dasyuroides byrnei,Torpor_bout_max_h,7.5,high
Ruf_Geiser_2015_Table1,Myrmecobius fasciatus,Myrmecobius fasciatus,Torpor_bout_max_h,15.3,high
Ruf_Geiser_2015_Table1,Ningaui yvonnae,Ningaui yvonnae,Torpor_bout_max_h,12.3,high
Ruf_Geiser_2015_Table1,Planigale gilesi,Planigale gilesi,Torpor_bout_max_h,15.3,high
Ruf_Geiser_2015_Table1,Planigale ingrami,Planigale ingrami,Torpor_bout_max_h,4,high
Ruf_Geiser_2015_Table1,Planigale maculata,Planigale maculata,Torpor_bout_max_h,1.8,high
Ruf_Geiser_2015_Table1,Planigale tenuirostris,Planigale tenuirostris,Torpor_bout_max_h,4,high
Ruf_Geiser_2015_Table1,Pseudantechinus macdonnellensis,Pseudantechinus macdonnellensis,Torpor_bout_max_h,14.3,high
Ruf_Geiser_2015_Table1,Sminthopsis crassicaudata,Sminthopsis crassicaudata,Torpor_bout_max_h,19.5,high
Ruf_Geiser_2015_Table1,Sminthopsis douglasi,Sminthopsis douglasi,Torpor_bout_max_h,8.8,high
Ruf_Geiser_2015_Table1,Sminthopsis macroura,Sminthopsis macroura,Torpor_bout_max_h,25.9,high
Ruf_Geiser_2015_Table1,Sminthopsis murina,Sminthopsis murina,Torpor_bout_max_h,8,high
Ruf_Geiser_2015_Table1,Marmosa microtarsus,Marmosa microtarsus,Torpor_bout_max_h,9,high
Ruf_Geiser_2015_Table1,Thylamys elegans,Thylamys elegans,Torpor_bout_max_h,20,high
