Species,Species_printed,Standardized_Term,Value,Units,source,team,ref,species_confidence,dependency_group
Chalinolobus gouldii,Chalinolobus gouldii,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Corynorhinus rafinesquii,Corynorhinus rafinesquii,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eptesicus fuscus,Eptesicus fuscus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Glossophaga soricina,Glossophaga soricina,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Hipposideros terasensis,Hipposideros terasensis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Lasiurus borealis,Lasiurus borealis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Lasiurus cinereus,Lasiurus cinereus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Macroglossus minimus,Macroglossus minimus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Megaloglossus woermanni,Megaloglossus woermanni,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Miniopterus schreibersii,Miniopterus schreibersii,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Mops condylurus,Mops condylurus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Myotis adversus,Myotis adversus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Myotis lucifugus,Myotis lucifugus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Myotis myotis,Myotis myotis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Myotis nattereri,Myotis nattereri,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Myotis velifer,Myotis velifer,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nyctalus noctula,Nyctalus noctula,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nycteris thebaica,Nycteris thebaica,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nyctimene albiventer,Nyctimene albiventer,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nyctophilus bifax,Nyctophilus bifax,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nyctophilus geoffroyi,Nyctophilus geoffroyi,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nyctophilus gouldi,Nyctophilus gouldi,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Pipistrellus pipistrellus,Pipistrellus pipistrellus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Pipistrellus subflavus,Pipistrellus subflavus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Plecotus auritus,Plecotus auritus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Rhinolophus hipposideros,Rhinolophus hipposideros,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Rhinopoma microphyllum,Rhinopoma microphyllum,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Scotophilus dinganii,Scotophilus dinganii,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Scotophilus mhlanganii,Scotophilus mhlanganii,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Sturnira lilium,Sturnira lilium,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Syconycteris australis,Syconycteris australis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tadarida aegyptiaca,Tadarida aegyptiaca,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tadarida brasiliensis,Tadarida brasiliensis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tadarida teniotis,Tadarida teniotis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Vespadelus vulturnus,Vespadelus vulturnus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Atelerix algirus,Atelerix algirus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Atelerix frontalis,Atelerix frontalis,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Crocidura flavescens,Crocidura flavescens,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Crocidura leucodon,Crocidura leucodon,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Crocidura russula,Crocidura russula,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Crocidura suaveolens,Crocidura suaveolens,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Erinaceus europaeus,Erinaceus europaeus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Notiosorex crawfordi,Notiosorex crawfordi,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Sorex sinuosus,Sorex sinuosus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Suncus etruscus,Suncus etruscus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Zaedyus pichiy,Zaedyus pichiy,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Amblysomus hottentotus,Amblysomus hottentotus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Echinops telfairi,Echinops telfairi,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Geogale aurita,Geogale aurita,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Microgale dobsoni,Microgale dobsoni,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Setifer setosus,Setifer setosus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tenrec ecaudatus,Tenrec ecaudatus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Elephantulus edwardii,Elephantulus edwardii,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Elephantulus myurus,Elephantulus myurus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Elephantulus rozeti,Elephantulus rozeti,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Elephantulus rupestris,Elephantulus rupestris,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Macroscelides proboscideus,Macroscelides proboscideus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Acrobates pygmaeus,Acrobates pygmaeus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Burramys parvus,Burramys parvus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cercartetus concinnus,Cercartetus concinnus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cercartetus lepidus,Cercartetus lepidus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cercartetus nanus,Cercartetus nanus,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Petaurus breviceps,Petaurus breviceps,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tarsipes rostratus,Tarsipes rostratus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Dromiciops gliroides,Dromiciops gliroides,Torpor_type,HIB,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Antechinomys laniger,Antechinomys laniger,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Antechinus flavipes,Antechinus flavipes,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Antechinus stuartii,Antechinus stuartii,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Dasykaluta rosamondae,Dasykaluta rosamondae,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Dasyuroides byrnei,Dasyuroides byrnei,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Dasyurus geoffroii,Dasyurus geoffroii,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Dasyurus hallucatus,Dasyurus hallucatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Dasyurus viverrinus,Dasyurus viverrinus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Myrmecobius fasciatus,Myrmecobius fasciatus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Ningaui yvonnae,Ningaui yvonnae,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Planigale gilesi,Planigale gilesi,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Planigale ingrami,Planigale ingrami,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Planigale maculata,Planigale maculata,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Planigale tenuirostris,Planigale tenuirostris,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Pseudantechinus macdonnellensis,Pseudantechinus macdonnellensis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Sminthopsis crassicaudata,Sminthopsis crassicaudata,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Sminthopsis douglasi,Sminthopsis douglasi,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Sminthopsis macroura,Sminthopsis macroura,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Sminthopsis murina,Sminthopsis murina,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Sminthopsis ooldea,Sminthopsis ooldea,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Gracilinanus agilis,Gracilinanus agilis,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmosa microtarsus,Marmosa microtarsus,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Thylamys elegans,Thylamys elegans,Torpor_type,DT,DT|HIB,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Dacelo novaeguineae,Dacelo novaeguineae,Torpor_Tb_min_C,28.6,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Todus mexicanus,Todus mexicanus,Torpor_Tb_min_C,22.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Colius castanotus,Colius castanotus,Torpor_Tb_min_C,18,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Colius colius,Colius colius,Torpor_Tb_min_C,26,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Colius striatus,Colius striatus,Torpor_Tb_min_C,18.2,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Urocolius macrourus,Urocolius macrourus,Torpor_Tb_min_C,22,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Aeronautes saxatalis,Aeronautes saxatalis,Torpor_Tb_min_C,20,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Apus apus,Apus apus,Torpor_Tb_min_C,28,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Hirundapus caudacutus,Hirundapus caudacutus,Torpor_Tb_min_C,28,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Amazilia versicolor,Amazilia versicolor,Torpor_Tb_min_C,21.8,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Archilochus alexandri,Archilochus alexandri,Torpor_Tb_min_C,13.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Calypte anna,Calypte anna,Torpor_Tb_min_C,16,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Calypte costae,Calypte costae,Torpor_Tb_min_C,9,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Chrysuronia oenone,Chrysuronia oenone,Torpor_Tb_min_C,18,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Clytolaema rubricauda,Clytolaema rubricauda,Torpor_Tb_min_C,18,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eugenes fulgens,Eugenes fulgens,Torpor_Tb_min_C,10,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eulampis jugularis,Eulampis jugularis,Torpor_Tb_min_C,18,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eupetomena macroura,Eupetomena macroura,Torpor_Tb_min_C,22,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Lampornis clemenciae,Lampornis clemenciae,Torpor_Tb_min_C,19.6,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Melanotrochilus fuscus,Melanotrochilus fuscus,Torpor_Tb_min_C,22,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Oreotrochilus estella,Oreotrochilus estella,Torpor_Tb_min_C,6.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Orthorhynchus cristatus,Orthorhynchus cristatus,Torpor_Tb_min_C,20.8,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Panterpe insignis,Panterpe insignis,Torpor_Tb_min_C,10,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Selasphorus platycercus,Selasphorus platycercus,Torpor_Tb_min_C,6.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Selasphorus rufus,Selasphorus rufus,Torpor_Tb_min_C,13,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Selasphorus sasin,Selasphorus sasin,Torpor_Tb_min_C,23,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Otus senegalensis,Otus senegalensis,Torpor_Tb_min_C,29,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Aegotheles cristatus,Aegotheles cristatus,Torpor_Tb_min_C,22.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Caprimulgus europaeus,Caprimulgus europaeus,Torpor_Tb_min_C,14,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Caprimulgus guttatus,Caprimulgus guttatus (argus),Torpor_Tb_min_C,29.6,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,review,torpor
Caprimulgus tristigma,Caprimulgus tristigma,Torpor_Tb_min_C,10.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Caprimulgus vociferus,Caprimulgus vociferus,Torpor_Tb_min_C,18.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Chordeiles acutipennis,Chordeiles acutipennis,Torpor_Tb_min_C,15.7,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Chordeiles minor,Chordeiles minor,Torpor_Tb_min_C,18,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Torpor_Tb_min_C,3,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Podargus strigoides,Podargus strigoides,Torpor_Tb_min_C,29.1,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Drepanoptila holosericea,Drepanoptila holosericea,Torpor_Tb_min_C,24.8,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Scardafella inca,Scardafella inca,Torpor_Tb_min_C,29,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Artamus cyanopterus,Artamus cyanopterus,Torpor_Tb_min_C,29,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Delichon urbicum,Delichon urbicum,Torpor_Tb_min_C,26,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Nectarinia famosa,Nectarinia famosa,Torpor_Tb_min_C,25.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Manacus vitellinus,Manacus vitellinus,Torpor_Tb_min_C,26.8,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tachyglossus aculeatus,Tachyglossus aculeatus,Torpor_Tb_min_C,4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Acomys russatus,Acomys russatus,Torpor_Tb_min_C,25,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Aethomys namaquenesis,Aethomys namaquenesis,Torpor_Tb_min_C,18.9,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Apodemus peninsulae,Apodemus peninsulae,Torpor_Tb_min_C,20,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Baiomys taylori,Baiomys taylori,Torpor_Tb_min_C,22,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Calomys venustus,Calomys venustus,Torpor_Tb_min_C,16.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cricetus cricetus,Cricetus cricetus,Torpor_Tb_min_C,3.6,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cynomys leucurus,Cynomys leucurus,Torpor_Tb_min_C,8,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cynomys ludovicianus,Cynomys ludovicianus,Torpor_Tb_min_C,15,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Cynomys parvidens,Cynomys parvidens,Torpor_Tb_min_C,6,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Eliomys quercinus,Eliomys quercinus,Torpor_Tb_min_C,1,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Fukomys damarensis,Fukomys damarensis,Torpor_Tb_min_C,28.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Gerbillus pusillus,Gerbillus pusillus,Torpor_Tb_min_C,16.7,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Glis glis,Glis glis,Torpor_Tb_min_C,1,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Graphiurus murinus,Graphiurus murinus,Torpor_Tb_min_C,1.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Torpor_Tb_min_C,1.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Jaculus orientalis,Jaculus orientalis,Torpor_Tb_min_C,10,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmota flaviventris,Marmota flaviventris,Torpor_Tb_min_C,7.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmota marmota,Marmota marmota,Torpor_Tb_min_C,2.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Marmota monax,Marmota monax,Torpor_Tb_min_C,5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Mesocricetus auratus,Mesocricetus auratus,Torpor_Tb_min_C,4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Microdipodops pallidus,Microdipodops pallidus,Torpor_Tb_min_C,6,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Mus musculus,Mus musculus,Torpor_Tb_min_C,16,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Muscardinus avellanarius,Muscardinus avellanarius,Torpor_Tb_min_C,0,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus californicus,Perognathus californicus,Torpor_Tb_min_C,15,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus fasciatus,Perognathus fasciatus,Torpor_Tb_min_C,11,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus longimembris,Perognathus longimembris,Torpor_Tb_min_C,4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Perognathus parvus,Perognathus parvus,Torpor_Tb_min_C,2,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus boylii,Peromyscus boylii,Torpor_Tb_min_C,18,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus crinitus,Peromyscus crinitus,Torpor_Tb_min_C,17,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus eremicus,Peromyscus eremicus,Torpor_Tb_min_C,16,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus gossypinus,Peromyscus gossypinus,Torpor_Tb_min_C,14,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus leucopus,Peromyscus leucopus,Torpor_Tb_min_C,16.8,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Peromyscus maniculatus,Peromyscus maniculatus,Torpor_Tb_min_C,13.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Petromyscus collinus,Petromyscus collinus,Torpor_Tb_min_C,18,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Phodopus sungorus,Phodopus sungorus,Torpor_Tb_min_C,12.3,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Phyllotis darwini,Phyllotis darwini,Torpor_Tb_min_C,17.5,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Reithrodontomys megalotis,Reithrodontomys megalotis,Torpor_Tb_min_C,13,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Saccostomus campestris,Saccostomus campestris,Torpor_Tb_min_C,25,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus beecheyi,Spermophilus beecheyi,Torpor_Tb_min_C,6.1,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus citellus,Spermophilus citellus,Torpor_Tb_min_C,-0.7,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus columbianus,Spermophilus columbianus,Torpor_Tb_min_C,0,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus dauricus,Spermophilus dauricus,Torpor_Tb_min_C,-2.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus lateralis,Spermophilus lateralis,Torpor_Tb_min_C,-1,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus mexicanus,Spermophilus mexicanus,Torpor_Tb_min_C,7,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus parryii,Spermophilus parryii,Torpor_Tb_min_C,-2.9,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus richardsonii,Spermophilus richardsonii,Torpor_Tb_min_C,2,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus saturatus,Spermophilus saturatus,Torpor_Tb_min_C,0.3,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus variegatus,Spermophilus variegatus,Torpor_Tb_min_C,8,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Spermophilus xanthoprymnus,Spermophilus xanthoprymnus,Torpor_Tb_min_C,4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Steatomys pratensis,Steatomys pratensis,Torpor_Tb_min_C,16.4,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
Tamias amoenus,Tamias amoenus,Torpor_Tb_min_C,-0.2,deg C,Ruf_Geiser_2015_Table1,RufGeiser_2015,Table,high,torpor
