population,specimen_id,structure_var,structure_label,volume_mm3,brain_weight_g,total_brain_volume_mm3,note
domestic,Sd31,diencephalon_mm3,Diencephalon,7151,110.0,106178,
domestic,Sd31,telencephalon_mm3,Telencephalon,69415,110.0,106178,
domestic,Sd31,neocortex_mm3,Neocortex,53362,110.0,106178,
domestic,Sd31,corpus_striatum_mm3,Corpus striatum,3706,110.0,106178,
domestic,Sd31,allocortex_mm3,Allocortex,12346,110.0,106178,
domestic,Sd31,bulbus_olfactorius_mm3,Bulbus olfactorius,929,110.0,106178,damaged olfactory bulb (footnote a)
domestic,Sd31,regio_retrobulbaris_mm3,Regio retrobulbaris,418,110.0,106178,
domestic,Sd31,regio_praepiriformis_mm3,Regio praepiriformis,3085,110.0,106178,
domestic,Sd31,amygdaloid_complex_mm3,Amygdaloid complex,1216,110.0,106178,
domestic,Sd31,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,457,110.0,106178,
domestic,Sd31,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,759,110.0,106178,
domestic,Sd31,tuberculum_olfactorium_mm3,Tuberculum olfactorium,903,110.0,106178,
domestic,Sd31,nuclei_basalis_mm3,Nuclei basalis,626,110.0,106178,
domestic,Sd31,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,6248,110.0,106178,
domestic,Sd31,septum_mm3,Septum,772,110.0,106178,
domestic,Sd31,hippocampus_mm3,Hippocampus,3314,110.0,106178,
domestic,Sd31,schizocortex_mm3,Schizocortex,1080,110.0,106178,
domestic,Sd31,limbic_structures_mm3,limbic structures,5168,110.0,106178,
domestic,Sd19,medulla_oblongata_mm3,Medulla oblongata,6755,112.0,108108,
domestic,Sd19,cerebellum_mm3,Cerebellum,14614,112.0,108108,
domestic,Sd19,mesencephalon_mm3,Mesencephalon,4458,112.0,108108,
domestic,Sd19,diencephalon_mm3,Diencephalon,7153,112.0,108108,
domestic,Sd19,telencephalon_mm3,Telencephalon,71071,112.0,108108,
domestic,Sd19,neocortex_mm3,Neocortex,53488,112.0,108108,
domestic,Sd19,corpus_striatum_mm3,Corpus striatum,3815,112.0,108108,
domestic,Sd19,allocortex_mm3,Allocortex,13767,112.0,108108,
domestic,Sd19,bulbus_olfactorius_mm3,Bulbus olfactorius,1302,112.0,108108,
domestic,Sd19,regio_retrobulbaris_mm3,Regio retrobulbaris,444,112.0,108108,
domestic,Sd19,regio_praepiriformis_mm3,Regio praepiriformis,3451,112.0,108108,
domestic,Sd19,amygdaloid_complex_mm3,Amygdaloid complex,1217,112.0,108108,
