Species,Amygdala_p.C.Brain,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Body_Mass.g,Body_Mass.g_SD,Body_Mass.kg,Cerebellum_I.p.mg,Cerebellum_Mass.g,Cerebellum_Mass.g_SD,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_p.C.Brain,Cerebellum_S.n,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,CerebralCortex_I.p.mg,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_S.n,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,CerebralCortexNoHippocampus_I.p.mg,CerebralCortexNoHippocampus_S.n,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,EntorhinalCortex_p.C.Brain,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_I.p.mg,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,Hippocampus_p.C.Brain,Hippocampus_S.n,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_p.C.Brain,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_p.C.Brain,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_p.C.Brain,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Mass.g,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_n,OlfactoryBulb_N.n,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg,OlfactoryBulb_O.p.mg_SD,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.N_SD,OlfactoryBulb_p.C.Brain,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_p.C.Brain,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,PonsMedulla_I.p.mg,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,PonsMedulla_S.n,RoB_I.p.mg,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.mg,RoB_O.p.mg_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_S.n,Septum_p.C.Brain,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_p.C.Brain,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_p.C.Brain,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_p.C.Brain,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_p.C.Brain,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrain_I.p.mg,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_n,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,WholeBrain_O.p.N,WholeBrain_p.C.N,WholeBrain_p.C.N_SD,WholeBrain_S.n,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD
Heterocephalus glaber,0.0289,12,1,37.74,12.02,NA,NA,0.048,0.004,20520000,3010000,327280,48331,5482730,1274352,115748,32952,0.356,0.106,0.1163,NA,48,5,NA,0.184,0.026,5310000,310000,33374,2063,8398125,1197056,45894,11497,1.365,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0345,14,4,NA,NA,NA,NA,NA,NA,0.076,NA,32,6,0.0404,17,1,0.1131,47,6,NA,NA,NA,NA,NA,NA,NA,NA,1910000,280000,0.2416,100,5,0.021,0.001,3,3010000,330000,108895,22957,3571970,1548861,167991,62442,1.516,0.254,0.0492,20,3,0.094,39,5,NA,NA,NA,NA,NA,NA,NA,0.16,0.019,4981317,853026,31674,8484,10310350,1843572,64145,3790,2.125,NA,NA,0.0098,4.1,0.4,0.0693,29,4,2860000,500000,0.0232,10,3,0.0462,19,4,0.0566,23,3,NA,0.392,0.045,3,30610000,3330000,24191205,1739102,NA,52.5,3.3,NA,0.44,0.04,33620000,3660000
Homo sapiens,NA,NA,NA,70000,NA,NA,NA,154.02,19.29,6.903e+10,6.65e+09,471660,90393,1.604e+10,2170000,101020,19800,0.232,0.019,NA,NA,NA,NA,2403,1232.93,233.68,1.634e+10,2.17e+09,13520,3636,6.084e+10,7.02e+09,49230,3755,3.723,0.675,290,NA,NA,NA,2381,271,NA,NA,NA,NA,NA,NA,NA,3085,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.66,45.42,690000000,120000000,6560,2115,7.73e+09,1450000000,69850,20026,11.203,2.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1508.91,299.14,4,8.606e+10,8.12e+09,8.461e+10,9.83e+09,NA,50.5,3.6,NA,NA,NA,NA,NA
Hyaena hyaena,NA,NA,NA,NA,NA,40,NA,14.032,NA,3333830000,NA,237588,NA,594290000,NA,NA,NA,0.178,NA,NA,NA,NA,NA,NA,67.45,NA,495280000,NA,7343,NA,2977760000,NA,NA,NA,6.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.366,18240000,5418,139820000,7.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.732,NA,55490000,NA,3129,NA,929340000,NA,NA,NA,16.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.214,NA,NA,3884600000,NA,4501390000,NA,1.159,NA,NA,NA,NA,NA,NA,NA
Hydrochoerus hydrochaeris,NA,NA,NA,47500,3536,NA,NA,6.632,1.312,1157810000,5515433,177982,34889,570940000,81105148,86574,4902,0.493,0.068,NA,NA,NA,NA,NA,48.175,2.714,306501565,62726120,6336,945,1847818435,512392109,38117,8489,5.983,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.302,0.031,2,28560310,8515588,21864,6018,67389690,21015416,51544,17981,2.333,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.927,0.27,108250000,4400000,5434,NA,779170000,381900000,39234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.734,3.756,2,1572560385,72641426,3197929615,974583717,NA,33.6,5.8,NA,NA,NA,NA,NA
Hypsignathus monstrosus,NA,NA,NA,310,NA,NA,NA,NA,NA,221298619,NA,484806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24343593,NA,13481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28877041,NA,24684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.459,NA,2 (1 female) (1H each),274519253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxodonta africana,NA,NA,NA,5e+06,NA,NA,5982,1171.628,NA,250708527536,NA,213983,NA,38507229964,NA,32866,NA,0.154,NA,NA,80,NA,NA,4192,2847.594,NA,5593241033,NA,1964,NA,55698998687,NA,52721,NA,26.844,NA,264,NA,NA,NA,4149,263,NA,NA,NA,NA,NA,NA,NA,8175,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.886,NA,1,908371986,NA,21687,NA,2857878014,NA,68230,NA,3.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3450,564.674,NA,741704844,NA,1314,NA,27404306156,NA,48531,NA,36.948,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4562,4618.62,NA,1,257043473412,NA,216057982337,NA,NA,NA,NA,388,NA,NA,NA,NA
Macaca fascicularis,NA,NA,NA,5700,NA,NA,NA,5.642,NA,2572600000,NA,455973,NA,135400000,NA,23999,NA,0.053,NA,NA,NA,NA,NA,4727,36.226,NA,800955000,NA,22110,NA,2758845000,NA,76156,NA,3.444,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.294,NA,65449620,NA,15242,NA,260170380,NA,60589,NA,3.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.162,NA,1,3439004620,NA,3154415380,NA,NA,52.2,NA,NA,NA,NA,NA,NA
Macaca mulatta,NA,NA,NA,3900,NA,NA,NA,7.694,NA,4.55e+09,NA,590800,NA,931030000,NA,121010,NA,0.205,NA,NA,NA,NA,NA,NA,69.832,NA,1.71e+09,NA,24470,NA,5.27e+09,NA,75400,NA,3.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,1,8473800,NA,96293,NA,11006200,NA,125070,NA,1.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.204,0.871,121900000,NA,12410,NA,966520000,NA,98420,NA,7.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.346,NA,1,6376160000,NA,7162900000,NA,NA,47.1,NA,NA,NA,NA,NA,NA
Macaca nemestrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca radiata,NA,NA,NA,8012,NA,NA,NA,5.748,NA,2038554160,NA,354655,NA,453565840,NA,78908,NA,0.222,NA,NA,NA,NA,NA,NA,48.274,NA,1655707140,NA,34298,NA,3808672860,NA,78897,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.448,NA,61359000,NA,8238,NA,616641000,NA,82793,NA,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.47,NA,1,3755620300,NA,4878879700,NA,NA,43.5,NA,NA,NA,NA,NA,NA
Macronycteris commersoni,NA,NA,NA,101.9,NA,NA,NA,NA,NA,51875702,NA,483525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7877834,NA,32406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6965297,NA,29267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588,NA,2 females (1H each),66718833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macropus fuliginosus,NA,NA,NA,25855,NA,NA,3107,7.358,NA,1990000000,NA,270449,NA,NA,NA,NA,NA,0.368,NA,NA,1,NA,NA,4023,40.194,NA,370170000,NA,9210,NA,NA,NA,NA,NA,6.404,NA,54,271030000,11254,4.12,3913,53,NA,NA,NA,NA,NA,NA,NA,5438,2.938,44770000,15238,NA,4.076,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.81,76400000,7067,11.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.362,21340000,4893,11.821,NA,5337,15.172,NA,97740000,NA,6442,NA,NA,NA,NA,NA,11.744,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4235,62.724,NA,NA,2.46e+09,NA,NA,NA,1.729,NA,NA,57,NA,NA,NA,NA
Marmosops incanus,NA,NA,NA,100,NA,NA,4988,0.158,NA,82400000,NA,521513,NA,NA,NA,NA,NA,0.292,NA,NA,1,NA,NA,6892,0.408,NA,20410000,NA,50033,NA,NA,NA,NA,NA,1.84,NA,2,NA,NA,NA,7339,1,0.104,3370000,32394,2.695,NA,NA,NA,4309,0.06,2580000,43036,NA,1.43,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.092,3070000,33356,2.316,0.196,6440000,32846,2.514,NA,NA,NA,NA,NA,0.084,NA,NA,5520000,NA,65674,NA,NA,NA,NA,NA,0.958,NA,NA,NA,NA,NA,NA,NA,NA,0.148,2800000,18926,3.713,NA,6780,0.344,NA,9240000,NA,26857,NA,NA,NA,NA,NA,2.878,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6515,0.91,NA,NA,112050000,NA,NA,NA,0.788,NA,NA,6,NA,NA,NA,NA
Megaloglossus woermanni,NA,NA,NA,17.9,NA,NA,NA,NA,NA,49734021,NA,627122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11897169,NA,38490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097177,NA,25755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,2 (1H each),65728366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesocricetus auratus,NA,NA,NA,168.1,13.6,NA,NA,0.145,0.03,61210000,12351246,424002,3743,7430000,1713108,51332,1054,0.121,0.004,NA,NA,NA,NA,NA,0.446,0.048,17140000,3619934,39099,12332,41870000,1350121,94271,7136,2.507,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.011,2,5747930,347203,105418,27498,5507170,2277605,96197,21237,0.972,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,0.057,5870000,1162059,15611,715,21330000,8878857,55804,15174,3.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965,0.136,2,84220000,9893371,70640000,11942086,NA,54.3,1.3,NA,NA,NA,NA,NA
Metachirus nudicaudatus,NA,NA,NA,407,NA,NA,5057,0.342,NA,134130000,NA,392196,NA,NA,NA,NA,NA,0.24,NA,NA,1,NA,NA,2675,0.992,NA,20190000,NA,20354,NA,NA,NA,NA,NA,3.199,NA,2,NA,NA,NA,2621,1,0.234,3890000,16618,5.707,NA,NA,NA,2978,0.144,4190000,29109,NA,1.899,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.158,3620000,22926,3.182,0.392,7510000,19161,4.489,NA,NA,NA,NA,NA,0.206,NA,NA,31380000,NA,152341,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA,NA,NA,0.282,3760000,13338,5.653,NA,5446,0.674,NA,11270000,NA,16725,NA,NA,NA,NA,NA,4.878,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4014,2.008,NA,NA,165590000,NA,NA,NA,0.916,NA,NA,6,NA,NA,NA,NA
Microcebus murinus,NA,NA,NA,60,NA,NA,NA,0.391,NA,221386140,NA,566205,NA,17433860,NA,44588,NA,0.079,NA,NA,NA,NA,NA,NA,0.908,NA,22310400,NA,24571,NA,70649600,NA,77808,NA,3.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.008,2,7636912,119088,270894,61946,9723088,842576,341900,54311,1.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,11014640,NA,22029,NA,50865360,NA,101731,NA,4.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.799,NA,1,254711180,NA,138948820,NA,NA,64.7,NA,NA,NA,NA,NA,NA
Miniopterus schreibersii,NA,NA,NA,11.6,NA,NA,NA,NA,NA,44447776,NA,915845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6116028,NA,71277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5094974,NA,59204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219,NA,2 (1H each),55658777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mops pumilus,NA,NA,NA,5.4,NA,NA,NA,NA,NA,25324375,NA,697515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5632618,NA,66967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4001397,NA,47232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208,NA,2 (1 female) (2H each),34958391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos mungo,NA,NA,NA,NA,NA,1.5,5617,1.548,NA,315740000,NA,203966,NA,154260000,NA,NA,NA,0.489,NA,NA,1,NA,NA,NA,9.29,NA,115770000,NA,12462,NA,346560000,NA,NA,NA,2.994,NA,20,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,2018,0.428,2660000,6225,22960000,8.618,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.915,3.454,NA,22510000,NA,6518,NA,151540000,NA,NA,NA,6.731,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.292,NA,NA,454020000,NA,652370000,NA,1.437,NA,NA,24,NA,NA,NA,NA
Mus musculus,NA,NA,NA,40.4,11.6,NA,NA,0.056,0.005,42219708,9277647,746691,128541,6947791,1502773,123493,25715,0.165,0.017,NA,NA,NA,NA,NA,0.173,0.015,13688162,2242257,78672,7683,12061838,3668594,68643,15807,0.87,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.004,4,3893300,1246396,257475,34036,5456700,1154502,371204,75573,1.454,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172,0.019,11960000,1577022,64301,6623,14850000,3590591,79839,11249,1.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402,0.028,4,67873741,10406194,33858759,6657119,NA,65.3,2.3,NA,NA,NA,NA,NA
Mustela putorius furo,NA,NA,NA,NA,NA,0.8,9601,0.92,NA,351260000,NA,381810,NA,79600000,NA,NA,NA,0.227,NA,NA,2,NA,NA,6530,3.123,NA,38950000,NA,12473,NA,264060000,NA,NA,NA,6.779,NA,24,NA,NA,NA,6274,22,NA,NA,NA,NA,NA,NA,NA,8683,0.329,3190000,9702,29310000,9.182,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,14040000,NA,56150,NA,43480000,NA,NA,NA,3.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9269,1.386,NA,14210000,NA,10253,NA,129330000,NA,NA,NA,9.101,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7758,5.429,NA,NA,404430000,NA,472980000,NA,1.253,NA,NA,30,NA,NA,NA,NA
Notamacropus parma,NA,NA,NA,4268,NA,NA,3117,1.69,NA,558080000,NA,330225,NA,NA,NA,NA,NA,0.447,NA,NA,1,NA,NA,4868,9.914,NA,135620000,NA,13680,NA,NA,NA,NA,NA,5.411,NA,35,117630000,18707,3.494,4664,34,NA,NA,NA,NA,NA,NA,NA,6302,1.238,8480000,6849,NA,13.006,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.948,12650000,4290,20.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.162,4770000,4107,15.447,NA,4928,4.11,NA,17420000,NA,4238,NA,NA,NA,NA,NA,19.221,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4700,15.714,NA,NA,711130000,NA,NA,NA,1.733,NA,NA,38,NA,NA,NA,NA
Notamacropus rufogriseus,NA,NA,NA,11110,NA,NA,3811,3.572,NA,1020000000,NA,286273,NA,NA,NA,NA,NA,0.289,NA,NA,1,NA,NA,6120,16.102,NA,256780000,NA,15947,NA,NA,NA,NA,NA,4.545,NA,41,207740000,21631,2.589,5874,40,NA,NA,NA,NA,NA,NA,NA,8081,1.796,10770000,5999,NA,14.221,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93,35060000,5912,11.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,7420000,5336,16.637,NA,4992,7.32,NA,42480000,NA,5803,NA,NA,NA,NA,NA,12.462,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5510,26.994,NA,NA,1.32e+09,NA,NA,NA,1.629,NA,NA,44,NA,NA,NA,NA
