"Original_Term","Reference","Standard_old","DosSantos2017_old","JardimMessender2017_old","Standardized_Term"
"Ctx_I","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortexNoHippocampus_I,n"
"Ctx_I/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortexNoHippocampus_I/mg"
"Ctx_I/N","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortexNoHippocampus_I/N"
"Ctx_N","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortexNoHippocampus_N,n"
"Ctx_N/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortexNoHippocampus_N/mg"
"Ctx_No. of samples","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortexNoHippocampus_n"
"Ctx_Structure mass (g)","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortexNoHippocampus_Mass,g"
"Cx_C","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_C,n"
"Cx_I","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_I,n"
"Cx_I/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_I/mg"
"Cx_I/N","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_I/N"
"Cx_N","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_N,n"
"Cx_N/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_N/mg"
"Cx_No. of samples","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_n"
"Cx_Structure mass (g)","DosSantos_etal_2020_Table1",NA,NA,NA,"CerebralCortex_Mass,g"
"Diencephalon+Striatum Mass, g",NA,"DiencephalonStriatum_Mass_g","MD+S",NA,"DiencephalonStriatum_Mass,g"
"Diencephalon+Striatum N, n",NA,"DiencephalonStriatum_N_n","ND+S",NA,"DiencephalonStriatum_N,n"
"Diencephalon+Striatum N/mg",NA,"DiencephalonStriatum_Nmg","DND + S",NA,"DiencephalonStriatum_N/mg"
"Diencephalon+Striatum O, n",NA,"DiencephalonStriatum_O_n","",NA,"DiencephalonStriatum_O,n"
"Diencephalon+Striatum O/N",NA,"DiencephalonStriatum_ON","O/ND+S",NA,"DiencephalonStriatum_O/N"
"DN,Cb","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"Cerebellum_N/mg"
"DN,CX","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"CerebralCortex_N/mg"
"DN,RoB","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"RoB_N/mg"
"DNCB","DosSantos_etal_2017_TableS1",NA,NA,NA,"Cerebellum_N/mg"
"DNCB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Cerebellum_N/mg"
"DNCX","DosSantos_etal_2017_TableS1",NA,NA,NA,"CerebralCortex_N/mg"
"DNCxT","JardimMesseder_etal_2017_Table1",NA,NA,NA,"CerebralCortex_N/mg"
"DND + S","DosSantos_etal_2017_TableS1",NA,NA,NA,"DiencephalonStriatum_N/mg"
"DNGM","DosSantos_etal_2017_TableS1",NA,NA,NA,"CerebralCortexGrey_N/mg"
"DNHP","DosSantos_etal_2017_TableS1",NA,NA,NA,"Hippocampus_N/mg"
"DNHP","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Hippocampus_N/mg"
"DNMES","DosSantos_etal_2017_TableS1",NA,NA,NA,"Mesencephalon_N/mg"
"DNMES+D+S","DosSantos_etal_2017_TableS1",NA,NA,NA,"MesencephalonDiencephalonStriatum_N/mg"
"DNOB","DosSantos_etal_2017_TableS1",NA,NA,NA,"OlfactoryBulb_N/mg"
"DNOB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"OlfactoryBulb_N/mg"
"DNP+M","DosSantos_etal_2017_TableS1",NA,NA,NA,"PonsMedulla_N/mg"
"DNRoB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"RoB_N/mg"
"DNROB","DosSantos_etal_2017_TableS1",NA,NA,NA,"RoB_N/mg"
"Entorhinal cortex_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"EntorhinalCortex_FractionofBrain"
"Entorhinal cortex_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"EntorhinalCortex_Vol,mm3"
"Entorhinal cortex_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"EntorhinalCortex_Vol,mm3"
