species_as_printed,block,item_index,data_item,ref_numbers,citations,alignment
Bos taurus,4,4,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",11; 23; 24; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Bos taurus,4,5,Cortical thickness,11; 23; 24; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Callimico goeldii,5,1,Neonate brain weight (5.8 g),25,"Smuts BB, Cheney DL, Seyfarth RM, & Wrangham RW (1987) Primate Societies (University of Chicago Press).",one_to_one
Callithrix jacchus,6,1,Cortical thickness,,,no_reference_printed
Callithrix jacchus,6,2,Neurogenic period (58 days) (19),,,no_reference_printed
Callithrix jacchus,6,3,"(Kelava, personal observation)",,,no_reference_printed
Canis latrans,7,1,Adult body (8510 g) and brain (84.24 g) weight,26,Crile G & Quiring DP (1940) A Record of the Body Weight and Certain Organ and Gland Weights of 3690 Animals (Ohio Journal of Science).,one_to_one
Canis latrans,7,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Canis latrans,7,3,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Capra hircus domestica,8,1,"Adult body and brain weights, neonate",11; 23,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",block_level
Capra hircus domestica,8,2,body and brain weights,11; 23,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",block_level
Capra hircus domestica,8,3,"Neonatal brain size (45.53 g), neonatal body mass (1307.6 g), maternal body mass (23333.333 g), litter size (1.25), gestation length (154.748 days), precocial",11; 23,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",block_level
Castor canadensis,9,1,"Adult body (20000 g) and brain (40 g) weight, neonate body (472 g) and brain (13.900 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Cheirogaleus major,10,1,"Mating system (monogamous), body weight (414 g), max home range (4.4 ha)",27,Lahann P (2007) Biology of Cheirogaleus major in a littoral rain forest in southeast madagascar. Int J Primatol 28(4):895-905,one_to_one
Cheirogaleus medius,11,1,Resting metabolic rate (28),29; 17; 24,"Sherwood CC, et al. (2009) Neocortical neuron types in Xenarthra and Afrotheria: implications for brain evolution in mammals. Brain Struct. Funct. 213(3):301-328 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Cheirogaleus medius,11,2,Choloeps didactylus,29; 17; 24,"Sherwood CC, et al. (2009) Neocortical neuron types in Xenarthra and Afrotheria: implications for brain evolution in mammals. Brain Struct. Funct. 213(3):301-328 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Cheirogaleus medius,11,3,Brain weight (7.7 g),29; 17; 24,"Sherwood CC, et al. (2009) Neocortical neuron types in Xenarthra and Afrotheria: implications for brain evolution in mammals. Brain Struct. Funct. 213(3):301-328 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Cheirogaleus medius,11,4,Neocortex volume (- corpus callosum),29; 17; 24,"Sherwood CC, et al. (2009) Neocortical neuron types in Xenarthra and Afrotheria: implications for brain evolution in mammals. Brain Struct. Funct. 213(3):301-328 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Cheirogaleus medius,11,5,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",29; 17; 24,"Sherwood CC, et al. (2009) Neocortical neuron types in Xenarthra and Afrotheria: implications for brain evolution in mammals. Brain Struct. Funct. 213(3):301-328 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Crocidura flavescens,12,1,Brain weight (0.41 g),30,"Manger PR, Hemingway J, Haagensen M, & Gilissen E (2010) Cross-sectional area of the elephant corpus callosum: comparison to other eutherian mammals. Neuroscience 167(3):815-824",one_to_one
Crocidura flavescens,12,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Crocidura russula,13,1,Social system (monogamous),31,Knoll A (2012) Crocidura russula (On-line).).,one_to_one
Crocidura russula,13,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Crocidura russula,13,3,Brain weight (0.019 g),12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Crocuta crocuta,14,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Crocuta crocuta,14,2,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Cynictis penicillata,15,1,"Body weight (589 g), weaning (40 d), altricial, litter size (1.8), group size (3.6=<9), mating system (polygynandry), above ground dwelling, trophic level (carnivore)",2; 32; 33,"Walker R, Burger O, Wagner J, & Von Rueden CR (2006) Evolution of brain size and juvenile periods in primates. Journal of human evolution 51(5):480-489 | Taylor MJ & Hoffmann M (1993) Cynictis penicillata. Mammalian Species (432):1-7. | Wenhold OAE, Howard BA, Marais P, Pallet A, & Rasa J (1992) Reproduction in the Yellow Mongoose Revisited. South African Journal of Zoology 27(4):192-195.",block_level
Cynictis penicillata,15,2,Litters per year,2; 32; 33,"Walker R, Burger O, Wagner J, & Von Rueden CR (2006) Evolution of brain size and juvenile periods in primates. Journal of human evolution 51(5):480-489 | Taylor MJ & Hoffmann M (1993) Cynictis penicillata. Mammalian Species (432):1-7. | Wenhold OAE, Howard BA, Marais P, Pallet A, & Rasa J (1992) Reproduction in the Yellow Mongoose Revisited. South African Journal of Zoology 27(4):192-195.",block_level
Dasyprocta leporine,16,1,Social system (monogamous),34,Bricklin R (2004.) Dasyprocta leporina (On-line). in Animal Diversity Web).,one_to_one
Dasypus novemcinctus,17,1,"Adult body (3700 g) and brain (12 g) weight, neonate body (80 g) and brain weight (3.500 g)",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Dasypus novemcinctus,17,2,Adult body and brain weight,26,Crile G & Quiring DP (1940) A Record of the Body Weight and Certain Organ and Gland Weights of 3690 Animals (Ohio Journal of Science).,one_to_one
Dasypus novemcinctus,17,3,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Daubentonia madagascariensis,18,1,Resting metabolic rate (1393.9 mL O2/h),28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Delphinus delphis,19,1,Brain weight,35,Food & Mammals AOotUNWPoM (1981) Mammals in the Seas: General papers and large Cetaceans (FAO).,one_to_one
Delphinus delphis,19,2,Trophic level (carnivore),36,Alspaugh M (2000) Delphinus delphis (On-line). in Animal Diversity Web).,one_to_one
Delphinus delphis,19,3,Neonatal brain weight (476 g),37,"Marino L, Murphy TL, Gozal L, & Johnson JI (2001) Magnetic resonance imaging and three-dimensional reconstructions of the brain of a fetal common dolphin, Delphinus delphis. Anat. Embryol. 203(5):393-402",one_to_one
Didelphis virginiana,20,1,Brain weight (6.72 g),38,"Weisbecker V & Goswami A (2010) Brain size, life history, and metabolism at the marsupial/placental dichotomy. Proc. Natl. Acad. Sci. U. S. A. 107(37):16216-16221",one_to_one
Elephantulus fuscipes,21,1,"Brain weight (1.33 g), body weight (57 g)",12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Equus burchelli,22,1,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Equus caballus,23,1,"Adult body and brain weight, neonate body",11; 17; 19,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,block_level
Equus caballus,23,2,and brain weight,11; 17; 19,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,block_level
Equus caballus,23,3,Neocortex volume (- corpus callosum),11; 17; 19,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,block_level
Equus caballus,23,4,Cortical thickness,11; 17; 19,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,block_level
Erinaceus europaeus,24,1,"Adult body (928 g) and brain (3.50 g) weight, neonate body (13.90 g) and brain (0.313 g) weight",1; 11; 39,"Zilles K, Armstrong E, Moser KH, Schleicher A, & Stephan H (1989) Gyrification in the cerebral cortex of primates. Brain Behav Evol 34(3):143-150 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Roberts C (2011) Erinaceus europaeus. in Animal Diversity Web).",block_level
Erinaceus europaeus,24,2,"Altricial, group size",1; 11; 39,"Zilles K, Armstrong E, Moser KH, Schleicher A, & Stephan H (1989) Gyrification in the cerebral cortex of primates. Brain Behav Evol 34(3):143-150 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Roberts C (2011) Erinaceus europaeus. in Animal Diversity Web).",block_level
Eulemur mongoz,25,1,"Diet (frugivorous), % fruit and seeds",40,Curtis DJ (2004) Diet and nutrition in wild mongoose lemurs (Eulemur mongoz) and their implications for the evolution of female dominance and small group size in lemurs. Am. J. Phys. Anthropol. 124(3):234-247,one_to_one
Eulemur mongoz,25,2,"Group size (<9, pair+offspring), acivity timing (N + D, depending on the season and area), weight at birth (60-70 g for the genus Eulemur)",41,"Nowak RM, Mittermeier RA, Rylands AB, & Konstant WR (1999) Walker's Primates of the World (Johns Hopkins University Press).",one_to_one
Eulemur mongoz,25,3,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Eulemur mongoz,25,4,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Felis catus,26,1,"Brain weight, gestation length",42,"Williams RW, Cavada C, & Reinoso-Suarez F (1993) Rapid evolution of the visual system: a cellular assay of the retina and dorsal lateral geniculate nucleus of the Spanish wildcat and the domestic cat. J. Neurosci. 13(1):208-228",one_to_one
Felis catus,26,2,"Adult body (2500 g) and brain weight (28.40 g), neonate body (114 g) and brain weight (5.600 g)",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Felis catus,26,3,"Neonatal brain size (5.65 g), neonatal body mass (105.25 g), maternal body mass (3150 g), gestation length (64 days), altricial",23,"Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",one_to_one
Felis catus,26,4,Neurogenic period (33.5 days),43,"Clancy B, Darlington RB, & Finlay BL (2001) Translating developmental time across mammalian species. Neuroscience 105(1):7-17.",one_to_one
Felis catus,26,5,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Galago demidovii,27,1,Adult brain size (2.7 g),44,"Roberts M (1994) Growth, Development, and Parental Care in the Western Tarsier (Tarsius-Bancanus) in Captivity - Evidence for a Slow Life-History and Nonmonogamous Mating System. Int J Primatol 15(1):1-28",one_to_one
Galago demidovii,27,2,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Galago demidovii,27,3,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Galago senegalensis,28,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Galago senegalensis,28,2,Social system (monogamous),45,Ballenger L (2001) Galago senegalensis (On-line). in Animal Diversity Web).,one_to_one
Galago senegalensis,28,3,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Galemys pyrenaicus,29,1,Brain weight (1.33 g),12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Globicephala macrorhynchus,30,1,Brain weight (2886.296 g) (brain volume*1.036),46,Manger PR (2006) An examination of cetacean brain structure with a novel hypothesis correlating thermogenesis to the evolution of a big brain. Biological Reviews 81(2):293-338,one_to_one
Globicephala macrorhynchus,30,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Gorilla gorilla,31,1,"Adult body (140000 g) and brain (406 g) weight, neonate body (1750 g) and brain (227 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Grampus griseus,32,1,Brain weight (1588 g),46,Manger PR (2006) An examination of cetacean brain structure with a novel hypothesis correlating thermogenesis to the evolution of a big brain. Biological Reviews 81(2):293-338,one_to_one
Grampus griseus,32,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Hapalemur griseus,33,1,"Group size, activity (diurnal), mating system (polygyny)",47,"Mutschler T, Feistner AT, & Nievergelt CM (1998) Preliminary Field Data on Group Size, Diet and Activity in the Alaotran Gentle Lemur Hapalemur griseus alaotrensis. Folia Primatol (Basel) 69(5):325-330",one_to_one
Hapalemur griseus,33,2,"Group size (3), activity, diet (folivorous)",48,"Mutschler T, Nievergelt CM, & Feistner AT (2000) Social organization of the Alaotran gentle lemur (Hapalemur griseus alaotrensis). Am J Primatol 50(1):9-24",one_to_one
Hapalemur griseus,33,3,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Homo sapiens,34,1,Neurogenic period (112 days),11; 49,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).,block_level
Homo sapiens,34,2,Cortical thickness,11; 49,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).,block_level
Homo sapiens,34,3,Corpus callosum,11; 49,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).,block_level
Homo sapiens,34,4,See text. (19) (30),11; 49,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).,block_level
Homo sapiens,34,5,Hydrochaeris hydrochaeris,11; 49,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).,block_level
Homo sapiens,34,6,"Adult body (29500 g) and brain (76 g) weight, neonate body (1200 g) and brain (24.800 g) weight",11; 49,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).,block_level
Homo sapiens,34,7,Social system (polygynous to promiscuous – harem; dominant males),11; 49,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).,block_level
Hylobates lar,35,1,"Adult body (5500 g) and brain (102 g) weight, neonate body (400 g) and brain (65 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Hylobates lar,35,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Hylobates lar,35,3,Corpus callosum,30,"Manger PR, Hemingway J, Haagensen M, & Gilissen E (2010) Cross-sectional area of the elephant corpus callosum: comparison to other eutherian mammals. Neuroscience 167(3):815-824",one_to_one
Indri indri,36,1,"Sexual maturity (48-84 months, mean 2008 days)",50,Rowe N (1996) The pictorial guide to the living primates (Pogonias Press).,one_to_one
Indri indri,36,2,Body weight (10500 g),44,"Roberts M (1994) Growth, Development, and Parental Care in the Western Tarsier (Tarsius-Bancanus) in Captivity - Evidence for a Slow Life-History and Nonmonogamous Mating System. Int J Primatol 15(1):1-28",one_to_one
Lama glama,37,1,"Adult body and brain weight, neonate body",11; 23; 24,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Lama glama,37,2,and brain weight,11; 23; 24,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
