ref_number,citation
16,"Jones KE, et al. (2009) PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology 90(2648)."
17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5
18,Parker ST & Gibson KR (1994) 'Language' and Intelligence in Monkeys and Apes: Comparative Developmental Perspectives (Cambridge University Press).
19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.
20,Karpanty SM (2006) Direct and indirect impacts of raptor predation on lemurs in southeastern Madagascar. Int J Primatol 27(1):239-261
21,"Ganzhorn JrU, Abraham JP, & Razanahoera-Rakotomalala Mn (1985) Some aspects of the natural history and food selection of Avahi laniger. Primates 26(4):452-463."
22,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276"
23,"Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98"
24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70"
25,"Smuts BB, Cheney DL, Seyfarth RM, & Wrangham RW (1987) Primate Societies (University of Chicago Press)."
26,Crile G & Quiring DP (1940) A Record of the Body Weight and Certain Organ and Gland Weights of 3690 Animals (Ohio Journal of Science).
27,Lahann P (2007) Biology of Cheirogaleus major in a littoral rain forest in southeast madagascar. Int J Primatol 28(4):895-905
28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590"
29,"Sherwood CC, et al. (2009) Neocortical neuron types in Xenarthra and Afrotheria: implications for brain evolution in mammals. Brain Struct. Funct. 213(3):301-328"
30,"Manger PR, Hemingway J, Haagensen M, & Gilissen E (2010) Cross-sectional area of the elephant corpus callosum: comparison to other eutherian mammals. Neuroscience 167(3):815-824"
31,Knoll A (2012) Crocidura russula (On-line).).
32,Taylor MJ & Hoffmann M (1993) Cynictis penicillata. Mammalian Species (432):1-7.
33,"Wenhold OAE, Howard BA, Marais P, Pallet A, & Rasa J (1992) Reproduction in the Yellow Mongoose Revisited. South African Journal of Zoology 27(4):192-195."
34,Bricklin R (2004.) Dasyprocta leporina (On-line). in Animal Diversity Web).
35,Food & Mammals AOotUNWPoM (1981) Mammals in the Seas: General papers and large Cetaceans (FAO).
36,Alspaugh M (2000) Delphinus delphis (On-line). in Animal Diversity Web).
37,"Marino L, Murphy TL, Gozal L, & Johnson JI (2001) Magnetic resonance imaging and three-dimensional reconstructions of the brain of a fetal common dolphin, Delphinus delphis. Anat. Embryol. 203(5):393-402"
38,"Weisbecker V & Goswami A (2010) Brain size, life history, and metabolism at the marsupial/placental dichotomy. Proc. Natl. Acad. Sci. U. S. A. 107(37):16216-16221"
39,Roberts C (2011) Erinaceus europaeus. in Animal Diversity Web).
40,Curtis DJ (2004) Diet and nutrition in wild mongoose lemurs (Eulemur mongoz) and their implications for the evolution of female dominance and small group size in lemurs. Am. J. Phys. Anthropol. 124(3):234-247
41,"Nowak RM, Mittermeier RA, Rylands AB, & Konstant WR (1999) Walker's Primates of the World (Johns Hopkins University Press)."
42,"Williams RW, Cavada C, & Reinoso-Suarez F (1993) Rapid evolution of the visual system: a cellular assay of the retina and dorsal lateral geniculate nucleus of the Spanish wildcat and the domestic cat. J. Neurosci. 13(1):208-228"
43,"Clancy B, Darlington RB, & Finlay BL (2001) Translating developmental time across mammalian species. Neuroscience 105(1):7-17."
44,"Roberts M (1994) Growth, Development, and Parental Care in the Western Tarsier (Tarsius-Bancanus) in Captivity - Evidence for a Slow Life-History and Nonmonogamous Mating System. Int J Primatol 15(1):1-28"
45,Ballenger L (2001) Galago senegalensis (On-line). in Animal Diversity Web).
46,Manger PR (2006) An examination of cetacean brain structure with a novel hypothesis correlating thermogenesis to the evolution of a big brain. Biological Reviews 81(2):293-338
47,"Mutschler T, Feistner AT, & Nievergelt CM (1998) Preliminary Field Data on Group Size, Diet and Activity in the Alaotran Gentle Lemur Hapalemur griseus alaotrensis. Folia Primatol (Basel) 69(5):325-330"
48,"Mutschler T, Nievergelt CM, & Feistner AT (2000) Social organization of the Alaotran gentle lemur (Hapalemur griseus alaotrensis). Am J Primatol 50(1):9-24"
49,Frens K (2009) Hydrochaerus hydrochaeris (On-line). in Animal Diversity Web).
50,Rowe N (1996) The pictorial guide to the living primates (Pogonias Press).
51,Axel AC & Maurer BA (2011) Lemurs in a Complex Landscape: Mapping Species Density in Subtropical Dry Forests of Southwestern Madagascar Using Data at Multiple Levels. Am J Primatol 73(1):38-52
52,"Rasoloharijaona S, Randrianambinina B, & Zimmermann E (2008) Sleeping site ecology in a rain-forest dwelling nocturnal lemur (Lepilemur mustelinus): implications for sociality and conservation. Am J Primatol 70(3):247-253"
53,"Hilgartner R, Zinner D, & Kappeler PM (2008) Life history traits and parental care in Lepilemur ruficaudatus. Am J Primatol 70(1):2-11"
54,"Shoshani J, Kupsky WJ, & Marchant GH (2006) Elephant brain. Part I: gross morphology, functions, comparative anatomy, and evolution. Brain Res Bull 70(2):124-157"
55,"Hakeem AY, et al. (2005) Brain of the African elephant (Loxodonta africana): neuroanatomy from magnetic resonance images. Anat. Rec. A Discov. Mol. Cell. Evol. Biol. 287(1):1117-1127"
56,"Clancy B, Teague-Ross TJ, & Nagarajan R (2009) Cross-species analyses of the cortical GABAergic and subplate neural populations. Front. Neuroanat. 3:20"
57,Miller D (2002) Macropus fuliginosus (On-line). in Animal Diversity Web).
58,Byers JA (1999) The distribution of play behaviour among Australian marsupials. J Zool 247:349-356
59,Champagne A (2006) Mesocricetus auratus (On-line). in Animal Diversity Web).
60,"Seelke AM, Dooley JC, & Krubitzer LA (2013) Differential changes in the cellular composition of the developing marsupial brain. J. Comp. Neurol. 521(11):2602-2620"
61,"Seelke AM, Dooley JC, & Krubitzer LA (2014) The cellular composition of the marsupial neocortex. J. Comp. Neurol. 522(10):2286-2298"
62,Ballenger L (1999) Mus musculus (On-line). in Animal Diversity Web).
63,"Haubensak W, Attardo A, Denk W, & Huttner WB (2004) Neurons arise in the basal neuroepithelium of the early mammalian telencephalon: A major site of neurogenesis. Proc. Natl. Acad. Sci. USA 101:3196-3201."
64,"Kowalczyk T, et al. (2009) Intermediate neuronal progenitors (basal progenitors) produce pyramidal-projection neurons for all layers of cerebral cortex. Cereb. Cortex 19(10):2439-2450"
65,Jones EG & Diamond IT (1995) Cerebral Cortex: Volume 11: The Barrel Cortex of Rodents (Springer).
66,Tislerics A (2000) Oryctolagus cuniculus (On-line). in Animal Diversity Web).
67,Ebinger P (1975) Quantitative investigations of visual brain structures in wild and domestic sheep. Anatomy and embryology 146(3):313-323
68,Bininda-Emonds ORP (2000) Pinniped brain sizes. Marine Mammal Science 16(2):469-481
69,Marino L (1999) Brain growth in the harbor porpoise and Pacific white-sided dolphin. J Mammal 80(4):1353-1360
70,Olds N & Shoshani J (1982) Procavia capensis. Mammalian Species (171):1-7.
71,Linderman E (2011) Procavia capensis (On-line). in Animal Diversity Web).
72,Dunbar RIM & Bever J (1998) Neocortex size predicts group size in carnivores and some insectivores. Ethology 104(8):695-708
73,"Manger PR, Prowse M, Haagensen M, & Hemingway J (2012) Quantitative analysis of neocortical gyrencephaly in African elephants (Loxodonta africana) and six species of cetaceans: comparison with other mammals. J. Comp. Neurol. 520(11):2430-2439"
74,Silbernagel E (2005) Pteropus giganteus (On-line). in Animal Diversity Web).
75,Jurgens KD & Prothero J (1987) Scaling of maximal lifespan in bats. Comp Biochem Physiol A Comp Physiol 88(2):361-317
76,Marshall AJ (1947) The breeding cycle of an equatorial bat (Pteropus giganteus of Ceylon). Proceedings of the Linnean Society of London 159(2):103-111.
77,Hosken DJ (1998) Testes mass in megachiropteran bats varies in accordance with sperm competition theory. Behav Ecol Sociobiol 44(3):169-177
78,Armitage D (2004) Rattus norvegicus (On-line). in Animal Diversity Web).
79,Kruska D & Rohrs M (1974) Comparative--quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs. Z. Anat. Entwicklungsgesch. 144(1):61-73
80,Sondergaard E (2006) Talpa europaea (On-line). in Animal Diversity Web).
81,Smith RJ & Leigh SR (1998) Sexual dimorphism in primate neonatal body mass. J. Hum. Evol. 34(2):173-201.
82,"Dagosto M, Gebo D, & Dolino C (2001) Positional behavior and social organization of the philippine tarsier (&lt;i&gt;Tarsius syrichta&lt;/i&gt;). Primates 42(3):233-243."
83,Reep RL & O'Shea TJ (1990) Regional brain morphometry and lissencephaly in the Sirenia. Brain Behav. Evol. 35(4):185-194
84,Edwards H (2000) Trichechus manatus (On-line). in Animal Diversity Web).
85,"Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567"
86,Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393
87,Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web).
88,Jenkins J (2009) Tursiops truncatus (On-line). in Animal Diversity Web).
