"Species_Liu2016","species_sci","specimen_key","museum","MC1","PP1","DP1","MC2","PP2","IP2","DP2","WS","GMI","segment_sum_check"
"Presbytis cristata","Trachypithecus cristatus","HMNH 35683","HMNH",0.159,0.082,0.045,0.314,0.22,0.125,0.055,0.0033,0.0015,1
"Presbytis cristata","Trachypithecus cristatus","HMNH 37396","HMNH",0.154,0.09,0.052,0.31,0.204,0.129,0.06,0.0069,0.0038,0.999
"Presbytis cristata","Trachypithecus cristatus","HMNH 37665","HMNH",0.155,0.074,0.045,0.32,0.216,0.132,0.058,0.0029,0.0012,1
"Sapajus apella","Sapajus apella","AMNH 188037","AMNH",0.167,0.137,0.092,0.226,0.182,0.119,0.077,0.0216,0.013,1
"Sapajus apella","Sapajus apella","AMNH 95129","AMNH",0.154,0.138,0.09,0.221,0.187,0.127,0.083,0.0183,0.0108,1
"Sapajus apella","Sapajus apella","AMNH 80169","AMNH",0.144,0.139,0.092,0.226,0.188,0.12,0.091,0.0183,0.0109,1
"Sapajus apella","Sapajus apella","HMNH 61405","HMNH",0.185,0.109,0.055,0.286,0.194,0.106,0.065,0.0122,0.0073,1
"Sapajus apella","Sapajus apella","YPM MAM 7577","YPM",0.174,0.126,0.065,0.261,0.193,0.126,0.055,0.0125,0.0073,1
"Sapajus apella","Sapajus apella","YPM MAM 6873","YPM",0.157,0.138,0.101,0.216,0.189,0.113,0.087,0.0224,0.0134,1.001
"Cebus albifrons","Cebus albifrons","AMNH 15485","AMNH",0.169,0.13,0.093,0.232,0.174,0.111,0.092,0.0221,0.0144,1.001
"Cebus albifrons","Cebus albifrons","AMNH 23403","AMNH",0.16,0.137,0.092,0.228,0.175,0.119,0.09,0.0204,0.0129,1.001
"Cebus albifrons","Cebus albifrons","AMNH 23401","AMNH",0.157,0.139,0.105,0.204,0.185,0.118,0.093,0.0216,0.0128,1.001
"Cebus albifrons","Cebus albifrons","AMNH 23399","AMNH",0.157,0.143,0.093,0.212,0.186,0.123,0.085,0.0202,0.0118,0.999
"Cebus albifrons","Cebus albifrons","AMNH 15484","AMNH",0.149,0.131,0.097,0.231,0.176,0.119,0.097,0.0189,0.0122,1
"Cebus albifrons","Cebus albifrons","AMNH 200753","AMNH",0.154,0.133,0.096,0.221,0.182,0.124,0.09,0.019,0.0118,1
"Cebus albifrons","Cebus albifrons","AMNH 14017","AMNH",0.156,0.141,0.094,0.212,0.191,0.121,0.085,0.0202,0.0118,1
"Cebus albifrons","Cebus albifrons","AMNH 201434","AMNH",0.155,0.139,0.088,0.226,0.188,0.127,0.077,0.018,0.0105,1
"Cebus albifrons","Cebus albifrons","AMNH 201288","AMNH",0.16,0.142,0.095,0.219,0.177,0.12,0.087,0.0213,0.013,1
"Alouatta seniculus","Alouatta seniculus","AMNH 23330","AMNH",0.146,0.148,0.087,0.208,0.21,0.13,0.071,0.0162,0.0082,1
"Alouatta seniculus","Alouatta seniculus","AMNH 23334","AMNH",0.15,0.141,0.089,0.202,0.204,0.134,0.079,0.0162,0.0086,0.999
"Alouatta seniculus","Alouatta seniculus","AMNH 23337","AMNH",0.143,0.15,0.091,0.199,0.207,0.133,0.076,0.0169,0.0087,0.999
"Alouatta seniculus","Alouatta seniculus","AMNH 23335","AMNH",0.155,0.14,0.091,0.206,0.207,0.126,0.075,0.0181,0.0097,1
"Alouatta seniculus","Alouatta seniculus","AMNH 23329","AMNH",0.15,0.144,0.087,0.207,0.206,0.13,0.076,0.0169,0.0089,1
"Alouatta seniculus","Alouatta seniculus","AMNH 14660","AMNH",0.14,0.148,0.094,0.203,0.204,0.13,0.081,0.0172,0.0091,1
