status,match_basis,species_key,species_file,species_csv,individual,brain_mass_g,brain_mass_g_csv,brain_mass_match,left_mm3,total_insula_L_mm3,left_diff_mm3,left_match,right_mm3,doubling_basis,doubled_cm3,doubled_expected,doubling_ok,record_id,left_cm3,right_cm3,n_hemispheres_listed,collection
Table1_only_not_in_comparison,NA,indri indri,NA,Indri indri,3249b,NA,33.7,FALSE,NA,167,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,lophocebus albigena,NA,Lophocebus albigena,3407b,NA,110.5,FALSE,NA,536,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,loris tardigradus,NA,Loris tardigradus,3253b,NA,6.9,FALSE,NA,12,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,pan paniscus,NA,Pan paniscus,Zahliaa,NA,324,FALSE,NA,1753,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCSD
Table1_only_not_in_comparison,NA,pan troglodytes,NA,Pan troglodytes,YN01-92a,NA,341.2,FALSE,NA,1942,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAAP
Table1_only_not_in_comparison,NA,perodicticus potto,NA,Perodicticus potto,3259b,NA,11.5,FALSE,NA,31,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,piliocolobus badius,NA,Piliocolobus badius,3477b,NA,75,FALSE,NA,241,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,pongo pygmaeus,NA,Pongo pygmaeus,Briggsa,NA,345,FALSE,NA,1505,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCSD
Table1_only_not_in_comparison,NA,saguinus oedipus,NA,Saguinus oedipus,3311b,NA,9.3,FALSE,NA,26,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephan
Table1_only_not_in_comparison,NA,trachypithecus francoisi,NA,Trachypithecus francoisi,51106a,NA,102.1,FALSE,NA,625,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAAP
matched,species + brain mass,alouatta caraya,Alouatta caraya,Alouatta caraya,890708a,55.80000000000001,55.8,TRUE,271.8020000000001,272,-0.19799999999992224,TRUE,NA,2 x left,0.543604,0.5436040000000002,TRUE,18,0.2718020000000001,NA,1,GAAP
matched,species + brain-mass rank (approximate),callithrix pygmaea,Cebuella pygmaea,Callithrix pygmaea,3289b,4.1499999999999995,4.2,FALSE,11.787951907919998,11,0.7879519079199984,TRUE,NA,2 x left,0.023575903815840005,0.02357590381584,TRUE,23,0.01178795190792,NA,1,Stephan
matched,species + brain mass,cercopithecus kandti,Cercopithecus kandti,Cercopithecus kandti,201202a,71.6,71.6,TRUE,614.1924999999999,614,0.19249999999988177,TRUE,NA,2 x left,1.228385,1.2283849999999998,TRUE,17,0.6141924999999999,NA,1,GAAP
matched,species + brain mass,colobus angolensis,Colobus angolensis,Colobus angolensis,M00652a,74.4,74.4,TRUE,222.39950000000002,222,0.3995000000000175,TRUE,NA,2 x left,0.444799,0.44479900000000006,TRUE,16,0.22239950000000003,NA,1,GAAP
matched,species + brain mass,gorilla gorilla,Gorilla gorilla,Gorilla gorilla,OON1072b,450,450,TRUE,2510.3780412438196,2510,0.3780412438195526,TRUE,NA,2 x left,5.020756082487639,5.020756082487639,TRUE,3,2.5103780412438197,NA,2,GAAP
matched,species + brain mass,gorilla gorilla,Gorilla gorilla,Gorilla gorilla,862094b,420,420,TRUE,1981.722169282738,1982,-0.2778307172620771,TRUE,1757.2876275414324,L+R,3.7390097968241705,3.7390097968241705,TRUE,4,1.981722169282738,1.7572876275414324,2,GAAP
matched,species + brain mass,gorilla gorilla,Gorilla gorilla,Gorilla gorilla,439b,419,419,TRUE,2180.125921484251,2180,0.12592148425119376,TRUE,NA,2 x left,4.360251842968501,4.360251842968502,TRUE,5,2.180125921484251,NA,2,GAAP
matched,species + brain mass,homo sapiens,Homo sapiens,Homo sapiens,H9-88a,1639.6,1639.6,TRUE,7734.4767999999995,7734,0.4767999999994572,TRUE,7808.6656,L+R,15.5431424,15.5431424,TRUE,1,7.7344767999999995,7.8086656,2,UCSD
matched,species + brain mass,homo sapiens,Homo sapiens,Homo sapiens,SN207-84a,1349,1349,TRUE,6908.4,6908,0.3999999999996362,TRUE,5979.528000000001,L+R,12.887928,12.887928,TRUE,2,6.908399999999999,5.979528000000001,2,UCSD
matched,species + brain mass,hylobates muelleri,Hylobates muelleri,Hylobates muelleri,970431a,101.8,101.8,TRUE,481.4162500000001,539,-57.583749999999895,FALSE,NA,2 x left,0.9628325,0.9628325000000002,TRUE,14,0.4814162500000001,NA,1,GAAP
matched,species + brain mass,leontopithecus rosalia,Leontopithecus rosalia,Leontopithecus rosalia,950728a,12.700000000000001,12.7,TRUE,37.13844,37,0.13844000000000278,TRUE,NA,2 x left,0.07427688000000002,0.07427688,TRUE,21,0.03713844,NA,1,GAAP
matched,species + brain mass,macaca maura,Macaca maura,Macaca maura,M1005a,83.3,83.3,TRUE,492.373125,492,0.3731250000000159,TRUE,NA,2 x left,0.98474625,0.98474625,TRUE,15,0.492373125,NA,1,GAAP
matched,species + brain mass,pan paniscus,Pan paniscus,Pan paniscus,Nambob,395,395,TRUE,1543.0727687536396,1543,0.07276875363959334,TRUE,1630.9706857421252,L+R,3.1740434544957643,3.1740434544957647,TRUE,6,1.5430727687536396,1.6309706857421251,2,GAAP
matched,species + brain mass,pan paniscus,Pan paniscus,Pan paniscus,MCZ-2007-52a,337,337,TRUE,1387.024,1775,-387.9760000000001,FALSE,1470.3530367929006,L+R,2.8573770367929012,2.857377036792901,TRUE,7,1.3870239999999998,1.4703530367929007,2,GAAP
matched,species + brain mass,pan troglodytes,Pan troglodytes,Pan troglodytes,CA0171b,374,374,TRUE,1753.464864993555,1387,366.464864993555,FALSE,1468.21677215728,L+R,3.2216816371508354,3.221681637150835,TRUE,9,1.753464864993555,1.46821677215728,2,GAAP
matched,species + brain mass,pan troglodytes,Pan troglodytes,Pan troglodytes,YN00-170a,312.8999999999999,312.9,TRUE,1473.25424,1473,0.2542399999999816,TRUE,NA,2 x left,2.94650848,2.94650848,TRUE,10,1.47325424,NA,1,GAAP
matched,species + brain mass,pithecia pithecia,Pithecia pithecia,Pithecia pithecia,M30709a,30,30,TRUE,279.2205,279,0.22050000000001546,TRUE,NA,2 x left,0.558441,0.5584410000000001,TRUE,20,0.27922050000000004,NA,1,GAAP
matched,species + brain mass,pongo abelii,Pongo abelli,Pongo abelii,M00305b,358,358,TRUE,1204.33460120614,1204,0.3346012061399506,TRUE,1198.7395507940325,L+R,2.403074152000173,2.4030741520001726,TRUE,11,1.20433460120614,1.1987395507940326,2,GAAP
matched,species + brain mass,pongo abelii,Pongo abelli,Pongo abelii,Thelmab,333.8,333.8,TRUE,1112.2252398550347,1112,0.22523985503471522,TRUE,NA,2 x left,2.224450479710069,2.2244504797100695,TRUE,12,1.1122252398550347,NA,1,GAAP
matched,species + brain mass,pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus,"Sabtub,c",376,376,TRUE,NA,NA,NA,TRUE,1784.199381635242,2 x right (left not measured),3.5683987632704843,3.568398763270484,TRUE,8,NA,1.784199381635242,2,GAAP
matched,species + brain mass,saguinus geoffroyi,Saguinus geoffroyi,Saguinus geoffroyi,900722a,10.5,10.5,TRUE,23.4,23,0.3999999999999986,TRUE,NA,2 x left,0.0468,0.046799999999999994,TRUE,22,0.023399999999999997,NA,1,GAAP
matched,species + brain mass,symphalangus syndactylus,Symphalangus syndactylus,Symphalangus syndactylus,880804a,138.7,138.7,TRUE,416.17250000000007,416,0.17250000000007049,TRUE,NA,2 x left,0.8323449999999999,0.8323450000000001,TRUE,13,0.41617250000000006,NA,2,GAAP
matched,species + brain mass,varecia variegata,Varecia variegatus,Varecia variegata,3227b,31.5,31.5,TRUE,99.73875858660001,100,-0.2612414133999863,TRUE,NA,2 x left,0.1994775171732,0.19947751717320003,TRUE,19,0.09973875858660002,NA,1,Stephan
