source_publication,item_reference,code,species_as_printed,n,canonical_specimen,decision,rationale
Baron_etal_1983,Baron_etal_1983_Table1,3407,Cercocebus albigena,1,STEPHAN-LOPHALBI-3407,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-LOPHALBI-3407.
Baron_etal_1983,Baron_etal_1983_Table1,3415,Papio anubis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3433,Cercopithecus ascanius,1,STEPHAN-CERCASCA-3433,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CERCASCA-3433.
Baron_etal_1983,Baron_etal_1983_Table1,3453,Cercopithecus mitis,1,STEPHAN-CERCMITI-3453,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CERCMITI-3453.
Baron_etal_1983,Baron_etal_1983_Table1,3469,Miopithecus talapoin,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3473,Erythrocebus patas,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3477,Colobus badius,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,3493,Pygathrix nemaeus,1,STEPHAN-PYGANEMA-3493,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-PYGANEMA-3493.
Baron_etal_1983,Baron_etal_1983_Table1,3499,Nasalis larvatus,1,STEPHAN-NASALARV-3499,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-NASALARV-3499.
Baron_etal_1983,Baron_etal_1983_Table1,3539,Hylobates lar,1,HIRN-UNKNOWN-3539,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen HIRN-UNKNOWN-3539.
Baron_etal_1983,Baron_etal_1983_Table1,3549,Pan troglodytes,1,HIRN-PANTRO-3549,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen HIRN-PANTRO-3549.
Baron_etal_1983,Baron_etal_1983_Table1,3551,Gorilla gorilla,1,STEPHAN-GORISP-3551,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-GORISP-3551.
Baron_etal_1983,Baron_etal_1983_Table1,3553,Homo sapiens,1,STEPHAN-HOMOSAPI-3553,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-HOMOSAPI-3553.
Baron_etal_1983,Baron_etal_1983_Table1,7993,Elephantulus fuscipes,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Baron_etal_1983,Baron_etal_1983_Table1,8011,Rhynchocyon cirnei,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
