species_row	Species_Baron1996	n	net_brain_mm3	net_brain_pct_of_standard	ventricles_mm3	ventricles_pct_of_standard	rests_mm3	rests_pct_of_standard	source_pdf_page
73	Nycteris macrotis	3	367.9	98.2	2.6	0.7	4	1.1	48
74	Nycteris nana	3	226.2	98.5	1	0.4	2.6	1.1	48
75	Nycteris thebaica	3	307.6	98.6	1.2	0.4	3	1	48
76	Nycteris tragata	2	434.1	97.8	4.2	0.9	5.7	1.3	48
77	Megaderma lyra	6	856.2	97.8	6.3	0.7	13.1	1.5	48
78	Megaderma spasma	3	607.6	97.8	7	1.1	6.9	1.1	48
79	Macroderma gigas	3	1603.4	97.5	15.4	0.9	26	1.6	48
80	Cardioderma cor	3	631.1	97.6	6.8	1.1	8.8	1.4	48
81	Lavia frons	2	611.4	98.4	2.5	0.4	7.8	1.2	48
82	Rhinolophus cornutus	2	183.5	98	1.4	0.7	2.4	1.3	48
83	Rhinolophus eloquens	2	382.3	98	2.4	0.6	5.3	1.4	48
84	Rhinolophus hipposideros	2	140.4	97.6	1.2	0.9	2.2	1.5	48
85	Rhinolophus landeri	3	262.5	98.2	2	0.7	2.9	1.1	48
86	Rhinolophus lepidus	3	174.8	97.9	1.5	0.8	2.3	1.3	48
87	Rhinolophus luctus	3	583.5	97.3	5.9	1	10	1.7	48
88	Rhinolophus macrotis	2	195.9	97.6	2.4	1.2	2.5	1.2	48
89	Rhinolophus malayanus	2	190.9	97.9	1.2	0.6	2.8	1.5	48
90	Rhinolophus megaphyllus	2	247.2	98.1	1.6	0.7	3.1	1.2	48
91	Rhinolophus megaph. ssp.	3	217.8	98.1	1.5	0.7	2.8	1.2	48
92	Rhinolophus paradoxolophus	1	250.1	97	3.3	1.3	4.3	1.7	48
93	Rhinolophus pearsoni	1	313.8	97.9	2.9	0.9	3.8	1.2	48
94	Rhinolophus pusillus	3	155.2	98	1	0.6	2.1	1.3	48
95	Rhinolophus trifoliatus	3	330.8	97.4	3.1	0.9	5.8	1.7	48
96	Rhinolophus yunanensis	2	412.9	97.4	4.8	1.1	6	1.4	48
97	Hipposideros armiger	3	750.9	97.2	7.2	0.9	14.1	1.8	48
98	Hipposideros ater	2	202	98.3	1.2	0.6	2.4	1.2	48
99	Hipposideros ater aruensis	2	179.2	97.7	1.6	0.9	2.6	1.4	48
100	Hipposideros ater saevus	3	169.2	97.9	1.5	0.8	2.2	1.3	48
101	Hipposideros caffer	3	290.1	98.2	1.7	0.6	3.6	1.2	48
102	Hipp. c. calcaratus §)	3	379.4	97.8	3.7	1	5	1.3	48
103	Hipp. calc. cupidus §)	3	316.5	97.6	2.9	0.9	4.9	1.5	48
104	Hipposideros cervinus	3	201.4	97.5	2	0.9	3.2	1.6	48
105	Hipposideros commersoni	3	702.6	97.1	7.7	1.1	13.6	1.9	48
106	Hipposideros diadem a	4	669.3	97.2	6.5	1	12.4	1.8	48
107	Hipposideros fulvus	2	222.6	97.7	2.2	1	3	1.3	48
108	Hipposideros halophyllus	2	3	97	3	1.1	3	1.9	49
109	Hipposideros lankadiva	3	682.1	96.4	8.8	1.2	16.7	2.4	49
110	Hipposideros larvatus	3	389.8	97.8	3.2	0.8	5.7	1.4	49
111	Hipposideros lekaguli	2	545.8	96.8	9.3	1.7	8.6	1.5	49
112	Hipp. m. maggietaylorae §)	1	598.2	97.8	5.2	0.8	8.6	1.4	49
113	Hipp. m. erroris §)	3	423.3	97.2	5.4	1.2	6.7	1.5	49
114	Hipposideros ridleyi	3	253	97.8	1.8	0.7	3.9	1.5	49
115	Hipposideros speoris	2	268	97.8	2.7	1	3.4	1.2	49
116	Hipposideros turpis	3	562.1	97.2	5.9	1	10.2	1.8	49
117	Aselliscus stoliczkanus	3	140.2	96.8	2	1.4	2.6	1.8	49
118	Aselliscus tricuspidatus	3	125.8	97.3	1.2	1	2.3	1.8	49
119	Rhinonycteris aurantius	3	234.3	97.9	1.6	0.7	3.5	1.5	49
120	Triaenops persicus	3	257.2	98.3	1.3	0.5	3	1.2	49
121	Noctilio albiventris	3	561.9	97.5	5.2	0.9	9.2	1.6	49
122	Noctilio leporinus	3	1105.4	96.8	18.3	1.6	18.3	1.6	49
123	Pteronotus gymnonotus	3	323.1	97.6	1.9	0.6	6	1.8	49
124	Pteronotus personatus	3	216	98.1	1.5	0.7	2.6	1.2	49
125	Pteronotus parnelli	3	513.9	98	4.8	0.9	5.5	1	49
126	Mormoops megalophylla	3	365.3	98.1	2.7	0.7	4.6	1.2	49
127	Micronycteris megalotis	3	258.8	97.8	2.1	0.8	3.6	1.4	49
128	Micronycteris minuta	1	269.9	97.8	1.9	0.7	4.3	1.6	49
129	Micronycteris schmidtorum	3	290.2	97.6	2.7	0.9	4.5	1.5	49
130	Micronycteris brachyotis	1	383.4	97.4	2.1	0.5	8.3	2.1	49
131	Macrophyllum macrophyllum	3	301.3	97.3	3.1	1	5.4	1.8	49
132	Tonatia bidens	3	745.2	98	4.9	0.6	10.5	1.4	49
133	Tonatia schulzi	1	475.3	96.5	6.2	1.3	10.8	2.2	49
134	Tonatia sylvicola	1	713.4	97.8	3.7	0.5	12.6	1.7	49
135	Mimon crenulatum	2	307.3	97.7	2.4	0.7	5	1.6	49
136	Phyllostomus discolor	3	1031	98	7.3	0.7	13.8	1.3	49
137	Phyllostomus elongatus	3	831.7	97.4	7	0.8	15.5	1.8	49
138	Phyllostomus hastatus	3	1438.5	98.2	11.4	0.8	14.4	1	49
139	Phylloderma stenops	2	1267.8	98.2	8.2	0.6	15.5	1.2	49
140	Trachops cirrhosus	2	949.2	98	7	0.7	11.9	1.2	49
141	Vampyrum spectrum	2	2449.5	98.1	23	0.9	24.7	1	49
142	Glossophaga longirostris	1	3	98.7	3	0.5	3	0.8	50
143	Glossophaga soricina	3	374.8	98.8	1.9	0.5	2.6	0.7	50
144	Monophyllus plethodon	2	417.4	97.2	5.7	1.3	6.5	1.5	50
145	Leptonycteris curasoae	1	575.9	97.8	7.4	1.3	5.5	0.9	50
146	Leptonycteris nivalis	3	550.1	97.3	6.7	1.2	8.8	1.5	50
147	Lonchophylla mordax	1	410	98.3	2.5	0.6	4.5	1.1	50
148	Lonchophylla thomasi	1	316.3	97.3	3	0.9	6	1.8	50
149	Lionycteris spurrelli	3	334.7	98.5	1.5	0.5	3.6	1	50
150	Anoura caudifer	3	382.5	97.8	3.2	0.8	5.2	1.3	50
151	Anoura geoffroyi	3	558.4	98.7	2.8	0.5	4.4	0.8	50
152	Choeroniscus minor		367.9	98	2.6	0.7	5	1.3	50
153	Carollia castanea	5	424.9	97.4	3.6	0.8	7.8	1.8	50
154	Carollia perspicillata	3	517	98.1	3.5	0.7	6.4	1.2	50
155	Rhinophylla pumilio	3	334.2	97.3	3.8	1.1	5.6	1.6	50
156	Sturnira lilium	3	584	97.9	5	0.8	7.5	1.3	50
157	Sturnira ludovici	2	630.8	96.7	9.9	1.5	11.8	1.8	50
158	Sturn ira tildae	3	661.8	97.8	6.8	1	8.1	1.2	50
159	Uroderma bilobatum	3	580.1	98.2	3.8	0.6	6.8	1.2	50
160	Vampyrops brachycephalus	2	554.1	98.5	3.3	0.6	5.3	0.9	50
161	Vampyrops helleri	3	492.7	98.3	3.5	0.7	4.8	1	50
162	Vampyrops infuscus	1	1045.2	97.6	11.1	1	15.1	1.4	50
163	Vampyrops lineatus	3	692.9	96.9	9.2	1.3	13.1	1.8	50
164	Vampyrops vittatus	2	1115.8	98.4	6.9	0.6	11.4	1	50
165	Vampyrodes caraccioloi	1	888	97.1	6.7	0.7	19.4	2.1	50
166	Vampyressa pusilla	2	359.9	98.6	1.5	0.4	3.5	1	50
167	Chiroderma salvini	4	770.1	98	5.7	0.7	9.9	1.3	50
168	Chiroderma trinitatum	2	507.7	98	3.8	0.7	6.8	1.3	50
169	Chiroderma villosum	3	666.1	97.7	4.9	0.7	10.5	1.5	50
170	Chiroderma villosum ssp.		788.4	97.8	5.6	0.7	12	1.5	50
171	Ectophylla macconnelli	2	327.1	98.5	1.8	0.5	3.2	1	50
172	Artibeus cinereus	3	443.5	98.4	2.9	0.6	4.4	1	50
173	Artibeus concolor	2	592.8	97	6.9	1.1	11.3	1.8	50
174	Artibeus jamaicensis	3	962.5	98.1	8.7	0.9	9.5	1	50
175	Artibeus lituratus	4	1161.9	97.6	12.9	1.1	15.4	1.3	50
176	Enchisthenes harti	4	478.7	97	6.2	1.3	8.4	1.7	50
177	Ardops nichollsi	3	526.3	96.5	6.7	1.2	12.4	2.3	50
178	Sphaeronycteris toxophyllum	1	496.1	98.1	3.4	0.7	6.3	1.2	50
179	Brachyphylla cavernarum	4	1129.5	97.8	14.8	1.3	10.2	0.9	50
180	Desmodus rotundus	3	3	97.9	3	0.9	3	1.2	51
181	Diphylla ecaudata	4	758.1	98.4	5.2	0.7	6.9	0.9	51
182	Natalus tumidirostris	3	233.4	98.7	1.2	0.5	1.9	0.8	51
183	Furipterus horrens	5	120	97.9	0.6	0.5	1.9	1.6	51
184	Myotis adversus	2	238.3	97.2	3.7	1.5	3.2	1.3	51
185	Myotis albescens	3	119.6	98.4	0.8	0.6	1.2	1	51
186	Myotis altarium	3	226.1	97.6	2.5	1.1	3.1	1.3	51
187	Myotis annectans	2	207.5	97.3	1.7	0.8	4.1	1.9	51
188	Myotis bechsteini	1	248.9	97.3	2.8	1.1	4.2	1.6	51
189	Myotis bocagei	3	179.2	97.7	1.5	0.8	2.7	1.5	51
190	Myotis dasycneme	1	291	97.3	2.8	0.9	5.4	1.8	51
191	Myotis montivagus	3	157.8	96.2	2.4	1.4	3.9	2.4	51
192	Myotis myotis	3	456.1	97.4	3.4	0.7	8.6	1.8	51
193	Myotis nattereri	1	208.3	98.1	1.8	0.9	2.2	1.1	51
194	Myotis nigricans	3	129.1	98.3	0.7	0.5	1.5	1.1	51
195	Myotis nigricans ssp.	3	147	97.6	1.3	0.8	2.3	1.5	51
196	Myotis siligorensis	3	96.6	97.2	1	1	1.8	1.8	51
197	Pipistrellus babu	3	90.6	96.8	1.1	1.2	1.9	2	51
198	Pipistrellus ceylonicus	3	168.6	96	2.4	1.3	4.7	2.7	51
199	Pipistrellus circumdatus	3	214	96.4	2.8	1.3	5.2	2.3	51
200	Pipistrellus crassulus	3	125.2	98.3	0.6	0.4	1.7	1.3	51
201	Pipistrellus imbricatus	2	129.2	97.7	1	0.7	2.1	1.6	51
202	Pipistrellus javanicus	3	111.5	97	1.4	1.2	2.1	1.8	51
203	Pipistrellus mimus	3	88.1	97.1	0.8	0.9	1.9	2	51
204	Pipistrellus nanus	3	94.5	97.9	0.6	0.6	1.4	1.4	51
205	Pipistrellus papuanus §)	2	106.4	97.6	1	0.9	1.7	1.5	51
206	Pipistrellus pulveratus	3	133.7	96.9	1.4	1	2.9	2.1	51
207	Pipistrellus subflavus	2	117.2	97.1	1.3	1.1	2.2	1.8	51
208	Scotozous dormeri	3	133.4	96.7	1.4	1	3.2	2.3	51
209	Nyctalus noctula	3	338.3	96.3	4.9	1.4	8.1	2.3	51
210	Nyctalus stenopterus	2	228.9	97.2	1.7	0.7	5	2.1	51
211	Glischropus tylopus	3	94.1	97.4	0.7	0.7	1.8	1.9	51
212	Eptesicus brasiliensis	3	189	97.9	1.6	0.8	2.4	1.3	51
213	Eptesicus br. melanopterus	3	183.3	97.4	1.8	1	3.1	1.7	51
214	Eptesicus flavescens	2	179.5	97.9	1.2	0.7	2.7	1.5	51
215	Eptesicus fuscus	1	224.6	97.8	1.7	0.7	3.4	1.5	51
216	Eptesicus pumilus	2	115.2	97.8	0.6	0.5	2	1.7	51
217	Eptesicus s. andersoni	3	320.9	96.6	4.4	1.3	6.8	2	51
218	Ia io	1	719.3	97.9	6.1	0.8	9.1	1.2	51
219	Tylonyeteris paehypus	4	3	97.8	3	0.5	3	1.8	52
220	Tylonyeteris robustula	3	108.5	97.7	0.8	0.7	1.8	1.6	52
221	Hesperoptenus blanfordi	3	148	97	1.4	0.9	3.1	2	52
222	Glaueonyeteris humeralis	3	136.4	98.1	1	0.7	1.6	1.2	52
223	Glaueonyeteris poensis	1	194.4	98.2	1.2	0.6	2.2	1.1	52
224	Chalinolobus gouldi	2	224.8	97	2.1	0.9	4.8	2.1	52
225	Chalinolobus morio	2	174	97.9	0.9	0.5	2.7	1.5	52
226	Seotorepens sanborni	1	149.1	97.7	0.8	0.6	2.6	1.7	52
227	Rhogeessa parvula	4	106	98.1	0.6	0.5	1.5	1.4	52
228	Seotomanes ornatus	2	358.7	96.8	5.1	1.4	6.9	1.9	52
229	Seotomanes sp.?	3	315.8	96.8	5.3	1.6	5.2	1.6	52
230	Seotophilus ding ani	3	412.2	97.7	4.1	1	5.5	1.3	52
231	Seotophilus heathi	3	444.8	96.8	6.7	1.5	7.9	1.7	52
232	Seotophilus kuhli	3	320.6	97.4	3.8	1.2	4.7	1.4	52
233	Lasiurus borealis	1	161.4	98.3	0.5	0.3	2.2	1.3	52
234	Miniopterus australis	2	194	98.5	0.7	0.4	2.2	1.1	52
235	Miniopterus haradei	3	208.6	96.9	2.7	1.3	3.9	1.8	52
236	Miniopterus inflatus	3	307.8	98.1	2.3	0.7	3.6	1.1	52
237	Miniopterus magnater	3	305.7	97.8	2.2	0.7	4.8	1.5	52
238	Miniopterus medius	3	250.3	97.9	1.9	0.7	3.6	1.4	52
239	Miniopterus pusillus	3	204.7	98.2	1.2	0.6	2.6	1.2	52
240	M. sehreibersi arenarius	3	229.4	98.2	1.6	0.7	2.6	1.1	52
241	Miniopterus s. blepotis	2	291.6	97.8	2.3	0.8	4.4	1.5	52
242	Miniopterus tristis	3	313.3	97.5	3.3	1	4.9	1.5	52
243	Murina eyclotis eyclotis	2	235.8	98.1	1.5	0.6	3.1	1.3	52
244	Murina e. peninsularis	2	265.6	97.9	1.7	0.6	3.9	1.4	52
245	Murina huttoni rubella	3	243	97.6	2	0.8	3.9	1.6	52
246	Murina tubinaris	2	205.1	97.9	1.4	0.7	2.9	1.4	52
247	Harpioeephalus harpia	1	417.7	97.9	3.9	0.9	5	1.2	52
248	Kerivoula papillosa		295.1	98.6	1.6	0.5	2.5	0.8	52
249	Kerivoula pellucida		192.1	98	0.7	0.4	2.2	1.6	52
250	Kerivoula phalaena		110.3	98.6	0.5	0.5	1.1	1	52
251	Phoniseus atrox		178.9	98.6	0.7	0.4	1.9	1.1	52
252	Nyetophilus geoffroyi	2	156.9	97.3	1.7	1	2.7	1.7	52
253	Nyetophilus timoriensis	2	240.6	98.1	1.1	0.5	3.4	1.4	52
254	Tadarida aegyptiaca	3	3	97.4	3	1.2	3	1.3	53
255	Tadarida condylura	3	430.7	97.6	4.5	1	6	1.4	53
256	Tadarida mops	3	447.2	97.5	5.4	1.2	5.9	1.3	53
257	Tadarida niveiventer	3	407	97.6	5.4	1.3	4.6	1.1	53
258	Tadarida beccarii	2	219.1	97.4	1.8	0.8	4	1.8	53
259	Tadarida jobensis	1	339.6	97.7	3.4	1	4.5	1.3	53
260	Tadarida leucostigma	1	369.1	97.6	4.4	1.1	4.9	1.3	53
261	Tadarida plicata plicata	3	306.1	97.6	3.3	1	4.3	1.4	53
262	Tadarida pumila	3	228.9	97.6	2.8	1.2	2.9	1.2	53
263	Otomops martiensseni	3	714.9	98	8.6	1.2	6.3	0.9	53
264	Molossops abrasus	3	391.8	97.1	4.7	1.2	7	1.7	53
265	Molossops greenhalli	1	282.8	97.7	2	0.7	4.8	1.7	53
266	Molossops planirostris	2	174.2	97.6	1.3	0.7	3	1.7	53
267	Eumops auripendulus	3	575.7	97.4	7	1.2	8.1	1.4	53
268	Eumops glaucinus	2	618	98	3.9	0.6	8.4	1.3	53
269	Molossus ater	3	497.9	98.1	3.4	0.7	6.4	1.2	53
270	Molossus molossus	3	298.3	97.5	3.5	1.1	4.1	1.4	53
271	Molossus trinitatis	2	411.7	98	3.6	0.9	4.6	1.1	53
272	Cheiromeles torquatus	3	1275.4	97	14.6	1.1	24.7	1.9	53
