species_row	Species_Baron1996	vestibular_complex_mm3	nucleus_vestibularis_medialis_mm3	nucleus_vestibularis_inferior_mm3	nucleus_vestibularis_lateralis_mm3	nucleus_vestibularis_superior_mm3	source_pdf_page
103	Pipistrellus javanicus	0.961	0.369	0.288	0.177	0.127	101
104	Pipistrellus mimus	0.806	0.319	0.227	0.136	0.125	101
105	ScotoZQus dormeri	1.355	0.535	0.341	0.265	0.215	101
106	Nyctalus noctula	3.28	1.298	0.814	0.693	0.476	101
107	Glischropus tylopus	0.867	0.343	0.255	0.114	0.156	101
108	Eptesicus brasiliensis	1.549	0.585	0.424	0.291	0.248	101
109	Eptesicus br. melanopterus	1.532	0.58	0.433	0.271	0.248	101
110	Eptesicus flavescens	1.741	0.693	0.485	0.295	0.267	101
111	Eptesicus pumilus	1.016	0.395	0.278	0.184	0.158	101
112	Eptesicus serotinus andersoni	2.456	0.907	0.652	0.456	0.441	101
113	Ia io	5.216	2.011	1.514	0.906	0.785	101
114	Tylonycteris pachypus	0.758	0.302	0.202	0.145	0.109	101
115	Tylonycteris robustula	1.185	0.461	0.331	0.217	0.176	101
116	Hesperoptenus blanfordi	1.251	0.46	0.343	0.251	0.197	101
117	Glauconycteris humeralis	1.31	0.483	0.372	0.253	0.203	101
118	Chalinolobus gouldi	2.061	0.755	0.583	0.392	0.331	101
119	Scotorepens sanborni	1.193	0.433	0.338	0.226	0.195	101
120	Rhogeessa parvula	0.713	0.264	0.19	0.132	0.127	101
121	Scotomanes ornatus	3.536	1.2	0.993	0.647	0.696	101
122	Scotomanes sp.?	2.652	0.92	0.713	0.564	0.456	101
123	Scotophilus dinganii	3.188	1.199	0.934	0.534	0.522	101
124	Scotophilus heathi	3.767	1.443	1.072	0.571	0.681	101
125	Lasiurus borealis	1.459	0.545	0.453	0.242	0.219	101
126	Miniopterus australis	1.569	0.597	0.399	0.266	0.307	101
127	Miniopterus magnater	2.411	0.863	0.708	0.407	0.433	101
128	Miniopterus medius	2.343	0.895	0.605	0.434	0.409	101
129	Miniopterus tristis	2.468	0.89	0.657	0.488	0.433	101
130	Murina cyciotis cyciotis	1.824	0.748	0.419	0.34	0.317	102
131	Murina c. peninsularis	1.971	0.792	0.458	0.389	0.332	102
132	Murina huttoni rubella	2.203	0.862	0.509	0.428	0.403	102
133	Murina tubinaris	1.647	0.63	0.413	0.318	0.286	102
134	Harpiocephalus harpia	2.793	1.044	0.759	0.551	0.439	102
135	Kerivoula papillosa	2.256	0.867	0.665	0.325	0.399	102
136	Kerivoula pellucida	1.568	0.621	0.434	0.24	0.273	102
137	Kerivoula phalaena	1.194	0.456	0.356	0.2	0.183	102
138	Phoniscus atrox	1.329	0.51	0.363	0.259	0.198	102
139	Nyctophilus geoffroyi	1.324	0.508	0.391	0.22	0.205	102
140	Nyctophilus timoriensis	1.912	0.752	0.612	0.288	0.26	102
141	Tadarida condylura	3.31	1.235	0.9	0.553	0.622	102
142	Tadarida beccarii	1.896	0.735	0.493	0.309	0.359	102
143	Tadarida jobensis	2.521	0.948	0.629	0.49	0.454	102
144	Tadarida pumila	2.146	0.814	0.635	0.345	0.352	102
145	Otomops martiensseni	4.945	1.829	1.335	1.035	0.745	102
146	Molossops abrasus	2.966	1.214	0.753	0.543	0.456	102
147	Molossops planirostris	1.549	0.538	0.397	0.315	0.3	102
148	Molossus ater	3.679	1.49	0.922	0.697	0.57	102
149	Molossus molossus	2.37	0.932	0.596	0.442	0.4	102
150	Cheiromeles torquatus	6.848	2.861	1.979	1.178	0.829	102
