"search_id"	"sex_file"	"Sex_reported"	"habitat_type"	"Reference"	"Full_Reference"	"SpeciesName_Reported"	"CommonName_Reported"	"species_sci"	"Sleep_h_day"	"Sleep_h_day_drowsy_adj"	"REM_h"	"NREM_h"	"Sleep_cycle_min"	"REM_sleep_pct"	"Sleep_h_day_in_water"	"Sleep_h_day_on_land"	"REM_h_in_water"	"REM_h_on_land"	"NREM_h_in_water"	"NREM_h_on_land"	"USWS"	"BSWS"	"ASWS"	"N_reported"	"N_in_mean"	"Animals_sampled"	"EEG"	"Telemetry"	"Twenty_four_hour"	"Light"	"Adaptation"	"Diet_condition"	"Temperature"	"Restraint"	"Behavioural"	"Lab_condition_score"	"Summary_age_class"	"Monophasic_polyphasic"	"Error"	"Error_Note"	"Notes_Misc"	"Data_came_from"	"Post1988"
144	"Male"	"M"	"Land"	"Kilduff & Dube, 1976"	"Kilduff, T. S., & Dube, M. G. (1976). Sleep Characteristics Of The Cotton Rat (Sigmodon Hispidus) [Abstract].  Sleep Research, 5, 97."	"Sigmodon Hispidus"	"Cotton Rat"	"Sigmodon hispidus"	11.304	NA	1.15	10.133	14.5	10.17338995046	NA	NA	NA	NA	NA	NA	""	""	""	3	3	3	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	NA	"0"	9	"Unknown"	NA	""	""	"Previous Data Were From Elgar Et Al. (1988)and Matched Our Data; Sleep Cycle From Elgar Et Al.; Data Quality Score From Abstract; Age Is Unclear; Did Not Specify Adult Or Juv"	"Not from Zepelin"	"No"
251	"Male"	"M"	"Land"	"Tobler & Deboer, 2001"	"Tobler, I. & Deboer, T. (2001). Sleep In The Blind Mole Rat Spalax Ehrenbergi. Sleep, 24(2), 147-154."	"Spalax Ehrenbergi"	"Blind Mole Rat"	"Spalax ehrenbergi"	12.432	NA	1.896	10.536	NA	15.2509652509652	NA	NA	NA	NA	NA	NA	""	""	""	6	6	6	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	11	"Adult"	"Poly"	"SN"	""	"None"	"Not from Zepelin"	"Yes"
184	"Male"	"M"	"Land"	"Mistlberger Et Al., 1983"	"Mistlberger, R. E., Bergmann, B. M., Waldenar, W., & Rechtschaffen, A. (1983). 
Recovery Sleep Following Sleep Deprivation In Intact And Suprachiasmatic Nuclei-
Lesioned Rats. Sleep, 6, 217-233."	"Sprague-Dawley Rat"	"Sprague-Dawley Rat"	"Rattus norvegicus"	13.7	NA	NA	NA	13.1	NA	NA	NA	NA	NA	NA	NA	""	""	""	7	7	7	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"0"	10	"Adult"	"Poly"	""	""	"Current Data From Campbell & Tobler (1984); Original Paper Has No Control B/c Control Was Sleep Deprived; The Other 2 Groups Received Lesions And Were Sleep Deprived"	"Not from Zepelin"	"No"
7	"Male"	"M"	"Land"	"Alfoldi Et Al., 1990"	"Alfoldi, P., Tobler, I., & Borbely, A. A. (1990). Sleep Regulation In Rats During Early Development. American Journal Of Physiology - Regulatory, Integrative & Comparative Physiology, 258(3 Pt 2), R634-R644."	"Sprague-Dawley Rat SIVZ"	"Sprague-Dawley Rat SIVZ"	"Rattus norvegicus"	11.688	NA	2.736	8.952	NA	23.4086242299795	NA	NA	NA	NA	NA	NA	""	""	""	7	7	7	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	NA	"0"	9	"Juvenile"	NA	""	""	"Does Not Specify If Adult Or Juvenile"	"Not from Zepelin"	"Yes"
6	"Male"	"M"	"Land"	"Alfoldi Et Al., 1990"	"Alfoldi, P., Tobler, I., & Borbely, A. A. (1990). Sleep Regulation In Rats During Early Development. American Journal Of Physiology - Regulatory, Integrative & Comparative Physiology, 258(3 Pt 2), R634-R644."	"Sprague-Dawley Rat SIVZ"	"Sprague-Dawley Rat SIVZ"	"Rattus norvegicus"	11.592	NA	2.856	9.096	NA	24.6376811594203	NA	NA	NA	NA	NA	NA	""	""	""	7	7	7	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	NA	"0"	9	"Juvenile"	NA	""	""	"Does Not Specify If Adult Or Juvenile"	"Not from Zepelin"	"Yes"
5	"Male"	"M"	"Land"	"Alfoldi Et Al., 1990"	"Alfoldi, P., Tobler, I., & Borbely, A. A. (1990). Sleep Regulation In Rats During Early Development. American Journal Of Physiology - Regulatory, Integrative & Comparative Physiology, 258(3 Pt 2), R634-R644."	"Sprague-Dawley Rat SIVZ"	"Sprague-Dawley Rat SIVZ"	"Rattus norvegicus"	12.36	NA	3.624	8.736	NA	29.3203883495146	NA	NA	NA	NA	NA	NA	""	""	""	7	7	7	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	NA	"0"	9	"Infant"	NA	""	""	"Paper Reports 'biphasic'; Not Sure If It Means Polyphasic Sleep; Does Not Specify If Adult Or Juvenile"	"Not from Zepelin"	"Yes"
13	"Male"	"M"	"Land"	"Allison Et Al., 1977"	"Allison, T., Gerber, S. D., Breedlove, S. M., & Dryden, G. L. (1977). A Behavioral And Polygraphic Study Of Sleep In The Shrews Suncus Murinus, Blarina Brevicauda, And Cryptotis Parva. Behavioral Biology, 20(3), 354-366."	"Suncus Murinus"	"Musk Shrew"	"Suncus murinus"	12.8	3.1	2	10.8	11	15.625	NA	NA	NA	NA	NA	NA	""	""	""	7	7	7	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	11	"Unknown"	"Poly"	""	""	"IC: Based On Body Mass Reported, Most If Not All Of The Subjects Are Likely To Be Juveniles"	"Not from Zepelin"	"No"
12	"Male"	"M"	"Land"	"Allison Et Al., 1972"	"Allison, T., Van Twyver, H., & Goff, W. R.  (1972). Electrophysiological Studies Of The Echidna, Tachyglossus Aculeatus. I. Waking And Sleep. Archives Of Italian Biology, 110, 145-184."	"Tachyglossus Aculeatus"	"Echidna (spiny Anteater)"	"Tachyglossus aculeatus"	12.732	NA	0	12.732	27	0	NA	NA	NA	NA	NA	NA	""	""	""	2	2	2	"Yes"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	11	"Unknown"	NA	""	""	"Males Only; No REM; Age Is Unclear; Did Not Specify Adult Or Juv; Sleep Cycle Obtained From Campbell & Tobler, 1984"	"Not from Zepelin"	"No"
99	"Male"	"M"	"Land"	"Estep Et Al., 1978"	"Estep, D., Canney, E. L., Cochran, C. C., & Hunter, J. L. (1978). Components Of Activity And Sleep In Two Species Of Chipmunks: Tamias Striatus Amd Eutomias Dorsalis. Bulletin Of The Psychonomic Society, 12, 341-343."	"Tamias Striatus"	"Eastern Chipmunk"	"Tamias striatus"	16.872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	6	6	6	"No"	"No"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	9	"Adult"	"Poly"	""	""	"Only TST Available; Males Only"	"From Zepelin"	"No"
199	"Male"	"M"	"Land"	"Noser Et Al., 2003"	"Noser, R., Gygax, L., & Tobler, I. (2003). Sleep And Social Status In Captive Gelada Baboons (Theropithecus Gelada). Behavioural Brain Research, 147(1-2), 9-15."	"Theropithecus Gelada"	"Gelada Baboon"	"Theropithecus gelada"	12.473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"No"	"No"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	NA	"0"	5	"Juvenile"	NA	""	""	"1 Juvenile Male; Recording Time Is 16 Hours; Did Not Use Transitional Or Relaxed Sleep"	"Not from Zepelin"	"Yes"
197	"Male"	"M"	"Land"	"Noser Et Al., 2003"	"Noser, R., Gygax, L., & Tobler, I. (2003). Sleep And Social Status In Captive Gelada Baboons (Theropithecus Gelada). Behavioural Brain Research, 147(1-2), 9-15."	"Theropithecus Gelada"	"Gelada Baboon"	"Theropithecus gelada"	10.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	2	2	2	"No"	"No"	"2 (At least 12, but less than 24 hours)"	"Normal light/dark conditions"	"No"	"Normal"	"No"	NA	"0"	5	"Adult"	NA	""	""	"Only Used 2 Adults Males; 2 Subadults Were Present But Not Included; Only Used TST; Recording Time Was 16 Hours;  Did Not Use Transitional Or Relaxed Sleep"	"Not from Zepelin"	"Yes"
170	"Male"	"M"	"Marine"	"Lyamin Et Al., 2004"	"Lyamin, O. I., Mukhametov, L. M., & Siegel, J. M.  (2004). Relationship Between Sleep And Eye State In Cetaceans And Pinnipeds. Archives Of Italian Biology, 142, 557-568."	"Tursiops Truncatus"	"Bottlenose Dolphin"	"Tursiops truncatus"	12	NA	4.722	7.278	NA	39.35	NA	NA	NA	NA	NA	NA	""	"2.88"	"2.16"	1	1	1	"Yes"	"Telemetry / Radiotelemetry Used"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	13	"Unknown"	NA	""	""	"Sea Mammals; Combined LA And HA SWS; Sea Mammals; Age Is Unclear"	"Not from Zepelin"	"Yes"
187	"Male"	"M"	"Marine"	"Mukhametov Et Al., 1977"	"Mukhametov, L. M., Supin, A. Y., & Polyakova, I. G. (1977). Interhemispheric Asymmetry Of The Electroencephalographic Sleep Patterns In Dolphins. Brain Research, 134(3), 581-584."	"Tursiops Truncatus"	"Bottlenose Dolphin"	"Tursiops truncatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	1	1	1	"Yes"	"Telemetry / Radiotelemetry Used"	"3 (24 hour recording period)"	"Normal light/dark conditions"	"Yes"	"Normal"	"No"	"No"	"1"	13	"Adult"	NA	""	""	"In Russian; Sea Mammals; Got Info About Bilateral Desync. Bilateral Sync. And Unilateral Sync; 72 Hour Recording Period So Extrapolated To % Of 24 Hrs; Data Only Reported On One Male Dolphin"	"Not from Zepelin"	"No"
17	"Male"	"M"	"Land"	"Ambrosini Et Al., 1994"	"Ambrosini, M. V., Gambelunghe, C., Mariucci, G., Bruschelli, G., Adami, M., & Guiditta, A.  (1994). Sleep-wake Variables And EEG Power Spectra In Mongolian Gerbils And Wistar Rats. Physiology & Behavior, 56(5), 963-968."	"Wistar Rat"	"Wistar Rat"	"Rattus norvegicus"	3.05	NA	0.4667	2.4667	NA	15.3016393442623	NA	NA	NA	NA	NA	NA	""	""	""	25	25	25	"Yes"	"No"	"1 (Less than 12 hours)"	"Abnormal light/dark conditions"	"Yes"	"Normal"	"No"	"Yes"	"0"	6	"Adult & Juvenile"	NA	""	""	"Recording Time Is 6 Hours"	"Not from Zepelin"	"Yes"
