"species_row"	"source_pdf_page"	"species_printed"	"n"	"BL"	"HL"	"HW"	"HH"	"n2"	"CCL"
38	5	"Sphaerias blanfordi"	11	17	10.8	11.8	9	4	2.34
39	5	"Balionycteris maculata"	3	13.7	8.8	9.7	8	2	2.16
40	5	"Nyctimene albiventer"	2	17.2	10.9	11.5	9.2	2	2.59
41	5	"Nyctimene robinsoni"	8	20.4	12.8	12.6	10.5	2	3.2
42	5	"Nyctimene vizcaccia"	6	18.7	11.7	11.8	9.9	3	3.12
43	5	"Paranyctimene raptor"	7	16.5	10.4	10.9	8.9	3	2.47
44	5	"Eonycteris spelaea"	11	20.2	12.8	14	10.2	3	3.57
45	5	"Megaloglossus woermanni"	10	16.6	10.4	11.4	8	3	3.01
46	5	"Macroglossus minimus"	17	15	9.7	10.5	7.7	4	2.77
47	5	"Macroglossus sobrinus"	21	15.8	10.2	11.3	8.1	3	2.82
48	5	"Syconycteris a. australis §)"	1	15.2	9.7	10.6	8	1	2.64
49	5	"S. a. papuana + finschi §)"	16	15.4	10.2	10.7	8	3	2.82
50	5	"Melonycteris melanops"	9	20.4	14.3	13.2	9.9	3	4.73
51	5	"Nesonycteris woodfordi"	7	18.8	13	12.5	9.3	3	3.71
52	5	"Notopteris macdonaldi"	10	21.3	14.2	13.2	10.6	3	4.82
53	5	"Rhinopoma hardwickei"	11	12.1	6.8	8	5.3	3	0.78
54	5	"Rhinopoma microphyllum"	10	13.9	7.6	8.9	5.8	3	0.72
55	5	"Emballonura monticola"	15	9.5	5.5	6.6	5	3	0.76
56	5	"Emballonura raffrayana"	6	10	5.9	6.8	5.1	3	0.91
57	5	"Emballonura semicaudata"	14	9.8	5.7	6.9	5.2	3	0.82
58	5	"Coleura afra"	9	10.1	6.4	7.7	5.8	3	1.13
59	5	"Rhynchonycteris naso"	11	8.3	4.6	5.8	4.9	3	0.65
60	5	"Saccopteryx bilineata"	15	10.9	6.3	7.6	5.8	4	1.05
61	5	"Saccopteryx canescens"	1	8.8	4.9	6.2		1	0.58
62	5	"Saccopteryx leptura"	7	9.6	5.4	6.8	5	3	0.68
63	5	"Cormura brevirostris"	3	10.6	6.1	7.6	5.5	3	0.77
64	5	"Peropteryx macro tis"	17	9.5	5.4	6.6	5	3	0.6
65	5	"Peropteryx trinitatis"	6	8.7	5.3	6.3	4.8	3	0.75
66	5	"Taphozous australis"	3	14.5	7.3	9.9	6.9	2	1
67	5	"Taphozous hildegardeae"	7	12.8	7.6	9.7	7.4	3	0.83
68	5	"Taphozous longimanus"	2	13.6	7.3	9.1	6.8		
69	5	"Taphozous mauritianus"	2	13.1	7.5	9.9	7.4	2	0.85
70	5	"Taphozous melanopogon"	10	14.4	7.7	9.7	7.2	3	1.09
71	5	"Taphozous theobaldi"	8	16.1	8.1	10.6	7.4	3	1.29
72	5	"Taphozous saccolaimus"	13	16	8.5	10.8	7.6	3	0.92
73	5	"Taphozous saccolaimus ssp."	10	16.6	8.9	11.4	7.2		
74	5	"Cyttarops alecto"	1	9.2	5.5	6.2	5.3	1	0.72
75	6	"Craseonycteris thongiongyai"	5	7.2	4.4	5.5	3.9	3	0.67
76	6	"Nycteris arge"	2	12	7.6	8.3	6.7	2	2.2
77	6	"Nycteris grandis"	10	15.7	9.7	10.5	8.1	4	2.67
78	6	"Nycteris hispida"	1	10.3	6.9	7.8	6.2	1	1.95
79	6	"Nycteris javanica"	1	13.7	8.4	9		1	2.16
80	6	"Nycteris macrotis"	3	11.7	8	8.7	6.8	3	2.48
81	6	"Nycteris nan a"	4	9.7	6.4	6.9	5.7	3	1.35
82	6	"Nycteris thebaica"	3	11	7.5	8.1	6.4	3	2.15
83	6	"Nycteris tragata"	2	13.3	8.3	8.8	7	2	2.1
84	6	"Megaderma lyra"	16	17.9	9.8	12.1	9.3	4	2.43
85	6	"Megaderma spasma"	15	16.2	9	10.3	8.1	3	2.4
86	6	"Cardioderma cor"	11	14.3	9.4	10.6	8.1	3	1.71
87	6	"Laviafrons"	3	14.4	8.7	10.3	8	2	1.43
88	6	"Rhinolophus acuminatus"	10	12.5	7.5	8.4	5.7		
89	6	"Rhinolophus affinis"	18	13.1	7.4	8.7	6.2		
90	6	"Rhinolophus coelophyllus"	8	11.7	6.7	7.9	5.3		
91	6	"utus"	4	10.9	6.2	6.9	5	2	1.07
92	6	"Rhinolophus eloquells"	2	12.2	7.8	9	6.2	2	1.58
93	6	"Rhinolophus hildebrandti"		14.9	10.3	10.2	7.4		
94	6	"Rhinolophus landeri"	12	10.7	6.8	8	5.7	3	1.3
95	6	"Rhinolophus lepidus"	6	10.3	6.2	7	4.9	3	1.24
96	6	"Rhinolophus luctus"	3	17	9.6	10.6	6.9	3	1.67
97	6	"Rhinolophus macrotis"	7	10.8	6.4	7	5.1	2	1.13
98	6	"Rhinolophus malayan us"	8	10.8	6.2	7.1	4.8	2	1.2
99	6	"Rhinolophus megaphyllus"	7	11.8	6.4	7.9	5.6	2	1.03
100	6	"Rhinolophus rnegaphyllus ssp."	3	11.1	6.6	7.6	5.3	3	1.24
101	6	"Rhinolophus paradoxolophus"	1	12.4	7.5	8.1	5.1	1	1.26
102	6	"Rhinolophus pearsoni"	7	13.1	7.9	8.8	5.7	1	1.21
103	6	"Rhinolophus pusillus"	8	9.7	5.7	6.6	4.8	3	1.28
104	6	"Rhin%phus refulgens"	1	10	6	7.1	4.9		
105	6	"Rhinolophus robinsoni"	2	12	7	8.1	5.4		
106	6	"Rhinolophus stheno ssp."	7	11.2	6.8	7.6	5.4		
107	6	"Rhinolophus stheno stheno"	6	11.7	7.3	8.2	5.6		
108	6	"Rhinolophus thomasi"	8	11.3	6.6	7.6	5.2		
109	6	"Rhinolophus trifoliatus"	9	13.4	7.1	8.9	5.9	3	1.11
110	6	"Rhinolophus yunanensis"	2	14.4	8.8	9.8	6.4	2	1.51
111	6	"Hipposideros armiger"	10	18.5	10.2	11	8.4	3	2.24
112	6	"Hipposideros ater"	5	10.5	5.6	7.1	5.2	2	1.43
113	6	"Hipposideros a. aruensis"	2	10.4	5.9	6.8	5.1	2	1.33
114	6	"Hipposideros ater saevus"	4	10.4	5.7	6.6	5.1	3	1.61
115	6	"Hipposideros ater ssp."	1	11.2	6.4	7.5	5.6		
116	7	"Hipposideros bicolor gentilis"	6	11.3	6.4	7.4	5.5		
117	7	"Hipposideros bicolor atrox"	3	11.5	6.6	7.6	5.7		
118	7	"Hipposideros caffer"	14	11	6.8	8	5.9	3	1.52
119	7	"Hipposideros caffer ssp."	5	12.3	7	8.4	5.9		
120	7	"Hipposideros c. calcaratus §)"	7	14.2	7.7	8.6	6.5	3	2.49
121	7	"Hipposideros c. cupidus §)"	6	12.8	7.3	8	6.2	3	2.28
122	7	"Hipposideros cervinus"	17	11.1	6.2	7.1	5.3	3	1.76
123	7	"Hipposideros commersoni"	10	15.4	9.9	11.1	7.9	3	2.17
124	7	"Hipposideros diadema"	21	17.7	9.5	10.9	7.6	4	1.96
125	7	"Hipposideros fulvus"	6	11.3	6.5	7.5	5.5	2	1.5
126	7	"Hipposideros galeritus"	3	11.9	6.8	7.9	5.8		
127	7	"Hipposideros halophyllus"	2	9.8	5.6	6.1	4.5	2	1.46
128	7	"Hipposideros lankadiva"	9	18.2	9.8	11	7.5	3	2.37
129	7	"Hipposideros larvatus"	20	14.3	7.9	9	6.5	3	1.72
130	7	"Hipposideros lekaguli"	10	16.1	8.6	10.1	7.5	2	1.85
131	7	"Hipp. m. maggietaylorae §)"	1	16.5	9.3	10	7.6	1	2.92
132	7	"Hipp. m. erroris §)"	4	14.4	7.8	8.7	7.1	3	2.48
133	7	"Hipposideros ridleyi"	10	11.6	5.9	7.8	5.8	3	1.33
134	7	"Hipposideros ruber"	1	10	6.9	7.9	5.6		
135	7	"Hipposideros speoris"	6	12.5	7.1	8.1	5.8	2	1.57
136	7	"Hipposideros turpis"	4	16.3	9	9.9	7.6	3	1.93
137	7	"Aselliscus stoliczkanus"	3	9.1	5.2	5.9	4.7	3	1.11
138	7	"Aselliscus tricuspidatus"	10	9.5	5.5	5.9	4.7	3	1.38
139	7	"Triaenops persicus"	10	10.9	6.2	7	5.9	3	1.89
140	7	"Noctilio albiventris"	10	12.7	8.6	11.1	8.4	3	2.67
141	7	"Noctilio leporinus"	9	15.9	10.8	13.6	9.9	3	4.28
142	7	"Pteronotus gymnonotus"	6	11.2	6.1	8.4	7.1	3	2.03
143	7	"Pteronotus personatus"	17	9.6	5.5	7.3	6.2	3	1.79
144	7	"Pteronotus parnelli"	15	13.3	7.6	10.4	8	3	2.11
145	7	"Mormoops megalophylla"	9	9.8	5.2	8.6	7.7	3	1.34
146	7	"Micronycteris megalotis"	9	11.1	6.8	7.2	6.7	3	2.03
147	7	"Micronycteris minuta"	1	11.3	6.7	7.2	6.5	1	2
148	7	"Micronycteris schmidtorum"	10	11.5	6.9	7.6	7	3	2.34
149	7	"Micronycteris brachyotis"	1	12.9	7.2	8.3	7.2	1	2.68
150	7	"Macrophyllum macrophyllum"	10	11.2	7.1	7.8	6.7	3	2.54
151	7	"Tonatia bidens"	10	16.6	10.1	10.2	9.4	3	3.7
152	7	"Tonatia schulzi"	1	13.6	8.2	9.2	8.3	1	3.27
153	7	"Tonatia sylvicola"	1	15	10.2	10.4	9.4	1	3.52
154	7	"Mimon crenulatum"	2	12.5	7.4	8.1	6.7	2	2.23
155	8	"Phyllostomus discolor"	15	18.2	11.8	12	10	3	4.26
156	8	"Phyllostomus elongatus"	9	17.2	10.6	11	9.3	3	3.94
157	8	"Phyllostomus hastatus"	16	21	12.9	13.5	11.1	3	4.69
158	8	"Phylloderma stenops"	2	19.9	12.1	12.5	11.6	2	4.71
159	8	"Trachops cirrhosus"	2	17.8	11.2	11	10.4	2	3.84
160	8	"Vampyrum spectrum"	2	25.9	15.6	15.1	13.2	2	5.31
161	8	"Glossophaga longirostris"	2	13.5	8.2	8.6	7.2	1	2.41
162	8	"Glossophaga soricina"	19	12.8	7.8	8.4	7	3	2.34
163	8	"ophyllus plethodon"	2	14.4	8.6	9	6.6	2	3.4
164	8	"Leptonycteris curasoae"		16	9.3	9.5	7.4	1	3.56
165	8	"Leptonycteris nivalis"	4	15.6	9.6	9.6	7.6	3	3.91
166	8	"Lonchophylla mordax"	1	14.3	8.4	8.7	6.7	1	2.79
167	8	"Lonchophylla thomasi"	1	11.9	7.4	8.2	6.7	1	2.43
168	8	"Lionycteris spurrelli"	4	12.3	7.5	8	6.8	3	2.02
169	8	"Anoltra caudifer"	8	13.5	8.2	8.5	6.7	3	2.87
170	8	"Anoura geoffroyi"	12	15	9.5	9.7	7.7	3	3.15
171	8	"Choeroniscus minor"	1	12.8	7.3	8.4	6.9	1	2.58
172	8	"Carollia castanea"	9	13.2	8.2	8.9	7.7	5	2.31
173	8	"Carollia perspicillata"	25	14.4	8.8	9.5	8.1	3	2.74
174	8	"Rhinophylla pumilio"	10	12.2	7.6	8	7.2	3	2.57
175	8	"Sturn ira lilium"	29	14.6	9.3	10	8.5	3	3
176	8	"Sturnira ludovici"	4	15	9.5	10.4	8.6	2	3.11
177	8	"Sturn ira tildae"	7	15.3	9.8	10.6	8.7	3	3.4
178	8	"Uroderma bilobatum"	22	15.3	9.4	9.5	8.3	3	2.7
179	8	"Vampyrops brachycephalus"	4	14.3	9.6	9.4	8.6	2	2.85
180	8	"Vampyrops brachyceph. ssp."	2	14.8	9.9	9.8	8.5		
181	8	"Vampyrops helleri"	12	14.3	9.2	9	8	3	2.97
182	8	"Vampyrops infuscus"	1	19	11.8	11.9	10	1	4.03
183	8	"Vampyrops lineatus"	5	16.1	10.5	10.3	8.8	3	3.39
184	8	"Vampyrops vittatus"	2	18.7	12.3	12.2	10.3	2	3.81
185	8	"Vampyrodes caraccioloi"	1	17.3	11	11.1	9.7	1	3.51
186	8	"Vampyressa pusilla"	9	12.7	7.8	8.1	7.3	2	2.16
187	8	"Chiroderma salvini"	4	16.7	10.3	10.9	9.1	4	3.19
188	8	"Chiroderma trinitatum"	2	14.2	8.8	9.3	8.1	2	2.72
189	8	"Chiroderma villosum"	3	16.1	9.8	10.1	8.7	3	3.16
190	8	"Chiroderma villosum ssp."	1	17	10	10.8	9.2	1	2.89
191	8	"Ectophylla macconnelli"	5	11.9	7.7	7.8	6.9	2	2.19
192	8	"Artibeus cine reus"	18	13.6	8.7	8.8	7.6	3	2.4
193	8	"Artibeus cillereus toltecus"	3	13.9	9.1	9.1	8.1		
194	8	"Artibeus conc%r"	2	15.4	9.3	9.9	8.3	2	2.76
195	9	"Artibeus glaueus"	1	13.7	8.1	8.8	7.8		
196	9	"Artibeus jamaieensis"	16	17.7	11.6	11.7	9.8	3	3.58
197	9	"Artibeus lituratus"	23	19	12.4	12.6	10.4	4	3.94
198	9	"Artibeus phaeotis"	8	13.5	8.4	8.6	7.5		
199	9	"Enehisthelles harti"	8	13.8	8.7	9.2	8	4	2.58
200	9	"Ardops niehollsi"	3	14.5	8.8	9.4	8.7	3	2.9
201	9	"Sphaeronyeteris toxophyllum"	1	12.9	9.3	8.8	8.7	1	1.94
202	9	"Brachyphylla eavernarum"	6	19.1	12.5	12.6	10.1	5	4.63
203	9	"lodus rotundus"	25	16.8	11.9	11.7	10.4	3	3.99
204	9	"Diphylla eeaudata"	13	15.7	10.1	11.1	9.2	4	2.99
205	9	"Natalus tumidirostris"	10	10	6.6	8	6	3	2.23
206	9	"Furipterus horrells"	6	7.7	5	5.7	5.1	5	0.97
207	9	"Myotis adversus"	5	10.1	5.5	8	5.7	2	0.69
208	9	"Myotis albeseem'"	3	8.3	4.7	6.1	4.3	3	0.51
209	9	"Myotis altarium"	4	9.8	5.7	7.8	5.6	3	0.55
210	9	"Myotis anneetans"	2	10.3	6	7.8	5.1	2	0.69
211	9	"Myotis boeagei"	5	9.2	5.8	7.1	5.2	3	0.63
212	9	"Myotis fortidens"	7	8.1	4.8	6.5	4.7		
213	9	"Myotis hasselti"	1	9.6	5.9	7.2	5		
214	9	"Myotis horsfieldi"	5	9.6	5.8	7.1	5.2		
215	9	"Myotis lueifugus"	7	9	5	7.1	4.7		
216	9	"Myotis montivagus"	5	9.1	5.4	6.9	4.8	3	0.6
217	9	"Myotis murieola"	18	8.3	4.7	6.3	4.3		
218	9	"Myotis nigrieans"	12	8.4	5	6.3	4.4	3	0.52
219	9	"Myotis nigrieans ssp."	7	8.7	5	6.7	4.7	3	0.62
220	9	"Myotis riparius"	4	8.8	5.4	6.8	5		
221	9	"Myotis siligorensis"	7	7.6	4.4	5.8	4.2	3	0.53
222	9	"Myotis sp.?"	1	8.3	5.4	6.6	5		
223	9	"Pipistrellus babu"	4	7.8	4.1	5.9	3.9	3	0.44
224	9	"Pipistrellus eeylonieus"	8	9.6	5.1	7.1	4.7	3	0.43
225	9	"Pipistrellus cireumdatus"	10	10	5.8	7.8	5.4	3	0.54
226	9	"Pipistrellus eoromandra"	7	7.8	4.5	5.9	3.9		
227	9	"Pipistrellus erassulus"	4	8.6	4.7	6.9	4.1	3	0.63
228	9	"Pipistrellus imbrieatus"	15	8.5	4.8	6.4	4.5	2	0.57
229	9	"Pipistrellus javallieus"	3	7.9	4.7	6.2	4.3	3	0.37
230	9	"Pipistrellus kuhli"	1	8	5.1	6.9	4.5		
231	9	"Pipistrellus mimus"	10	7.6	4.3	5.7	3.7	3	0.35
232	10	"Janus"	17	7.3	4.1	5.8	4	3	0.46
233	10	"P. papuanliS + angulatus §)"	12	8	4.4	6.3	4.2	3	0.4
234	10	"Pipistrelius pulveratus"	6	8.8	5	6.6	4.4	3	0.52
235	10	"Pipistrelius subflavus"	2	8.3	4.6	6.5	4.4	2	0.35
236	10	"Scotozous dormeri"	10	9.1	4.9	6.8	4.2	3	0.47
237	10	"Nyctalus noctula"	7	11.5	5.9	9.3	6	3	0.55
238	10	"Nyctalus stenopterlls"	6	10.5	5.9	8.1	5	2	0.68
239	10	"Glischropus tylopus"	4	7.9	3.9	6.2	3.7	3	0.49
240	10	"Eptesicus brasiliensis"	12	10	5.5	7.3	4.9	3	0.52
241	10	"Eptesicus br. melanopterus"	4	9.9	5.4	7	4.7	3	0.53
242	10	"Eptesicus demissus"	1	10.4	5.9	8.2	5.2		
243	10	"Eptesicus flavescens"	2	8.4	4.9	7.1	5	2	0.48
244	10	"Eptesicus fuscus"	1	11	6.7	8.1	4.8	1	0.83
245	10	"Eptesicus gaumeri"	4	9.9	5.3	7.2	4.8		
246	10	"Eptesicus pachyotis"	3	9.3	5	6.7	4.4		
247	10	"Eptesicus pumilus"	4	8.3	4.5	6.2	4.6	2	0.51
248	10	"Eptesicus serotinus andersoni"	5	12.5	7.1	9.2	5.6	3	0.77
249	10	"fa io"	1	16.2	9.9	11.8	7.6	1	0.76
250	10	"Tylonycteris pachypus"	28	7.7	4.3	6.4	2.8	4	0.59
251	10	"Tylonycteris robustula"	25	8.5	4.7	7.2	3.3	3	0.43
252	10	"Hesperoptenus blanfordi"	10	8.8	4.8	7.1	4.3	3	0.33
253	10	"Glauco/Jycteris humeralis"	3	7.9	4.2	6.8	4.8	3	0.35
254	10	"Glauconycteris poensis"	1	9	4.8	7.7	5.6	1	0.4
255	10	"Chalinolobus gouldi"	1	9.8	4.5	7.7	5.7	1	0.42
256	10	"Chalinolobus morio"	5	8.3	4.3	7.2	5.3	2	0.37
257	10	"Scotorepens sanborni"	1	9.4	4.8	6.9	4.4	1	0.63
258	10	"Rhogeessa parvula"	8	8.3	4.5	5.7	4	4	0.59
259	10	"Rhogeessa tumida"	2	8.1	4	5.8	4		
260	10	"eS ornatus"	2	13.4	7.8	9.6	5.9	2	0.7
261	10	"Scotomanes sp.?"	3	11.5	6.8	9	6.1	3	0.66
262	10	"Scotophilus dinganii"	13	11.2	7.1	9.3	6.6	3	0.67
263	10	"Scotophilus heathi"	10	12.9	7.1	9.5	6.9	3	0.58
264	10	"Scotophilus kuhli"	22	11.8	6.7	8.7	6.1	3	0.61
265	10	"Lasiurus borealis"	1	8.7	4	6.7	5.1	1	0.23
266	10	"Miniopterus australis"	6	9.3	4.8	7.2	5.9	2	1.13
267	10	"Miniopterus haradai"	8	9.4	5.4	7.3	5.9	3	1.14
268	10	"Miniopterus in flatus"	8	9.9	6.1	8.2	6.6	3	1.1
269	10	"Miniopterus magnater"	14	10.8	6.2	8.2	6.4	3	1.2
270	10	"Miniopterus medius."	10	9.9	5.7	7.6	6.2	3	0.99
271	10	"Miniopterus pusillus"	10	9.5	5.4	7.2	5.7	3	1.35
272	10	"Miniopterus s. arenarius"	12	9	5.6	7.5	6	3	1.19
273	10	"Miniopterus s. blepotis"	7	10.6	5.6	8.1	6.7	2	0.91
274	10	"Miniopterus tristis"	8	11.2	6.6	8.3	6.6	3	1.31
275	11	"Mlirina cyclotis cyclotis"	2	10.5	6.3	7.4	6	2	1.13
276	11	"Mllrina c. peninsularis"	2	11.2	6.3	7.6	6.3	2	1.19
277	11	"Murina huttoni rubella"	4	11	6.3	7.6	5.9	3	1.35
278	11	"Murina tubinaris"	2	9.8	5.7	7.4	6	2	1.11
279	11	"Jiocephaius harpia"		13.6	7.7	9.1	7.4	1	1.37
280	11	"Kerivou/a papillosa"	1	10.8	6.9	8.4	6.5	1	2.16
281	11	"Kerivou/a pel/ucida"	1	9.3	6.5	6.6	6	1	2.4
282	11	"Kerivoula phalaena"	1	7.9	4.7	5.6	4.9	1	1.18
283	11	"Phoniscus atrox"	1	8.9	6.9	7.1	5.7	1	2.18
284	11	"Nyctophilus timoriensis"	2	11	6.1	7.9	5.7	2	0.9
285	11	"Tadarida aegyptiaca"	6	12.9	7	9.6	6.2	3	1.01
286	11	"Tadarida cOlldylura"	9	10.9	7.3	10.5	6.6	3	0.89
287	11	"Tadarida mops"	10	13.5	7.1	10.4	6.7	3	0.98
288	11	"Tadarida niveiventer"	8	11.1	7.1	10	6.2	3	0.7
289	11	"Tadarida beccarii"	6	11.1	5.7	7.9	4.7	2	0.77
290	11	"Tadarida jobellsis"	1	12.6	7	9.1	6.1	1	0.95
291	11	"Tadarida plicata plicata"	3	12.1	6.8	8.9	5.9	3	0.85
292	11	"Tadarida pumila"	18	9.2	5.8	8.2	5.2	3	0.56
293	11	"Tadarida pumila ssp."	4	10.9	5.9	8.3	5.3		
294	11	"Otomops martiensseni"	14	15.5	8.7	11.5	7.8	3	1.08
295	11	"Molossops abrasHs"	4	13	7	9.9	6.1	3	0.74
296	11	"Molossops greenhalli"		11.9	6.2	7.9	5.5	1	0.7
297	11	"M%ssops planirostris"	2	9.5	4.8	7.2	4.8	2	0.52
298	11	"Eumops au ripendulus"	6	15.3	7.7	10.6	7.1	3	0.78
299	11	"Eumops glaucinus"	3	15.3	8	10.9	7.1	2	1.01
300	11	"Molossus ater"	18	14	7.8	10.4	6.5	3	0.89
301	11	"Molossus molossus"	24	11.4	6.4	8.8	5.6	3	0.61
302	11	"Molossus trinitatis"	2	13.7	7.3	9.3	6.3	2	0.8
303	11	"Cheiromeles torquatus"	8	18.9	11.1	14.9	8.6	3	1.63
