source_row	animal_number	common_name	brain_part	stains_used	plane_of_section	age	section_thickness	total_number_of_sections	total_number_of_slides	embedding_medium	slide_size	number_of_sections_stained
59	56-49	Chimpanzee		Thionin	Coronal		50µ	1750	139	Celloidin	3 1/4 x4	Every 10th
60	53-31	Chimpanzee		Thionin	Coronal		40µ	1422	88	Celloidin	3 1/4x4	
61	63-397	Chimpanzee		Thionin + Mahon modification	Coronal		40µ	2310	920	Celloidin	3 1/4x4	Every 5th + 6th
62	65-103	Chinchilla		Thioni + Heidenhain	Coronal		30µ	1000	16	Celloidin	3 1/4x4	All, every other
63	58-360	Coati mundi		Thionin + Weil	coronal		30µ	1588	156	Celloidin	3 1/4x4 (123) + 2x3 (33)	All, every other + 10s
64	59-220 L (R on record# 687)	Coati mundi		Thionin + Weil	Sagittal		30µ	538	42	Celloidin	3 1/4x4 (10) + 2x3 (32)	All, every other + 10s
65	63-207, infant	Coati mundi		thionin	coronal		20µ	1351	46	Celloidin	3 1/4 x4	1351,all
66	63-271	Colugo, Flying lemur		Thionin + Weil	Coronal		2f5µ	1500	40	Celloidin	3 1/4x4	1500,all
67	62-301	Coyote		Thionin + Weil	Coronal		30µ	2450	240: 184Thionin, 56 Weil	Celloidin	3 1/4 x 4	1780, Thionin: every other, Weil: every 5th to 613, then every 10th
68	67-81	Deer, white tailed		Thionin + Heidenhain	Coronal		30µ	3370	682	Celloidin	3 1/4x4	3370, all
69	58-168	Dog, domestic		Thionin + a few test-sections for Heidenhain	Horizontal		30µ	988	131	Celloidin	3 1/4x4	Every other less 10s
70	59-325	Dog, domestic		Thionin + Weil	Coronal		35µ	1600	190	Celloidin	3 1/4x4	1600,all
71	59-326	Dog, domestic		Thionin + Weil	Coronal		35µ	1720	349	Celloidin	3 1/4 x 4	1720, all
72	66-165	Dog, domestic		Thionin + Heidenhain	Coronal		30µ	2935	496	Celloidin	3 1/4x4	2935, all
73	No number (Domestic Dog)	Dog, domestic		Thionin + Weil	Coronal		30µ	2052	126	Celloidin	3 1/4x4	820, every 5th + 6th
74	61-614	Doormouse		Thionin	Coronal		25µ	758	19	Celloidin	3 1/4 x 4	758,all
75	62-455	Echidna		Thionin	Coronal		25µ	1680	60	Celloidin	3 1/4x4	Evens
76	64-176	Echidna		Mahon modification	Horizontal		30µ	573	95	Celloidin	3 1/4x4	396
77	64-177	Echidna		Thionin + Mahon	Coronal		25µ	1454	79	Celloidin	3 1/4x4	510
78	69-535	Echidna		Thionin + Heidenhain	Sagittal		30µ	599	47	Celloidin	3 1/4x4	212
79	64-232 Exp.	Echidna		Thionin	Coronal		25µ	1290	55	Celloidin	3 1/4x4	543
80	64-233 Exp.	Echidna		Thionin	coronal		25µ	1410	66	Celloidin	3 1/4x4	645
81	64-230 Exp.	Echidna		Thionin	Coronal		25µ	1320	55	Celloidin	3 1/4x4	600
82	64-231 Exp.	Echidna		Thionin	Horizontal		25µ	789	95	Celloidin	3 1/4x4	789, all
83	58-323	Ferret		Thionin + Weil	Coronal		25µ	1399	44	Celloidin	3 1/4 x 4	1399, all
84	63-388	Fennec		Thionin + Weil	coronal		25µ	1796	81	Celloidin	3 1/4 x 4	1796, all
85	63-392	Fox, red		Thionin + Weil	Coronal		30µ	196	191	Celloidin	3 1/4 x 4	196, all
86	68-165R	Fox, red		Thionin + Heidenhain	Horizontal		30µ	873	104	Celloidin	3 1/4 x 4	873, all
87	68-165L	Fox, red		Thionin + Heidenhain	Sagittal		30µ	572	50	Celloidin	3 1/4 x 4	572, all
88	61-686	Galago, lesser		Thionin	coronal		25µ	922	29	Celloidin	3 1/4 x 4	922, all
89	61-697	Galago, lesser		Thionin	Sagittal		25µ	728	24	Celloidin	3 1/4 x 4	728, all
90	62-172	Galago, greater		Thionin + Weil	Coronal		25µ	1246	61	Celloidin	3 1/4 x 4	1246, all
91	60-353	Gerbil		Thionin + Heidenhain	Sagittal		25µ	525	10	Celloidin	3 1/4 x 4	525, all
92	60-354	Gerbil		Thionin	Coronal		25µ	734	15	Celloidin	3 1/4 x 4	734, all
93	60-142	Gibbon		Thionin + Weil	Coronal		30µ	1841	367	Celloidin	3 1/4 x 4	1841, all
94	59-55	Goat, domestic		Thionin + Heidenhain	Coronal		30µ	2344	357	Celloidin	3 1/4 x 4	2344, all
95	59-163	Gopher, pocket		Thionin + Mahon	Coronal		25µ	879	24	Celloidin	3 1/4 x 4	879, all
96	No number (Pocket gopher)	Gopher, pocker		Thionin + Weil	Coronal		25µ	694	32	Celloidin	3 1/4 x 4	694, all
97	67-152	Ground squirrel		Thionin + Heidenhain	Coronal		20µ	938	26	Celloidin	3 1/4 x 4	938, all
98	67-167	Ground Squirrel		Thionin	Sagittal		20µ	643	18	Celloidin	3 1/4x4	Evens, 322
99	67-132	Ground squirrel		Thionin + Heidenhain	Coronal		20µ	730	19	Celloidin	3 1/4 x 4	730, all
100	67-133	Ground squirrel		Thionin + Heidenhain	Sagittal		20µ	745	24	Celloidin	3 1/4 x 4	745, all
101	67-166	Ground squirrel		Thionin + Heidenhain	Horizontal		20µ	456	24	Celloidin	3 1/4 x 4	456, all
102	69-11	Grison		Thionin + Heidenhain	Coronal		30µ	1200	96	Celloidin	3 1/4 x 4	1200, all
103	63-490	Guenon		Thionin + Weil	Coronal		30µ	1920	325	Celloidin	3 1/4 x 4	1920, all
104	71-39	Gull, laughing		Thionin + Heidenhain	Sagittal		30µ	510	16	Celloidin	3 1/4 x 4	510, all
105	71-40	Gull, laughing		Thionin + Heidenhain	Coronal		30µ	580	16	Celloidin	3 1/4 x 4	580, all
106	60-1	Guinea pig		Thionin + Mahon	Coronal		20M	1579	45 (3 1/4x4) + 11 (2x3)	Celloidin	3 1/4 x 4	1579, all
107	60-88	Guinea pig		Thionin + Weil	Horizontal		20µ	369	16	Celloidin	3 1/4 x 4	180, Thionin 10s, Weil odds + 11s
108	60-89	Guinea pig		Thionin + Weil	Sagittal		20µ	499	13	Celloidin	3 1/4 x 4	318, Thionin 10s, Weil odds + 11s
109	61-440	Guinea pig		Thionin	Coronal		10µ	1790	10	Paraffin	3 1/4 x 4	358, every 5th
110	61-608	Guinea pig		Thionin + Heidenhain	Coronal		25µ	785	26	Celloidin	2 x 3	785, all
111	55-68	Guinea pig		Thionin + Weil	Coronal		25µ	720	31	Celloidin	2 x 3	720, Thionin evens + 10s, Weil odds
112	55-69	Guinea pig		Thionin + Weil	Sagittal		25µ	600	47	Celloidin	2 x 3	600, Thionin evens + 10s, Weil odds
113	62-620	Guinea pig		Thionin + Weil	Coronal		20µ	1490	46	Celloidin	3 1/4 x 4	1490, Thionin evens + 10s, Weil odds
114	61-559	Hedgehog		Thionin + Weil	Coronal		25µ	1237	33	Celloidin	3 1/4 x 4	1237, all
115	61-560	Hedgehog		Thionin + Mahon modication	Sagittal		25µ	700	25	Celloidin	31/4 x 4	700,all
116	62-634	Hyrax		Thionin + Weil	Coronal		25µ	1902	111	Celloidin	3 1/4 x 4	1902, all
117	62-635	Hyrax		Thionin + Heidenhain	Coronal		30µ	1275	64	Celloidin	3 1/4 x 4	1275, all
118	55-125	Human		Thionin	Coronal		30µ	248	63: 37 3 1/x4 + 26 2x3	Celloidin	3 1/4 x 4 + 2 x 3	Evens less 10s (224) + 10s (48)
119	57-50	Human		Thionin	Coronal		30µ	260	15	Celloidin	3 1/4 x 4	Evens
120	57-51	Human		Thionin	Coronal		30µ	258	15	Celloidin	3 1/4 x 4	Evens
121	Walker	Human		Thionin	Coronal		30µ	380	6	Celloidin	3 1/4 x 4	Every 20th
122	69-313	Human		Thionin + Heidenhain	Coronal		35µ	3201	633	Celloidin	3 1/4 x 4	10s Thionin + 11th Heidenhain
123	1114	Human in 12 blocks		Thionin	Coronal		?	1150		Celloidin	3 1/4 x 4	
124	58-160	Human		Thionin	Sagittal		30µ	696	80	Celloidin	3 1/4 x 4	Evens less 10s
125	No number (Human)	Human		Weil	Coronal		100µ	760	300	Celloidin	3 1/4 x 4	4s to 744, 5s to 755, 6s to 516, 10s to 760
126	64-352	Hyena		Thionin + Weil	Coronal		30µ	3380	486	Celloidin	3 1/4 x 4	2254, (3-6-9 Thionin, 1-4-7 Heidenhain)
127	78-46M	Iguana		Thionin	Coronal		15µ	617	22	Paraffin	2 x 3	617, all
128	62-167	Kangaroo		Thionin + Weil	Coronal		25µ	2610	232	Celloidin	3 1/4 x 4	2610, all
129	58-365	Kinkajou		Thionin + Weil	Coronal		25µ	1806	144 3 1/4x4, 39 2x3	Celloidin	3 1/4 x 4	1806, all
130	62-179	Langur		Thionin + Heidenhain	Coronal		30µ	2261	118	Celloidin	3 1/4 x 4	678, every 5th Heidenhain, every 6th Thionin
131	64-69	Lemur		Thionin + Heidenhain	Coronal		30µ	1460	94	Celloidin	3 1/4 x 4	1460, eves Thionin, odds Heidenhain
132	63-261	Leopard		Thionin + Heidenhain	Coronal		35µ	3131	387	Celloidin	3 1/4 x 4	1878, every 5th + 6th
133	62-79	Lion, African		Thionin + Weil	Coronal		40µ	2581	341	Celloidin	3 1/4 x 4	1032, every 5th Heidenhain, every 6th Thionin
134	62-566	Lion, African		Thionin + Mahon	Sagittal		40µ	1566	258	Celloidin	3 1/4 x 4	627
135	62-381	Lion, African		Thionin	Coronal		30µ	1860	90	Celloidin	3 1/4 x 4	930, every other one
136	60-206	Lion, mountain		Thionin + Weil	Coronal		35µ	2012	521	Celloidin	3 1/4 x 4	2012, all
137	65-121L	Lion, mountain		Thionin + Heidenhain	Horizontal		30µ	1340	278	Celloidin	3 1/4 x 4	1340, all
138	65-121R	Lion, mountain		Thionin + Heidenhain	Sagittal		30µ	890	292	Celloidin	3 1/4 x 4	890, all
139	67-269	Lizard, tegu		Thionin	Coronal		20µ	1400	30	Celloidin	3 1/4 x 4	1400, all
140	67-270	Lizard, tegu		Thionin	Sagittal		20µ	490	20	Celloidin	3 1/4 x 4	490, all
141	67-271	Lizard, tegu		Thionin	Horizontal		20µ	480	42	Celloidin	3 1/4 x 4	480, all
142	65-139	Llama		Thionin + Heidenhain	Coronal		30µ	3522	514	Celloidin	3 1/4 x 4	1760, 5-10-15... + 2-7-12... Thionin, every 10th HH
143	66-42L	Llama		Thionin + Heidenhain	sagittal		30µ	920	158	Celloidin	5 x 7	690, 1-5-9...Thionin, 3-7-11....HH
144	84-49	Manatee, Florida		Thionin + Heidenhain	Coronal		40µ	2484	1634	Celloidin	3 1/4 x 4	2484
145	83-74	Manatee, Florida	Spinal cord	Thionin + Heidenhain	Coronal		30µ	308	22	Frozen	10 2x3 + 12 1x3	154 Thionin, 48 Heidenhain
146	84-58	Manatee, Florida		Thionin + Heidenhain	Horizontal		40µ	1418	616	Celloidin	4 x 5	654
147	85-8R	Manatee, Florida		Thionin + Heidenhain	Coronal		40µ	950	322	Celloidin	4 x 5	478
148	85-21R	Manatee, Florida	Right cerebellum	Thionin + Heidenhain	Horizontal		40µ	726	146	Celloidin	3 1/4 x 4	726
149	85-21L	Manatee, Florida	Left cerebellum	Thionin + Heidenhain	Sagittal		40µ	642	162	Celloidin	3 1/4 x 4	642, all
150	86-124R	Manatee, Florida	Right forebrain	Thionin + Heidenhain	Horizontal		30µ	1650	574	Celloidin	3 1/4 x 4	1650, all
151	86-150R	Manatee, Florida	Right forebrain	Thionin + Heidenhain	Horizontal		40µ	1298	524	Celloidin	3 1/4 x 4	1298, all
152	86-150L	Manatee, Florida	Left forebrain	Thionin + Heidenhain	Sagittal		40µ	1604	620	Celloidin	3 1/4 x 4	1604, all
153	86-150 Cerebellum + brainstem	Manatee, Florida	Cerebellum + brainstem	Thionin + Heidenhain	Coronal		50µ	1062	276	Celloidin	3 1/4 x 4	1062, all
154	86-123	Manatee, Florida	Whole brain	Thionin + Heidenhain	Coronal		40µ	1644	686	Celloidin	3 1/4 x 4	1644, all
155	63-310	Mandrill		Thionin + Heidenhain	Coronal		35µ	2012	390	Celloidin	3 1/4 x 4	Evens Thionin + every 11th Heidenhain
156	69-641	Marmosa		Thionin	Sagittal		25µ	635	17	Celloidin	2 x 3	635, all
157	69-644	Marmosa		thionin	Coronal		15µ	954	60	Paraffin	2 x 3	954
158	54-63	Marmoset		Thionin	Horizontal		30µ	550	10	Celloidin	3 1/4 x 4	110, every 5th
159	54-64	Marmoset		Weil	Coronal		30µ	909	32	Celloidin	3 1/4 x 4	454, every other
160	54-65R	Marmoset		Thionin + Weil	Sagittal		30µ	331	24	Celloidin	3 1/4 x 4	Every 5th Thionin + every 6th HH
161	55-13	Marmoset		Thionin + Weil	Coronal		30µ	1048	22	Celloidin	3 1/4 x 4	1048, all
162	#5	Marmoset		Thionin	Coronal		30µ	955	190	Celloidin	2 x 3	191, every 5th
163	61-770	Marmot		Thionin + Weil	Coronal		25µ	2190	78	Celloidin	3 1/4 x 4	2190, all
164	69-536L	Microcebus		Thionin + Heidenhain	Sagittal		30µ	213	6	Celloidin	3 1/4 x 4	213. all
165	69-536R	Microcebus		Thionin + Heidenhain	Coronal		30µ	517	10	Celloidin	3 1/4 x 4	517, all
166	70-145L	Microcebus		Thionin + Heidenhain	Horizontal		30µ	205	6	Celloidin	3 1/4 x 4	205, all
167	70-145R	Microcebus		Thionin + Heidenhain	Sagittal		30µ	289	6	Celloidin	3 1/4 x 4	289, all
168	58-324	Mink		Thionin + Weil	Coronal		25µ	1308	55	Celloidin	3 1/4 x 4	1308, all
169	59-267	Mole		Thionin	Coronal		20µ	740	12	Celloidin	3 1/4x4 (evens) + 2x3 (10s)	370, evens + 10s
170	70-86	Mole		Thionin + Heidenhain	Coronal		30µ	366	8	Celloidin	3 1/4 x 4	366, all
171	61-766	Mongoose		Thionin + Weil	Coronal		25µ	1700	94	Celloidin	3 1/4 x 4	1700, all
172	56-186R	Monkey, cebus		Thionin	Sagittal		30µ	738	139	Celloidin	3 1/4 x 4 + 2 x 3	369
173	56-190R	Monkey, cebus		Thionin	Sagittal		30µ	650	124	Celloidin	3 1/4 x 4 + 2 x 3	325
174	57-16	Monkey, cebus		Thionin	Sagittal		30µ	728	51	Celloidin	3 1/4 x 4	Evens less 10s
175	57-24	Monkey, cebus		Thionin	Sagittal		30µ	586	45	Celloidin	3 1/4 x 4	Evens less 10s
176	68-409	Monkey, howler	Whole brain	Thionin + Heidenhain	Coronal	Adult	30µ	2020	156	Celloidin	3 1/4 x 4	2020, all
177	Alan	Monkey, Java		Thionin	Coronal		30µ	1460	100 (2x3) + 237 (3 1/4x4)	Celloidin	3 1/4 x 4 + 2 x 3	Every section less 10s + 10s; up to slide #141 every section less 10s stained, then every section stained.
178	69-255	Monkey, owl		Thionin + Heidenhain	Coronal		30µ	1150	63	Celloidin	3 1/4 x 4	1150, all
179	69-256	Monkey, owl		Thionin + Heidenhain	Sagittal		30µ	904	78	Celloidin	3 1/4 x 4	904, all
180	69-549	Monkey, owl		Thionin + Heidenhain	Horizontal		30µ	608	74	Celloidin	3 1/4 x 4	608, all
181	68-391	Monkey, owl		Thionin + Heidenhain	Coronal		30µ	1211	74	Celloidin	3 1/4 x 4	1211, all
182	69-353	Monkey, owl		Thionin + Heidehhain	Sagittal		30µ	399	36	Celloidin	3 1/4 x 4	399, all
183	70-232	Monkey, owl		Thionin	Coronal		30µ	447	33	Celloidin	3 1/4 x 4	447
184	70-244	Monkey, owl		Thionin + Heidenhain	Sagittal		30µ	364	32	Celloidin	3 1/4 x 4	364, all
185	67-251	Monkey, pig tail	2 blocks	Thionin	Coronal		40µ	956	104	Celloidin	3 1/4 x 4	191, every 5th
186	67-252	Monkey, pig tail	2 blocks	Thionin	Sagittal		40µ	251	31	Celloidin	3 1/4 x 4	50, every 5th
187	62-133	Monkey, rhesus		Thionin + Weil	Coronal		30µ	1952	368	Celloidin	3 1/4 x 4	1952, all
188	68-425	Monkey, rhesus		Thionin + Weil	Horizontal		30µ	914	320	Celloidin	3 1/4 x 4	914, all
189	Con rad 1	Monkey, rhesus		Thionin	Coronal		20µ	1250	118	Celloidin	3 1/4 x 4	250, every 5th
190	Conrad 2	Monkey, rhesus		Thionin + Weil	Oblique sagittal		25µ	258	50	Celloidin	3 1/4 x 4	258, all
191	Conrad II	Monkey, rhesus		Thionin + Weil	Sagittal		25	1056	378	Celloidin	2 x 3	Every 5th + 6th
192	63-18	Monkey, spider		Thionin + Weil	Coronal		30µ	2200	133	Celloidin	3 1/4 x 4	1100, every 4th + 5th
193	64-57L	Monkey, spider		Thionin + Heidenhain	Sagittal		40µ	628	228	Celloidin	3 1/4 x 4	628, all
194	56-167L	Monkey, spider		Thionin	Sagittal		30µ	1568	70	Celloidin	3 1/4 x 4	Evens less 10s
195	55-28	Monkey, squirrel		Thionin	Horizontal		25µ	900	21	Celloidin	2 x 3	90, every 10s
196	54-91	Monkey, squirrel		Thionin	Coronal		25µ	1736	60	Celloidin	2 x 3	Every 10th section less 10s + 10s
197	55-2	Monkey, squirrel		thionin + Heidenhain	Sagittal		25µ	1130	77	Celloidin	3 1/4 x 4	Evens less 10s (Thionin) + every 10s (HH)
198	55-21	Monkey, squirrel		Thionin	Coronal		25µ	1496	83 , 55 (3 1/4x4 ) + 28 (2x3)	Celloidin	55 3 1/4x4 + 28 2x3	Evens less 10s + 10s
199	56-4	Monkey, squirrel		Thionin + Weil	Coronal		20µ	1714	144	Celloidin	3 1/4 x 4	Evens less 10s + odds
200	55-26	Monkey, squirrel		Thionin + Weil	Sagittal		25µ	1140	107	Celloidin	3 1/4 x 4	Evens less 10s, 10s, odds
201	55-4	Monkey, squirrel		Thionin	Horizontal		25µ	1098	75	Celloidin	4 1/4 x 4	Evens less 10s + 10s
202	55-9	Monkey, squirrel		Thionin + Weil	Horizontal		25µ	486	44	Celloidin	3 1/4 x 4	Thionin 1-6-11.... + 10s, HH 4-8-12...
203	55-17R	Monkey, squirrel		Thionin	Sagittal		25µ	520	22	Celloidin	2 x 3	52, every 10th
204	55-27	Monkey, squirrel		Thionin + Heidenhain	Horizontal		25µ	1020	139: 44 (2x3) + 85 (3 1/4x4)	Celloidin	2x3 (10s) + 3 1/4x4	Thionin evens less 10s + 10s, HH 11s
205	55-28R	Monkey, squirrel		Thionin	Horizontal		25µ	902	52	Celloidin	2x3 (10s) + 3 1/4x4 (evens less 10s)	Evens less 10s + 10s
206	56-19	Monkey, squirrel		Thionin	coronal		25µ	1190	20	Celloidin	2 x 3	119, every 10th
207	56-139	Monkey, squirrel		Thionin	Coronal		25µ	1512	58	Celloidin	3 1/4 x 4	756, Evens + 10s
208	56-129	Monkey, squirrel		Thionin	Coronal		25µ	798	30	Celloidin	3 1/4 x 4	399, evens + 10s
209	61-672	Monkey, squirrel		Thionin + Weil	Coronal		25µ	1304	93	Celloidin	3 1/4 x 4	1304, all
210	61-801	Monkey, squirrel		Thionin + Heidenhain	Horizontal		30µ	592	80	Celloidin	3 1/4 x 4	592, all
211	59-545	Monkey, squirrel		Thionin + Weil	Coronal		?	184	173	Celloidin	2 x 3	?
212	70-355R (70-355L on record# 675)	Monkey, titi		Thionin + Heidenhain	Coronal		30µ	940	32	Celloidin	3 1/4 x 4	940, all
213	59-391	Mouse		Thionin	Horizontal		25µ	190	8	Celloidin	3 1/4 x 4	190, all
214	59-393	Mouse		Thionin	Sagittal		25µ	309	12	Celloidin	3 1/4 x 4	309,all
215	59-385	Mouse		Thionin	Coronal		25µ	679	14	Celloidin	3 1/4 x 4	679, all
216	59-387	Mouse		Thionin	Coronal		25µ	550	10	Celloidin	3 1/4 x 4	550, all
217	59-392	Mouse		Thionin	Horizontal		25µ	228	11	Celloidin	2 x 3	228, all
218	59-394	Mouse		Thionin	Coronal		25µ	382	10	Celloidin	2 x 3	382, all
219	69-478	Mouse		Thionin	Coronal	2 days	8µ	984	33	Paraffin	2 x 3	984, all
220	69-479	Mouse		Thionin	Sagittal	2 days	8 µ	618	50	Paraffin	2 x 3	618, all
221	69-484	Mouse		Thionin	Coronal	4 days	10µ	1104	43	Paraffin	2 x 3	1104, all
222	69-485	Mouse		Thionin	Sagittal	4 days	10µ	491	14	Paraffin	2 x 3	491, all
