species_row	Species_Baron1996	Species_printed_Table32	main_olfactory_bulb_mm3	paleocortex_mm3	striatum_mm3	septum_mm3	amygdala_mm3	hippocampus_mm3	schizocortex_mm3	neocortex_mm3	source_pdf_page
242	Miniopterus tristis	Miniopterus tristis	6.12	12.5	17.7	3.68	16.5	18.4	7.03	62.2	144
243	Murina cyclotis cyclotis	Murina cyclotis cyclotis	12.8	20.1	13.1	3.33	9.6	15.9	7.91	44.4	144
244	Murina c. peninsularis	Murina c. peninsularis	13.5	22.2	13.9	3.4	10.4	14.8	9.87	58.7	144
245	Murina huttoni rubella	Murina huttoni rubella	13.9	20.8	13.5	3.54	10.2	17.1	7.49	49.5	144
246	Murina tubinaris	Murina tubinaris	11.1	20	11.4	2.99	8.53	15.2	6.61	38	144
247	Harpiocephalus harpia	Harpiocephalus harpia	23	35.7	26.4	7.08	17.4	35.8	17.2	81.3	144
248	Kerivoula papillosa	Kerivoula papillosa	3.8	7.9	12.2	2.82	10.4	36.3	8.29	69	144
249	Kerivoula pellucida	Kerivoula pellucida	2.13	5.14	12.3	1.77	7.46	14	7.17	47.2	144
250	Kerivoula phalaena	Kerivoula phalaena	1.62	3.64	7.09	1.08	4.45	6.76	3.03	20.1	144
251	Phoniscus atrox	Phoniscus atrox	2.59	5.54	9.35	1.92	7.08	24.7	9.39	45.1	144
252	Nyctophilus geoffroyi	Nyctophilus geoffroyi	4.49	6.56	8.06	2.13	7.01	12.3	5.68	31.8	144
253	Nyctophilus timoriensis	Nyctophilus timoriensis	5.69	9.62	12.9	3.03	12.7	19.4	8.46	47.6	144
254	Tadarida aegyptiaca	Tadarida aegyptiaca	10	16.1	15.8	5.66	18.4	22.9	13.6	77.3	145
255	Tadarida condylura	Tadarida condylura	13.3	18.4	19.7	5.81	21.5	22.9	14.5	102	145
256	Tadarida mops	Tadarida mops	13.9	19.9	22.8	6.26	21.2	24.5	11.6	105.6	145
257	Tadarida niveiventer	Tadarida niveiventer	10.6	15.9	16.1	5.11	19.5	20.8	13.8	86.9	145
258	Tadarida beccarii	Tadarida beccarii	7.2	9.51	9.38	3.28	11	13	7.1	41.4	145
259	Tadarida jobensis	Tadarida jobensis	9.5	14.3	15.7	4.43	15.5	14.9	10.1	78.8	145
260	Tadarida leucostigma	Tadarida leucostigma	8.78	16.6	15.1	5.67	19	19.8	9.61	80.7	145
261	Tadarida plicata plicata	Tadarida plicata plicata	7.83	12.7	13	4.29	16.4	16.4	10	62.2	145
262	Tadarida pumila	Tadarida pumila	6.6	9.82	9.42	3.08	11.6	12.2	6.77	44.3	145
263	Otomops martiensseni	Otomops martiensseni	14.3	26.2	29	7.07	28.8	30.6	20.7	153.6	145
264	Molossops abrasus	Molossops abrasus	10.5	16.6	15.4	4.62	21	22.9	12.6	80.7	145
265	Molossops greenhalli	Molossops greenhalli	5.08	11.8	12.1	3.65	14.9	14.4	9.72	56	145
266	Molossops planirostris	Molossops planirostris	5.2	8.23	8.46	2.97	8.91	10.3	5.93	32.2	145
267	Eumops auripendulus	Eumops auripendulus	12.5	22.5	22.5	6.11	27.6	25	18.1	117.8	145
268	Eumops glaucinus	Eumops glaucinus	14.2	21.9	26	7.91	25	28.9	23.2	129	145
269	Molossus ater	Molossus ater	12.9	21.1	21.6	6.23	29	24.4	14.6	113.8	145
270	Molossus molossus	Molossus molossus	7.48	12.9	12.6	4.07	17.2	15.2	8.67	62.6	145
271	Molossus trinitatis	Molossus trinitatis	10.4	15.7	17	4.39	21	20.8	11.8	89.6	145
272	Cheiromeles torquatus	Cheiromeles torquatus	40.5	54.8	61.8	17	55.2	61.2	40.3	349.8	145
