"Species_Heuer2023"	"species_sci"	"Binomial_name_timetree"	"English_name"	"Microdraw_name"	"Provenance"	"Cerebellar_section_area_mm2"	"Cerebellar_section_length_mm"	"Cerebral_section_area_mm2"	"Cerebral_section_length_mm"	"Folial_width_median_mm"	"Folial_perimeter_median_mm"	"Molecular_layer_thickness_median_mm"	"Log10Area_cb_source"	"Log10Length_cb_source"	"Log10Area_ctx_source"	"Log10Length_ctx_source"	"Log10WidthMedian_source"	"Log10PeriodMedian_source"	"Log10ThicknessMedian_source"	"LogBodyWeight_source"	"LogBrainWeight_source"
"Chinchilla lanigera"	"Chinchilla laniger"	"Chinchilla lanigera"	"Long-tailed chinchilla"	"Long-tailed chinchilla Cell"	"Brainmuseum"	47.0083959325692	95.7863395211329	94.5560215487394	45.1080007063779	0.968126769147645	2.18576436454286	0.154894	1.67217543201107	1.9813035769949	1.9756891909507	1.65425357856236	-0.0140677712694933	0.339603341193427	-0.80996540481897	5.91889385427314	1.91692261218206
"Choloepus didactylus"	"Choloepus didactylus"	"Choloepus didactylus"	"Two-toed sloth"	"Two-toed Sloth"	"Brainmuseum"	212.839684300024	206.76466700389	283.708406990549	118.684211300697	1.51474390925149	3.2416922479674	0.215893	2.32805260607462	2.31547632631613	2.45287220521957	2.0743929480948	0.180339214884503	0.510771782457696	-0.665761438771177	8.31385226739821	3.25540059955057
"Crocuta crocuta"	"Crocuta crocuta"	"Crocuta crocuta"	"Spotted hyena"	"Spotted hyena cell stained"	"Brainmuseum"	325.328914881772	376.413797761208	1151.26983397758	296.084724066158	1.24858151216333	3.20375727324334	0.332056	2.51232266462071	2.57566553447288	3.0611771252573	2.47141600136123	0.096416900013105	0.505659605138727	-0.478788667982435	11.0508900053737	4.97002161121096
"Cynictis penicillata"	"Cynictis penicillata"	"Cynictis penicillata"	"Yellow mongoose"	"Yellow mongoose"	"Brainmuseum"	87.0387585496897	127.370527470355	207.612887473018	95.4173225014533	1.20202192179278	3.14549820155605	0.200797	1.93971268797377	2.10506894732618	2.31725430864029	1.97962722568802	0.0799123881549272	0.497689441212487	-0.697242780038863	6.73340189183736	2.35042242240821
"Cynocephalus volans"	"Cynocephalus volans"	"Cynocephalus volans"	"Philippine flying lemur"	"Philippine flying lemur"	"Brainmuseum"	44.5438703414129	78.2030009090766	102.820659017158	65.3715235204109	1.8545241018888	4.05138665403105	0.206183	1.64878794944909	1.89322341870239	2.01208038310034	1.81538860656294	0.268232481907979	0.607603693121585	-0.685747145602222	6.69703424766648	1.82454929205105
"Dasypus novemcinctus"	"Dasypus novemcinctus"	"Dasypus novemcinctus"	"Nine-banded armadillo"	"Nine-banded armadillo"	"Brainmuseum"	160.873145196137	186.349351970045	175.944543796533	65.7566688541415	1.07987153006508	2.60686434689814	0.198879	2.20648355269736	2.27032788683323	2.2453758035054	1.81793980430529	0.0333720915031275	0.416118432424025	-0.701411072409056	8.3039999709552	2.32727770558442
"Elephantulus myurus"	"Elephantulus myurus"	"Elephantulus myurus"	"Elephant shrew"	"Elephant shrew"	"Brainmuseum"	31.9266858066857	82.862043883399	77.4897774194765	38.5285367285576	1.48831168702289	2.00399522202572	0.158686	1.50415383834615	1.91835564144519	1.88924441343354	1.58578251529952	0.172693892082814	0.301896681740947	-0.799461386987728	3.99959422567628	0.314810739840033
"Equus burchellii"	"Equus burchelli"	"Equus grevyi"	"Zebra"	"Zebra"	"Brainmuseum"	663.042821745457	594.320764225983	2227.29276561305	575.97643643314	1.79825263925511	4.09306891288095	NA	2.82154157764641	2.77402090379217	3.34777730645187	2.76040471651976	0.254850706377573	0.612049056698038	NA	12.4292161968443	6.41673228251232
"Erethizon dorsatum"	"Erethizon dorsatum"	"Erethizon dorsatum"	"North American porcupine"	"North American Porcupine Cell stain"	"Brainmuseum"	134.471766659558	205.870655797205	308.476435489709	94.4127615487182	1.16372050725012	2.46802072542588	0.216553	2.12863111057579	2.31359444796065	2.48922199388737	1.9750307008193	0.065848687586962	0.392348802403466	-0.664435795427923	8.21630429147717	2.83907846350861
"Erinaceus europaeus"	"Erinaceus europaeus"	"Erinaceus europaeus"	"West European hedgehog"	"West European hedgehog Cell"	"Brainmuseum"	28.2679050616917	69.787219059413	71.2800010691006	40.5441253395791	0.917566639380682	2.81419104583324	0.155327	1.45129362405868	1.84377589253404	1.85296769754263	1.60792793579913	-0.0373623847714147	0.449353576870875	-0.8087530456764	6.75693238924755	1.20896034583698
