"Species_KK2004"	"common_name_KK2004"	"binomial"	"activity_pattern"	"method"	"substrate"	"va_cdeg_min"	"va_cdeg_max"	"va_as_printed"	"source_as_printed"	"source"
"Trichosurus vulpecula"	"Brush-tailed possum"	"Trichosurus vulpecula"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	4.8	4.8	"4.8"	"Freeman and Tancred, 1978"	"Kirk_Kay_2004_Table2"
"Enhydra lutris"	"Sea otter"	"Enhydra lutris"	"Diurnal"	"anatomical (eye/retina morphology)"	"air and water"	4.2	4.2	"4.2 (air and water)"	"Mass and Supin, 2000"	"Kirk_Kay_2004_Table2"
"Balaenoptera acutorostrata"	"Minke whale"	"Balaenoptera acutorostrata"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	3.9	4.2	"3.9–4.2 (water)"	"Murayama et al., 1992"	"Kirk_Kay_2004_Table2"
"Loxodonta africana"	"African elephant"	"Loxodonta africana"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	4.1	4.1	"4.1"	"Stone and Halasz, 1989"	"Kirk_Kay_2004_Table2"
"Pteropus scapulatus"	"Little red flying fox"	"Pteropus scapulatus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	4	4	"4.0"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Odobenus rosmarus"	"Pacific walrus"	"Odobenus rosmarus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	3.8	3.8	"3.8"	"Mass, 1992"	"Kirk_Kay_2004_Table2"
"Delphinus delphis"	"Common dolphin"	"Delphinus delphis"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	3.8	3.8	"3.8 (water)"	"Dral, 1983"	"Kirk_Kay_2004_Table2"
"Pseudorca crassidens"	"False killer whale"	"Pseudorca crassidens"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	3.3	3.3	"3.3 (water)"	"Murayama and Somiya, 1998"	"Kirk_Kay_2004_Table2"
"Tursiops truncatus"	"Bottlenose dolphin"	"Tursiops truncatus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air"	2.5	2.5	"2.5 (air); 3.3 (water)"	"Mass and Supin, 1995"	"Kirk_Kay_2004_Table2"
"Tursiops truncatus"	"Bottlenose dolphin"	"Tursiops truncatus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	3.3	3.3	"2.5 (air); 3.3 (water)"	"Mass and Supin, 1995"	"Kirk_Kay_2004_Table2"
"Rousettus sp."	"Rousette fruit bat"	"Rousettus sp."	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	3	3	"3.0"	"Marks, 1980; cited in Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Phocoena phocoena"	"Harbor porpoise"	"Phocoena phocoena"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air"	2.1	2.1	"2.1 (air); 2.7 (water)"	"Mass and Supin, 1986"	"Kirk_Kay_2004_Table2"
"Phocoena phocoena"	"Harbor porpoise"	"Phocoena phocoena"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	2.7	2.7	"2.1 (air); 2.7 (water)"	"Mass and Supin, 1986"	"Kirk_Kay_2004_Table2"
"Eschrichtius robustus"	"Gray whale"	"Eschrichtius robustus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	2.7	2.7	"2.7 (water)"	"Mass and Supin, 1997"	"Kirk_Kay_2004_Table2"
"Lagenorhynchus obliquidens"	"Pacific white-sided dolphin"	"Lagenorhynchus obliquidens"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	2.7	2.7	"2.7 (water)"	"Murayama and Somiya, 1998"	"Kirk_Kay_2004_Table2"
"Delphinapterus leucas"	"Beluga whale"	"Delphinapterus leucas"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	2.6	2.6	"2.6 (water)"	"Murayama and Somiya, 1998"	"Kirk_Kay_2004_Table2"
"Dasyurus hallucatus"	"Quoll"	"Dasyurus hallucatus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	2.6	2.6	"2.6"	"Harman et al., 1986"	"Kirk_Kay_2004_Table2"
"Phocoenoides dalli"	"Dall’s porpoise"	"Phocoenoides dalli"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	2.5	2.6	"2.5–2.6 (water)"	"Murayama et al., 1992, 1995"	"Kirk_Kay_2004_Table2"
"Phascolarctos cinereus"	"Koala"	"Phascolarctos cinereus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	2.4	2.4	"2.4"	"Schmid et al., 1992"	"Kirk_Kay_2004_Table2"
"Sminthopsis crassicaudata"	"Fat-tailed dunnart"	"Sminthopsis crassicaudata"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	2.3	2.3	"2.3"	"Arrese et al., 1999"	"Kirk_Kay_2004_Table2"
"Macroderma gigas"	"Australian false vampire bat"	"Macroderma gigas"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	1.9	1.9	"1.9"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Mesocricetus auratus"	"Golden hamster"	"Mesocricetus auratus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	1.8	1.8	"1.8"	"Tiao and Blakemore, 1976"	"Kirk_Kay_2004_Table2"
"Megaderma lyra"	"Greater false vampire bat"	"Megaderma lyra"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	1.5	1.5	"1.5"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Artibeus cinereus"	"Gervaif fruit eating bat"	"Artibeus cinereus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	1.4	1.4	"1.4"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Taphozous georgianus"	"Brown sheath-tailed bat"	"Taphozous georgianus"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	1.3	1.3	"1.3"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Sotalia fluviatilis"	"River dolphin (tucuxi)"	"Sotalia fluviatilis"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air"	0.9	0.9	"0.9 (air); 1.2 (water)"	"Mass and Supin, 1999"	"Kirk_Kay_2004_Table2"
"Sotalia fluviatilis"	"River dolphin (tucuxi)"	"Sotalia fluviatilis"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	1.2	1.2	"0.9 (air); 1.2 (water)"	"Mass and Supin, 1999"	"Kirk_Kay_2004_Table2"
"Saccopteryx sp."	"White-lined bat"	"Saccopteryx sp."	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	1	1	"1.0"	"Marks, 1980; cited in Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Tarsipes rostratus"	"Honey possum"	"Tarsipes rostratus"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	0.8	0.8	"0.8"	"Dunlop et al., 1994"	"Kirk_Kay_2004_Table2"
"Inia geoffrensis"	"Amazon dolphin (boutos)"	"Inia geoffrensis"	"Cathemeral"	"anatomical (eye/retina morphology)"	"air"	0.6	0.6	"0.6 (air); 0.8 (water)"	"Mass and Supin, 1989, 1999"	"Kirk_Kay_2004_Table2"
"Inia geoffrensis"	"Amazon dolphin (boutos)"	"Inia geoffrensis"	"Cathemeral"	"anatomical (eye/retina morphology)"	"water"	0.8	0.8	"0.6 (air); 0.8 (water)"	"Mass and Supin, 1989, 1999"	"Kirk_Kay_2004_Table2"
"Eptesicus sp."	"Big brown bat"	"Eptesicus sp."	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	0.7	0.7	"0.7"	"Marks, 1980; cited in Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Nyctophilus gouldi"	"Gould’s long-eared bat"	"Nyctophilus gouldi"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	0.6	0.6	"0.6"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
"Rhinolophus rouxi"	"Horseshoe bat"	"Rhinolophus rouxii"	"Nocturnal"	"anatomical (eye/retina morphology)"	"air (unspecified; per table notes)"	0.4	0.4	"0.4"	"Pettigrew et al., 1988"	"Kirk_Kay_2004_Table2"
