"Species_Reader2011"	"Genus_Reader2011"	"SpeciesPurvis"	"GenusPurvis"	"species_sci"	"Taxon"	"Great_ape"	"Innovation"	"Tool_use"	"Extractive_foraging"	"Social_learning"	"Innovation_reduced"	"Tool_use_reduced"	"Extractive_foraging_reduced"	"Journal_search_article_count"	"Zoological_record_article_count"	"Journal_reports_2002"	"Innovation_2002"	"Social_learning_2002"	"Tool_use_2002"
"Cebus albifrons"	"Cebus"	"Cebus albifrons"	"Cebus"	"Cebus albifrons"	"Simian"	"No"	0	3	3	1	0	0	0	5	13	1	0	1	1
"Cebus apella"	"Cebus"	"Cebus apella"	"Cebus"	"Sapajus apella"	"Simian"	"No"	39	64	56	17	3	11	7	111	249	27	37	15	51
"Cebus capucinus"	"Cebus"	"Cebus capucinus"	"Cebus"	"Cebus capucinus"	"Simian"	"No"	4	7	3	5	2	4	1	37	60	9	4	3	7
"Cebus olivaceus"	"Cebus"	"Cebus olivaceus"	"Cebus"	"Cebus olivaceus"	"Simian"	"No"	4	3	2	0	1	0	0	11	18	NA	NA	NA	NA
"Daubentonia madagascariensis"	"Daubentonia"	"Daubentonia madagascariensis"	"Daubentonia"	"Daubentonia madagascariensis"	"Prosimian"	"No"	4	2	6	0	0	0	2	29	52	21	3	0	1
"Gorilla gorilla"	"Gorilla"	"Gorilla gorilla"	"Gorilla"	"Gorilla gorilla"	"Simian"	"Great ape"	25	21	12	13	6	3	2	112	517	39	21	10	16
"Lagothrix flavicauda"	"Lagothrix"	"Lagothrix flavicauda"	"Lagothrix"	"Lagothrix flavicauda"	"Simian"	"No"	0	0	0	0	0	0	0	NA	2	NA	NA	NA	NA
"Lagothrix lagotricha"	"Lagothrix"	"Lagothrix lagotricha"	"Lagothrix"	"Lagothrix lagothricha"	"Simian"	"No"	0	0	0	0	0	0	0	12	34	NA	NA	NA	NA
"Macaca arctoides"	"Macaca"	"Macaca arctoides"	"Macaca"	"Macaca arctoides"	"Simian"	"No"	1	1	1	1	0	0	0	39	48	12	1	1	1
"Macaca assamensis"	"Macaca"	"Macaca assamensis"	"Macaca"	"Macaca assamensis"	"Simian"	"No"	0	0	0	0	0	0	0	5	17	NA	NA	NA	NA
"Macaca cyclopis"	"Macaca"	"Macaca cyclopis"	"Macaca"	"Macaca cyclopis"	"Simian"	"No"	0	0	0	0	0	0	0	7	12	1	0	0	0
"Macaca fascicularis"	"Macaca"	"Macaca fascicularis"	"Macaca"	"Macaca fascicularis"	"Simian"	"No"	7	3	2	7	6	1	0	149	174	29	7	7	3
"Macaca fuscata"	"Macaca"	"Macaca fuscata"	"Macaca"	"Macaca fuscata"	"Simian"	"No"	26	5	16	45	12	0	3	124	253	55	23	44	3
"Macaca maura"	"Macaca"	"Macaca maurus"	"Macaca"	"Macaca maura"	"Simian"	"No"	0	0	0	0	0	0	0	8	22	2	0	0	0
"Macaca mulatta"	"Macaca"	"Macaca mulatta"	"Macaca"	"Macaca mulatta"	"Simian"	"No"	5	2	4	15	3	0	1	365	296	45	4	14	1
"Macaca nemestrina"	"Macaca"	"Macaca nemestrina"	"Macaca"	"Macaca nemestrina"	"Simian"	"No"	1	1	2	3	1	0	1	81	51	9	1	3	1
"Macaca nigra"	"Macaca"	"Macaca nigra"	"Macaca"	"Macaca nigra"	"Simian"	"No"	0	1	1	0	0	0	0	15	27	4	0	0	0
"Macaca ochreata"	"Macaca"	"Macaca ochreata"	"Macaca"	"Macaca ochreata"	"Simian"	"No"	0	0	0	0	0	0	0	3	3	1	0	0	0
"Macaca radiata"	"Macaca"	"Macaca radiata"	"Macaca"	"Macaca radiata"	"Simian"	"No"	2	1	1	0	1	0	1	25	34	3	1	0	1
"Macaca silenus"	"Macaca"	"Macaca silenus"	"Macaca"	"Macaca silenus"	"Simian"	"No"	1	1	1	1	0	0	0	21	48	4	1	1	1
"Macaca sinica"	"Macaca"	"Macaca sinica"	"Macaca"	"Macaca sinica"	"Simian"	"No"	0	0	0	0	0	0	0	3	12	1	0	0	0
"Macaca sylvanus"	"Macaca"	"Macaca sylvanus"	"Macaca"	"Macaca sylvanus"	"Simian"	"No"	0	0	1	0	0	0	1	38	67	7	0	0	0
"Macaca thibetana"	"Macaca"	"Macaca thibetana"	"Macaca"	"Macaca thibetana"	"Simian"	"No"	0	0	0	1	0	0	0	13	42	5	0	1	0
"Macaca tonkeana"	"Macaca"	"Macaca tonkeana"	"Macaca"	"Macaca tonkeana"	"Simian"	"No"	1	2	2	2	0	0	0	21	26	8	0	1	1
"Miopithecus talapoin"	"Miopithecus"	"Miopithecus talapoin"	"Miopithecus"	"Miopithecus talapoin"	"Simian"	"No"	0	0	0	0	0	0	0	2	4	2	0	0	0
"Pan paniscus"	"Pan"	"Pan paniscus"	"Pan"	"Pan paniscus"	"Simian"	"Great ape"	10	27	15	5	4	18	5	64	225	15	7	5	27
"Pan troglodytes"	"Pan"	"Pan troglodytes"	"Pan"	"Pan troglodytes"	"Simian"	"Great ape"	321	371	217	214	154	140	23	364	755	102	301	210	364
"Papio anubis"	"Papio"	"Papio anubis"	"Papio"	"Papio anubis"	"Simian"	"No"	12	2	8	4	5	0	3	38	43	11	12	4	2
"Papio cynocephalus"	"Papio"	"Papio cynocephalus"	"Papio"	"Papio cynocephalus"	"Simian"	"No"	0	0	0	2	0	0	0	41	114	14	0	2	0
"Papio hamadryas"	"Papio"	"Papio hamadryas"	"Papio"	"Papio hamadryas"	"Simian"	"No"	6	12	10	1	3	4	1	23	78	2	2	0	3
"Papio papio"	"Papio"	"Papio papio"	"Papio"	"Papio papio"	"Simian"	"No"	8	4	5	3	4	1	0	10	8	7	8	3	4
"Papio ursinus"	"Papio"	"Papio ursinus"	"Papio"	"Papio ursinus"	"Simian"	"No"	4	4	7	5	1	2	2	13	22	4	4	5	4
"Pongo pygmaeus"	"Pongo"	"Pongo pygmaeus"	"Pongo"	"Pongo pygmaeus"	"Simian"	"Great ape"	53	114	22	86	1	60	5	47	321	13	51	83	113
"Saimiri boliviensis"	"Saimiri"	"Saimiri boliviensis"	"Saimiri"	"Saimiri boliviensis"	"Simian"	"No"	0	0	0	0	0	0	0	19	36	1	0	0	0
"Saimiri oerstedii"	"Saimiri"	"Saimiri oerstedii"	"Saimiri"	"Saimiri oerstedii"	"Simian"	"No"	0	0	0	1	0	0	0	4	4	2	0	1	0
"Saimiri sciureus"	"Saimiri"	"Saimiri sciureus"	"Saimiri"	"Saimiri sciureus"	"Simian"	"No"	3	0	2	1	1	0	0	73	89	16	2	1	0
"Saimiri ustus"	"Saimiri"	"Saimiri ustus"	"Saimiri"	"Saimiri ustus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	4	NA	NA	NA	NA
"Saimiri vanzolinii"	"Saimiri"	"Saimiri vanzolinii"	"Saimiri"	"Saimiri vanzolinii"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Allenopithecus nigroviridis"	"Allenopithecus"	"Allenopithecus nigroviridis"	"Allenopithecus"	"Allenopithecus nigroviridis"	"Simian"	"No"	0	0	0	0	0	0	0	NA	6	NA	NA	NA	NA
"Allocebus trichotis"	"Allocebus"	"Allocebus trichotis"	"Allocebus"	"Allocebus trichotis"	"Prosimian"	"No"	0	0	0	0	0	0	0	3	6	2	0	0	0
"Alouatta belzebul"	"Alouatta"	"Alouatta belzebul"	"Alouatta"	"Alouatta belzebul"	"Simian"	"No"	0	0	0	0	0	0	0	3	15	1	0	0	0
"Alouatta caraya"	"Alouatta"	"Alouatta caraya"	"Alouatta"	"Alouatta caraya"	"Simian"	"No"	1	0	1	0	0	0	0	7	45	3	1	0	0
"Alouatta coibensis"	"Alouatta"	"Alouatta coibensis"	"Alouatta"	"Alouatta coibensis"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Alouatta fusca"	"Alouatta"	"Alouatta fusca"	"Alouatta"	"Alouatta fusca"	"Simian"	"No"	1	0	0	0	1	0	0	6	37	3	0	0	0
"Alouatta palliata"	"Alouatta"	"Alouatta palliata"	"Alouatta"	"Alouatta palliata"	"Simian"	"No"	0	0	0	3	0	0	0	41	79	5	0	3	0
"Alouatta pigra"	"Alouatta"	"Alouatta pigra"	"Alouatta"	"Alouatta pigra"	"Simian"	"No"	0	0	0	0	0	0	0	8	25	NA	NA	NA	NA
"Alouatta sara"	"Alouatta"	"Alouatta sara"	"Alouatta"	"Alouatta sara"	"Simian"	"No"	0	0	0	0	0	0	0	NA	4	NA	NA	NA	NA
"Alouatta seniculus"	"Alouatta"	"Alouatta seniculus"	"Alouatta"	"Alouatta seniculus"	"Simian"	"No"	4	1	0	0	4	1	0	28	82	8	4	0	0
"Aotus azarai"	"Aotus"	"Aotus azarai"	"Aotus"	"Aotus azarai"	"Simian"	"No"	0	0	0	0	0	0	0	2	22	NA	NA	NA	NA
"Aotus brumbacki"	"Aotus"	"Aotus brumbacki"	"Aotus"	"Aotus brumbacki"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Aotus hershkovitzi"	"Aotus"	"Aotus hershkovitzi"	"Aotus"	"Aotus hershkovitzi"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Aotus infulatus"	"Aotus"	"Aotus infulatus"	"Aotus"	"Aotus infulatus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	6	NA	NA	NA	NA
"Aotus lemurinus"	"Aotus"	"Aotus lemurinus"	"Aotus"	"Aotus lemurinus"	"Simian"	"No"	0	0	0	0	0	0	0	1	16	1	0	0	0
"Aotus miconax"	"Aotus"	"Aotus miconax"	"Aotus"	"Aotus miconax"	"Simian"	"No"	0	0	0	0	0	0	0	NA	2	NA	NA	NA	NA
"Aotus nancymaae"	"Aotus"	"Aotus nancymaae"	"Aotus"	"Aotus nancymaae"	"Simian"	"No"	0	0	0	0	0	0	0	2	5	1	0	0	0
"Aotus nigriceps"	"Aotus"	"Aotus nigriceps"	"Aotus"	"Aotus nigriceps"	"Simian"	"No"	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA
"Aotus trivirgatus"	"Aotus"	"Aotus trivirgatus"	"Aotus"	"Aotus trivirgatus"	"Simian"	"No"	0	0	0	0	0	0	0	2	58	1	0	0	0
"Aotus vociferans"	"Aotus"	"Aotus vociferans"	"Aotus"	"Aotus vociferans"	"Simian"	"No"	1	0	0	0	1	0	0	2	12	2	1	0	0
"Arctocebus calabarensis"	"Arctocebus"	"Arctocebus calabarensis"	"Arctocebus"	"Arctocebus calabarensis"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA
"Avahi laniger"	"Avahi"	"Avahi laniger"	"Avahi"	"Avahi laniger"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	10	NA	NA	NA	NA
"Avahi occidentalis"	"Avahi"	"Avahi occidentalis"	"Avahi"	"Avahi occidentalis"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	6	NA	NA	NA	NA
"Brachyteles arachnoides"	"Brachyteles"	"Brachyteles arachnoides"	"Brachyteles"	"Brachyteles arachnoides"	"Simian"	"No"	0	0	0	0	0	0	0	15	57	4	0	0	0
"Cacajao calvus"	"Cacajao"	"Cacajao calvus"	"Cacajao"	"Cacajao calvus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	11	1	0	0	0
"Cacajao melanocephalus"	"Cacajao"	"Cacajao melanocephalus"	"Cacajao"	"Cacajao melanocephalus"	"Simian"	"No"	0	0	0	0	0	0	0	5	8	NA	NA	NA	NA
"Cacajao rubicundus"	"Cacajao"	"Cacajao rubicundus"	"Cacajao"	"Cacajao rubicundus"	"Simian"	"No"	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA
"Callicebus brunneus"	"Callicebus"	"Callicebus brunneus"	"Callicebus"	"Callicebus brunneus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	3	NA	NA	NA	NA
"Callicebus calligatus"	"Callicebus"	"Callicebus calligatus"	"Callicebus"	"Callicebus calligatus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	2	NA	NA	NA	NA
"Callicebus cinerascens"	"Callicebus"	"Callicebus cinerascens"	"Callicebus"	"Callicebus cinerascens"	"Simian"	"No"	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA
"Callicebus cupreus"	"Callicebus"	"Callicebus cupreus"	"Callicebus"	"Callicebus cupreus"	"Simian"	"No"	0	0	0	0	0	0	0	2	13	2	0	0	0
"Callicebus donacophilus"	"Callicebus"	"Callicebus donacophilus"	"Callicebus"	"Callicebus donacophilus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA
"Callicebus dubius"	"Callicebus"	"Callicebus dubius"	"Callicebus"	"Callicebus dubius"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Callicebus hoffmannsi"	"Callicebus"	"Callicebus hoffmannsi"	"Callicebus"	"Callicebus hoffmannsi"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Callicebus modestus"	"Callicebus"	"Callicebus modestus"	"Callicebus"	"Callicebus modestus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Callicebus moloch"	"Callicebus"	"Callicebus moloch"	"Callicebus"	"Callicebus moloch"	"Simian"	"No"	0	0	0	0	0	0	0	16	18	3	0	0	0
"Callicebus oenanthe"	"Callicebus"	"Callicebus oenanthe"	"Callicebus"	"Callicebus oenanthe"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Callicebus olallae"	"Callicebus"	"Callicebus olallae"	"Callicebus"	"Callicebus olallae"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Callicebus personatus"	"Callicebus"	"Callicebus personatus"	"Callicebus"	"Callicebus personatus"	"Simian"	"No"	0	0	0	0	0	0	0	6	19	4	0	0	0
"Callicebus torquatus"	"Callicebus"	"Callicebus torquatus"	"Callicebus"	"Callicebus torquatus"	"Simian"	"No"	0	0	0	0	0	0	0	3	4	1	0	0	0
"Lophocebus albigena"	"Lophocebus"	"Cercocebus albigena"	"Cercocebus"	"Lophocebus albigena"	"Simian"	"No"	0	0	0	0	0	0	0	7	34	1	0	0	0
"Cercocebus aterrimus"	"Cercocebus"	"Cercocebus aterrimus"	"Cercocebus"	"Cercocebus aterrimus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	6	NA	NA	NA	NA
"Cercocebus galeritus"	"Cercocebus"	"Cercocebus galeritus"	"Cercocebus"	"Cercocebus galeritus"	"Simian"	"No"	0	0	1	0	0	0	1	4	19	2	0	0	0
"Cercocebus torquatus"	"Cercocebus"	"Cercocebus torquatus"	"Cercocebus"	"Cercocebus torquatus"	"Simian"	"No"	0	0	0	1	0	0	0	18	32	4	0	0	0
"Chlorocebus aethiops"	"Chlorocebus"	"Cercopithecus aethiops"	"Cercopithecus"	"Chlorocebus aethiops"	"Simian"	"No"	4	2	3	5	0	0	0	58	91	5	3	4	1
"Cercopithecus ascanius"	"Cercopithecus"	"Cercopithecus ascanius"	"Cercopithecus"	"Cercopithecus ascanius"	"Simian"	"No"	1	0	1	1	0	0	0	5	26	NA	NA	NA	NA
"Cercopithecus campbelli"	"Cercopithecus"	"Cercopithecus campbelli"	"Cercopithecus"	"Cercopithecus campbelli"	"Simian"	"No"	0	0	0	0	0	0	0	NA	11	NA	NA	NA	NA
"Cercopithecus cephus"	"Cercopithecus"	"Cercopithecus cephus"	"Cercopithecus"	"Cercopithecus cephus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	8	NA	NA	NA	NA
"Cercopithecus denti"	"Cercopithecus"	"Cercopithecus denti"	"Cercopithecus"	"Cercopithecus denti"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Cercopithecus diana"	"Cercopithecus"	"Cercopithecus diana"	"Cercopithecus"	"Cercopithecus diana"	"Simian"	"No"	0	0	0	1	0	0	0	4	28	2	0	1	0
"Cercopithecus dryas"	"Cercopithecus"	"Cercopithecus dryas"	"Cercopithecus"	"Cercopithecus dryas"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Cercopithecus erythrogaster"	"Cercopithecus"	"Cercopithecus erythrogaster"	"Cercopithecus"	"Cercopithecus erythrogaster"	"Simian"	"No"	0	0	0	0	0	0	0	NA	3	NA	NA	NA	NA
"Cercopithecus erythrotis"	"Cercopithecus"	"Cercopithecus erythrotis"	"Cercopithecus"	"Cercopithecus erythrotis"	"Simian"	"No"	0	0	0	0	0	0	0	NA	3	NA	NA	NA	NA
"Cercopithecus hamlyni"	"Cercopithecus"	"Cercopithecus hamlyni"	"Cercopithecus"	"Cercopithecus hamlyni"	"Simian"	"No"	0	0	0	0	0	0	0	NA	4	NA	NA	NA	NA
"Cercopithecus lhoesti"	"Cercopithecus"	"Cercopithecus lhoesti"	"Cercopithecus"	"Cercopithecus lhoesti"	"Simian"	"No"	0	0	0	0	0	0	0	4	7	NA	NA	NA	NA
"Cercopithecus mitis"	"Cercopithecus"	"Cercopithecus mitis"	"Cercopithecus"	"Cercopithecus mitis"	"Simian"	"No"	4	0	3	0	1	0	0	17	56	5	4	0	0
"Cercopithecus mona"	"Cercopithecus"	"Cercopithecus mona"	"Cercopithecus"	"Cercopithecus mona"	"Simian"	"No"	0	0	0	0	0	0	0	3	8	1	0	0	0
"Cercopithecus neglectus"	"Cercopithecus"	"Cercopithecus neglectus"	"Cercopithecus"	"Cercopithecus neglectus"	"Simian"	"No"	0	0	0	0	0	0	0	3	17	NA	NA	NA	NA
"Cercopithecus nictitans"	"Cercopithecus"	"Cercopithecus nictitans"	"Cercopithecus"	"Cercopithecus nictitans"	"Simian"	"No"	0	0	0	0	0	0	0	NA	7	NA	NA	NA	NA
"Cercopithecus petaurista"	"Cercopithecus"	"Cercopithecus petaurista"	"Cercopithecus"	"Cercopithecus petaurista"	"Simian"	"No"	0	0	0	0	0	0	0	NA	5	NA	NA	NA	NA
"Cercopithecus pogonias"	"Cercopithecus"	"Cercopithecus pogonias"	"Cercopithecus"	"Cercopithecus pogonias"	"Simian"	"No"	0	0	0	0	0	0	0	1	8	NA	NA	NA	NA
"Cercopithecus preussi"	"Cercopithecus"	"Cercopithecus preussi"	"Cercopithecus"	"Cercopithecus preussi"	"Simian"	"No"	0	0	0	0	0	0	0	NA	2	NA	NA	NA	NA
"Cercopithecus salongo"	"Cercopithecus"	"Cercopithecus salongo"	"Cercopithecus"	"Cercopithecus salongo"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Cercopithecus solatus"	"Cercopithecus"	"Cercopithecus solatus"	"Cercopithecus"	"Cercopithecus solatus"	"Simian"	"No"	0	0	0	0	0	0	0	2	6	NA	NA	NA	NA
"Cercopithecus wolfi"	"Cercopithecus"	"Cercopithecus wolfi"	"Cercopithecus"	"Cercopithecus wolfi"	"Simian"	"No"	0	0	0	0	0	0	0	NA	7	NA	NA	NA	NA
"Cheirogaleus major"	"Cheirogaleus"	"Cheirogaleus major"	"Cheirogaleus"	"Cheirogaleus major"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	3	NA	NA	NA	NA
"Cheirogaleus medius"	"Cheirogaleus"	"Cheirogaleus medius"	"Cheirogaleus"	"Cheirogaleus medius"	"Prosimian"	"No"	0	0	0	0	0	0	0	6	13	NA	NA	NA	NA
"Chiropotes albinasus"	"Chiropotes"	"Chiropotes albinasus"	"Chiropotes"	"Chiropotes albinasus"	"Simian"	"No"	0	0	0	0	0	0	0	2	3	1	0	0	0
"Chiropotes satanas"	"Chiropotes"	"Chiropotes satanas"	"Chiropotes"	"Chiropotes satanas"	"Simian"	"No"	2	0	2	0	0	0	0	12	21	4	2	0	0
"Colobus angolensis"	"Colobus"	"Colobus angolensis"	"Colobus"	"Colobus angolensis"	"Simian"	"No"	0	0	0	0	0	0	0	2	16	NA	NA	NA	NA
"Procolobus badius"	"Procolobus"	"Colobus badius"	"Colobus"	"Piliocolobus badius"	"Simian"	"No"	0	0	0	0	0	0	0	11	52	5	0	0	0
"Colobus guereza"	"Colobus"	"Colobus guereza"	"Colobus"	"Colobus guereza"	"Simian"	"No"	1	0	1	0	0	0	0	10	42	2	0	0	0
"Procolobus kirkii"	"Procolobus"	"Colobus kirkii"	"Colobus"	"Procolobus kirkii"	"Simian"	"No"	1	0	0	1	1	0	0	3	7	2	1	1	0
"Colobus polykomos"	"Colobus"	"Colobus polykomos"	"Colobus"	"Colobus polykomos"	"Simian"	"No"	0	0	0	0	0	0	0	3	17	1	0	0	0
"Colobus satanas"	"Colobus"	"Colobus satanas"	"Colobus"	"Colobus satanas"	"Simian"	"No"	0	0	0	0	0	0	0	2	10	NA	NA	NA	NA
"Erythrocebus patas"	"Erythrocebus"	"Erythrocebus patas"	"Erythrocebus"	"Erythrocebus patas"	"Simian"	"No"	1	0	1	2	1	0	1	24	33	4	0	2	0
"Euoticus elegantulus"	"Euoticus"	"Euoticus elegantulus"	"Euoticus"	"Euoticus elegantulus"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	1	1	0	0	0
"Euoticus inustus"	"Euoticus"	"Euoticus inustus"	"Euoticus"	"Euoticus inustus"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Galago alleni"	"Galago"	"Galago alleni"	"Galago"	"Galago alleni"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	2	1	0	0	0
"Galago granti"	"Galago"	"Galago granti"	"Galago"	"Galago granti"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Galago moholi"	"Galago"	"Galago moholi"	"Galago"	"Galago moholi"	"Prosimian"	"No"	0	0	0	0	0	0	0	7	14	2	0	0	0
"Galago senegalensis"	"Galago"	"Galago senegalensis"	"Galago"	"Galago senegalensis"	"Prosimian"	"No"	0	0	0	0	0	0	0	3	20	1	0	0	0
"Galagoides demidoff"	"Galagoides"	"Galagoides demidoff"	"Galagoides"	"Galagoides demidoff"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	5	1	0	0	0
"Galagoides thomasi"	"Galagoides"	"Galagoides thomasi"	"Galagoides"	"Galagoides thomasi"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA
"Galagoides zanzibaricus"	"Galagoides"	"Galagoides zanzibaricus"	"Galagoides"	"Galagoides zanzibaricus"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Hapalemur aureus"	"Hapalemur"	"Hapalemur aureus"	"Hapalemur"	"Hapalemur aureus"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	5	NA	NA	NA	NA
"Hapalemur griseus"	"Hapalemur"	"Hapalemur griseus"	"Hapalemur"	"Hapalemur griseus"	"Prosimian"	"No"	0	0	0	0	0	0	0	11	40	4	0	0	0
"Hapalemur simus"	"Hapalemur"	"Hapalemur simus"	"Hapalemur"	"Hapalemur simus"	"Prosimian"	"No"	0	0	0	0	0	0	0	3	8	2	0	0	0
"Hylobates agilis"	"Hylobates"	"Hylobates agilis"	"Hylobates"	"Hylobates agilis"	"Simian"	"No"	0	0	0	0	0	0	0	2	16	2	0	0	0
"Hylobates concolor"	"Hylobates"	"Hylobates concolor"	"Hylobates"	"Hylobates concolor"	"Simian"	"No"	0	0	0	0	0	0	0	7	21	4	1	0	0
"Hylobates gabriellae"	"Hylobates"	"Hylobates gabriellae"	"Hylobates"	"Hylobates gabriellae"	"Simian"	"No"	1	0	0	0	1	0	0	2	4	NA	NA	NA	NA
"Hylobates hoolock"	"Hylobates"	"Hylobates hoolock"	"Hylobates"	"Hylobates hoolock"	"Simian"	"No"	0	0	0	0	0	0	0	2	24	1	0	0	0
"Hylobates klossii"	"Hylobates"	"Hylobates klossi"	"Hylobates"	"Hylobates klossii"	"Simian"	"No"	0	0	0	0	0	0	0	1	4	NA	NA	NA	NA
"Hylobates lar"	"Hylobates"	"Hylobates lar"	"Hylobates"	"Hylobates lar"	"Simian"	"No"	0	0	0	0	0	0	0	19	86	6	0	0	0
"Hylobates leucogenys"	"Hylobates"	"Hylobates leucogenys"	"Hylobates"	"Hylobates leucogenys"	"Simian"	"No"	0	0	0	0	0	0	0	1	8	NA	NA	NA	NA
"Hylobates moloch"	"Hylobates"	"Hylobates moloch"	"Hylobates"	"Hylobates moloch"	"Simian"	"No"	0	0	0	0	0	0	0	NA	16	NA	NA	NA	NA
