"marker_id"	"functional_interaural_distance_us"	"high_freq_hearing_limit_60dB_kHz"	"species_label_as_printed"	"label_confidence"	"caption_group"	"excluded_from_regression"	"marker_filled"	"marker_grey_fill"	"value_origin"	"note"
"m067"	461.962	34.3847	"Alpaca"	"nearest_label_unvalidated"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m068"	500.741	40.4049	""	"unlabelled_in_figure"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
"m069"	541.15	32.581	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m070"	547.133	37.4663	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m071"	578.423	39.964	""	"unlabelled_in_figure"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
"m072"	653.637	28.332	"Chimpanzee"	"CHECK_value_differs_from_Koay1998"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
"m073"	683.251	37.0696	"Goat"	"validated_vs_Koay1998"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
"m074"	687.125	33.2928	"Horse"	"validated_vs_Koay1998"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m075"	798.238	54.0207	"White-tailed deer"	"leader_line_unvalidated"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
"m076"	872.2	17.4611	"Human"	"validated_vs_Koay1998"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
"m077"	1286.56	34.753	"Cattle"	"validated_vs_Koay1998"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
"m078"	2818.09	192.937	""	"unlabelled_in_figure"	""	""	"TRUE"	"FALSE"	"digitised_from_figure"	""
"m079"	3343.22	10.4194	"Elephant"	"validated_vs_Koay1998"	""	""	"FALSE"	"FALSE"	"digitised_from_figure"	""
