short_name,name,description and reference,description 1,description 2,reference,note
RoB_O.p.mg,RoB_O.p.mg,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum), other cells density (in cells/mg), HerculanoHouzel_etal_2015","Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",other cells density (in cells/mg),HerculanoHouzel_etal_2015,
WholeBrain_Mass.g,WholeBrain_Mass.g,"Whole brain (both sides), not including the olfactory bulbs, mass (g), JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Whole brain (both sides), not including the olfactory bulbs",mass (g),"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
WholeBrain_N.n,WholeBrain_N.n,"Whole brain (both sides), not including the olfactory bulbs, number of neurons , JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018","Whole brain (both sides), not including the olfactory bulbs",number of neurons ,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, Kverkova_etal_2018",
WholeBrain_O.n,WholeBrain_O.n,"Whole brain (both sides), not including the olfactory bulbs, number of other cells, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015","Whole brain (both sides), not including the olfactory bulbs",number of other cells,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015",
Cerebellum_I.p.C,Cerebellum_I.p.C,"Cerebellum, Microglia/Cell ratio, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished",Cerebellum,Microglia/Cell ratio,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished",
CerebralCortexNoHippocampus_I.p.C,CerebralCortexNoHippocampus_I.p.C,"Cerebral cortex (grey and white matter, excluding hippocampus), Microglia/Cell ratio, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished","Cerebral cortex (grey and white matter, excluding hippocampus)",Microglia/Cell ratio,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished",
CerebralCortex_I.p.C,CerebralCortex_I.p.C,"Cerebral cortex (including grey matter, white matter and hippocampus), Microglia/Cell ratio, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished","Cerebral cortex (including grey matter, white matter and hippocampus)",Microglia/Cell ratio,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished",
CerebralCortex_N_I_ratio,CerebralCortex_N_I_ratio,"Cerebral cortex (including grey matter, white matter and hippocampus), Neuron/Microglia ratio, JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished","Cerebral cortex (including grey matter, white matter and hippocampus)",Neuron/Microglia ratio,"JardimMesseder_etal_2017, HerculanoHouzel_etal_2015, DosSantos_etal_2020_unpublished",
m1_area,M1 surface area (mm2),"where data was not available, it was measured from figures, Young et al 2013, Mayer 2019, Van Essen and Drury 1997, Krubitzer & Dooley 2013, Wilkinson 2021","where data was not available, it was measured from figures",,"Young et al 2013, Mayer 2019, Van Essen and Drury 1997, Krubitzer & Dooley 2013, Wilkinson 2021",
cortex_area,Cortex surface area (mm2),"where data was not available, it was measured from figures, Young et al 2013, Chaplin et al 2013, Van Essen and Drury 1997, Krubitzer & Dooley 2013, Wilkinson 2022","where data was not available, it was measured from figures",,"Young et al 2013, Chaplin et al 2013, Van Essen and Drury 1997, Krubitzer & Dooley 2013, Wilkinson 2022",
m1_cortex_prop,M1/cortex proportion,"Young et al 2013, Mayer 2019, Chaplin et al 2013, Van Essen and Drury 1997, Krubitzer & Dooley 2013, Wilkinson 2022",,,"Young et al 2013, Mayer 2019, Chaplin et al 2013, Van Essen and Drury 1997, Krubitzer & Dooley 2013, Wilkinson 2022",
gyr_index,GI,"gyrification index, Lewitus et al. 2014",gyrification index,,Lewitus et al. 2014,
thal_cortex_prop,Thalamus_cortex_vol_prop,"in this case neocortex was defined as ""18: Included are the underlying white matter and the corpus callosum. From the transitional cortices are included insular, subgenual, cingular and retrosplenial regions."", Stephan et al . 1991","in this case neocortex was defined as ""18: Included are the underlying white matter and the corpus callosum. From the transitional cortices are included insular, subgenual, cingular and retrosplenial regions.""",,Stephan et al . 1991,
spinal_cord_mass,spinal_cord_mass_g,"Spinal cord, mass (g), MacLarnon 1996; Burish 2010",Spinal cord,mass (g),MacLarnon 1996; Burish 2010,
spinal_cord_N,spinal_cord_N,"Spinal cord, number of neurons , Burish 2010",Spinal cord,number of neurons ,Burish 2010,
pyr_tract_fibers,Number of fibers per tract,"corticospinal tract, Heffner and Masterton 1975",corticospinal tract,,Heffner and Masterton 1975,
pyr_tract_area,Area of tract mmà2,"corticospinal tract, Heffner and Masterton 1975",corticospinal tract,,Heffner and Masterton 1975,
sc_lamina_conn,Lamina of axon terminals deepest,"corticospinal tract, Heffner and Masterton 1975",corticospinal tract,,Heffner and Masterton 1975,
sc_depth,Depth,"corticospinal tract, Iwaniuk et al. 1999",corticospinal tract,,Iwaniuk et al. 1999,
sc_length,Length,"corticospinal tract, Iwaniuk et al. 1999",corticospinal tract,,Iwaniuk et al. 1999,
lifestyle,Lifestyle,Iwaniuk et al. 1999,,,Iwaniuk et al. 1999,
arboreality,Arboreality,Iwaniuk et al. 1999,,,Iwaniuk et al. 1999,
diet,Diet,Iwaniuk et al. 1999,,,Iwaniuk et al. 1999,
hand_eye,Hand-eye,"hand–eye coordination index (from Nudo and Masterton [1990])., Iwaniuk et al. 1999",hand–eye coordination index (from Nudo and Masterton [1990]).,,Iwaniuk et al. 1999,
digital_dexterity,Digital dexterity,"The dexterity index, a measurement of the digit dexterity of a species (from Heffner and Masterton [1975, 1983])., Iwaniuk et al. 1999","The dexterity index, a measurement of the digit dexterity of a species (from Heffner and Masterton [1975, 1983]).",,Iwaniuk et al. 1999,
locomotor_diversity,locomotor_diversity,Granatosky et al. 2018,,,Granatosky et al. 2018,
